Agriculture and Food Production,Agricultural Value Chain,Crops,random,Import & Export,Consumption,Farming
Source,Target,Value
Export Certification,Retail Purchase,3137
Export Certification,Food Waste,3232
International Shipping,Retail Purchase,15551
International Shipping,Food Waste,25670
Retail Purchase,Seeding,925
Retail Purchase,Pest Control,8153
Retail Purchase,Soil Preparation,6609
Retail Purchase,Fertilization,925
Retail Purchase,Irrigation,2076
Food Waste,Seeding,10631
Food Waste,Pest Control,4075
Food Waste,Soil Preparation,5541
Food Waste,Fertilization,6574
Food Waste,Irrigation,2081
