Agriculture and Food Production,Agricultural Value Chain,Crops,random,Processing,Consumption,Import & Export
Source,Target,Value
Grinding,Consumption,3467
Grinding,Food Waste,8355
Grinding,Food Preparation,6014
Grinding,Retail Purchase,4853
Freezing,Consumption,1308
Freezing,Food Waste,1559
Freezing,Food Preparation,349
Freezing,Retail Purchase,2126
Sorting,Consumption,1840
Sorting,Food Waste,1231
Sorting,Food Preparation,735
Sorting,Retail Purchase,1711
Packaging,Consumption,5643
Packaging,Food Waste,3089
Packaging,Food Preparation,9823
Packaging,Retail Purchase,2948
Consumption,Customs Clearance,2497
Consumption,Trade Agreements,5290
Consumption,Export Certification,4471
Food Waste,Customs Clearance,5579
Food Waste,Trade Agreements,7834
Food Waste,Export Certification,821
Food Preparation,Customs Clearance,2081
Food Preparation,Trade Agreements,13115
Food Preparation,Export Certification,1725
Retail Purchase,Customs Clearance,1676
Retail Purchase,Trade Agreements,2418
Retail Purchase,Export Certification,7544
