Education and Academics,Education System Framework,Students,random,Enrollment Channels,Post-Education Paths,Institution Types,Support Services
Source,Target,Value
Online Applications,Graduate Studies,671
Online Applications,Certification Programs,1108
Online Applications,Employment,637
Online Applications,Gap Year,959
Online Applications,Entrepreneurship,1206
Direct Admission,Graduate Studies,361
Direct Admission,Certification Programs,39
Direct Admission,Employment,349
Direct Admission,Gap Year,306
Direct Admission,Entrepreneurship,266
Entrance Exams,Graduate Studies,159
Entrance Exams,Certification Programs,1447
Entrance Exams,Employment,1269
Entrance Exams,Gap Year,1469
Entrance Exams,Entrepreneurship,830
Exchange Programs,Graduate Studies,250
Exchange Programs,Certification Programs,115
Exchange Programs,Employment,26
Exchange Programs,Gap Year,41
Exchange Programs,Entrepreneurship,207
Scholarships,Graduate Studies,413
Scholarships,Certification Programs,54
Scholarships,Employment,513
Scholarships,Gap Year,480
Scholarships,Entrepreneurship,102
Graduate Studies,Community College,551
Graduate Studies,University,1303
Certification Programs,Community College,1268
Certification Programs,University,1495
Employment,Community College,1579
Employment,University,1215
Gap Year,Community College,817
Gap Year,University,2438
Entrepreneurship,Community College,1031
Entrepreneurship,University,1580
Community College,Career Services,2507
Community College,Academic Advising,316
Community College,Counseling,2423
University,Career Services,485
University,Academic Advising,3432
University,Counseling,4114
