Science and Engineering,Research and Development Ecosystem,Projects,random,Research Outcomes,Institution Types
Source,Target,Value
Commercial Products,Startups,37
Commercial Products,Non-profit Organizations,63
Commercial Products,Corporate Labs,7
Commercial Products,Research Universities,7
Commercial Products,Government Agencies,60
Prototypes,Startups,52
Prototypes,Non-profit Organizations,27
Prototypes,Corporate Labs,40
Prototypes,Research Universities,6
Prototypes,Government Agencies,49
Patents,Startups,459
Patents,Non-profit Organizations,53
Patents,Corporate Labs,197
Patents,Research Universities,61
Patents,Government Agencies,188
