Social Media and Digital Media and Streaming,Digital Media Consumption Ecosystem,Views,random,User Demographics,Platform Types,Monetization Models
Source,Target,Value
Young Adults,Music Streaming,75773
Young Adults,Video Sharing,83062
Young Adults,Social Networks,35803
Young Adults,News Aggregators,46129
Young Adults,Live Streaming,53991
Influencers,Music Streaming,54694
Influencers,Video Sharing,85510
Influencers,Social Networks,76385
Influencers,News Aggregators,10900
Influencers,Live Streaming,93381
Adults,Music Streaming,180000
Adults,Video Sharing,30404
Adults,Social Networks,30404
Adults,News Aggregators,57615
Adults,Live Streaming,184201
Teens,Music Streaming,39732
Teens,Video Sharing,29218
Teens,Social Networks,92892
Teens,News Aggregators,78973
Teens,Live Streaming,108143
Music Streaming,Sponsorships,108776
Music Streaming,Pay-Per-View,20402
Music Streaming,Ad Revenue,105617
Music Streaming,Merch Sales,54755
Music Streaming,Virtual Gifts,60649
Video Sharing,Sponsorships,11747
Video Sharing,Pay-Per-View,56295
Video Sharing,Ad Revenue,33425
Video Sharing,Merch Sales,77989
Video Sharing,Virtual Gifts,48738
Social Networks,Sponsorships,39787
Social Networks,Pay-Per-View,43139
Social Networks,Ad Revenue,26681
Social Networks,Merch Sales,74314
Social Networks,Virtual Gifts,51563
News Aggregators,Sponsorships,55812
News Aggregators,Pay-Per-View,69099
News Aggregators,Ad Revenue,41600
News Aggregators,Merch Sales,7020
News Aggregators,Virtual Gifts,20086
Live Streaming,Sponsorships,31143
Live Streaming,Pay-Per-View,176183
Live Streaming,Ad Revenue,63499
Live Streaming,Merch Sales,47032
Live Streaming,Virtual Gifts,121859
