Cultural Trends and Influences,Cultural Products Influence Flow,Cultural Products,random,Impact Areas,Cultural Origins,Cultural Mediums
Source,Target,Value
Social Integration,Americas,326
Social Integration,Asia,225
Tourism,Americas,121
Tourism,Asia,313
Education,Americas,345
Education,Asia,363
Economy,Americas,71
Economy,Asia,24
Americas,Theaters,278
Americas,Museums,294
Americas,Festivals,201
Americas,Workshops,42
Americas,Digital Platforms,48
Asia,Theaters,156
Asia,Museums,105
Asia,Festivals,296
Asia,Workshops,169
Asia,Digital Platforms,199
