Cultural Trends and Influences,Cultural Products Influence Flow,Cultural Products,random,Cultural Origins,Cultural Mediums
Source,Target,Value
Oceania,Digital Platforms,191
Oceania,Workshops,75
Oceania,Theaters,324
Oceania,Festivals,89
Oceania,Museums,152
Asia,Digital Platforms,330
Asia,Workshops,61
Asia,Theaters,487
Asia,Festivals,262
Asia,Museums,61
Europe,Digital Platforms,84
Europe,Workshops,176
Europe,Theaters,81
Europe,Festivals,19
Europe,Museums,64
Americas,Digital Platforms,73
Americas,Workshops,96
Americas,Theaters,82
Americas,Festivals,43
Americas,Museums,107
Africa,Digital Platforms,206
Africa,Workshops,75
Africa,Theaters,232
Africa,Festivals,326
Africa,Museums,103
