Sports and Entertainment,Sports Event Framework,Events,random,Audience Segments,Event Types,Sports Types
Source,Target,Value
International Fans,Exhibition,9712
International Fans,Playoffs,5178
International Fans,Friendly Match,18869
International Fans,League Match,10995
International Fans,Tournament,17388
Local Fans,Exhibition,2165
Local Fans,Playoffs,4186
Local Fans,Friendly Match,5399
Local Fans,League Match,7047
Local Fans,Tournament,6960
Corporate Groups,Exhibition,8176
Corporate Groups,Playoffs,7635
Corporate Groups,Friendly Match,3094
Corporate Groups,League Match,1264
Corporate Groups,Tournament,1244
Families,Exhibition,8684
Families,Playoffs,7296
Families,Friendly Match,1280
Families,League Match,6731
Families,Tournament,3900
Exhibition,Basketball,15547
Exhibition,Hockey,2862
Exhibition,Tennis,10328
Playoffs,Basketball,1519
Playoffs,Hockey,10034
Playoffs,Tennis,12742
Friendly Match,Basketball,3225
Friendly Match,Hockey,11699
Friendly Match,Tennis,13718
League Match,Basketball,1447
League Match,Hockey,11212
League Match,Tennis,13378
Tournament,Basketball,7264
Tournament,Hockey,12122
Tournament,Tennis,10106
