Agriculture and Food Production,Agricultural Value Chain,Crops,random,Processing,Distribution
Source,Target,Value
Canning,Transportation,3654
Canning,Storage,5740
Canning,Wholesale,1160
Canning,Retail Delivery,5789
Cleaning,Transportation,5084
Cleaning,Storage,2199
Cleaning,Wholesale,1001
Cleaning,Retail Delivery,4021
Freezing,Transportation,6167
Freezing,Storage,1363
Freezing,Wholesale,911
Freezing,Retail Delivery,7471
Sorting,Transportation,9592
Sorting,Storage,9947
Sorting,Wholesale,1410
Sorting,Retail Delivery,6457
Packaging,Transportation,5412
Packaging,Storage,2752
Packaging,Wholesale,6447
Packaging,Retail Delivery,5461
