Healthcare and Health,Healthcare Service Ecosystem,Patients,random,Patient Demographics,Medical Specialties,Outcomes,Healthcare Providers
Source,Target,Value
Chronic Patients,Dermatology,4803
Chronic Patients,Neurology,5370
Pregnant Women,Dermatology,1023
Pregnant Women,Neurology,5699
Adults,Dermatology,12970
Adults,Neurology,3109
Children,Dermatology,1123
Children,Neurology,764
Dermatology,Full Recovery,9960
Dermatology,Worsened Condition,9959
Neurology,Full Recovery,2419
Neurology,Worsened Condition,12523
Full Recovery,Nursing Homes,1833
Full Recovery,Rehabilitation Centers,5454
Full Recovery,Clinics,5092
Worsened Condition,Nursing Homes,7430
Worsened Condition,Rehabilitation Centers,7247
Worsened Condition,Clinics,7805
