Sports and Entertainment,Sports Event Framework,Events,random,Event Types,Revenue Streams,Engagement Channels
Source,Target,Value
Exhibition,Broadcast Rights,3729
Exhibition,Sponsorships,5162
Playoffs,Broadcast Rights,2409
Playoffs,Sponsorships,14959
Tournament,Broadcast Rights,729
Tournament,Sponsorships,1948
Finals,Broadcast Rights,1946
Finals,Sponsorships,553
League Match,Broadcast Rights,4065
League Match,Sponsorships,6932
Friendly Match,Broadcast Rights,6104
Friendly Match,Sponsorships,7550
Broadcast Rights,Social Media,3127
Broadcast Rights,Fantasy Leagues,6468
Broadcast Rights,Mobile Apps,2710
Broadcast Rights,Fan Meetups,6677
Sponsorships,Social Media,9089
Sponsorships,Fantasy Leagues,13400
Sponsorships,Mobile Apps,2569
Sponsorships,Fan Meetups,12046
