Agriculture and Food Production,Agricultural Value Chain,Crops,random,Farming,Consumption,Processing
Source,Target,Value
Harvesting,Food Preparation,15937
Harvesting,Retail Purchase,7062
Harvesting,Consumption,2195
Irrigation,Food Preparation,28039
Irrigation,Retail Purchase,15162
Irrigation,Consumption,23076
Food Preparation,Packaging,13605
Food Preparation,Cleaning,11253
Food Preparation,Canning,15008
Food Preparation,Sorting,4110
Retail Purchase,Packaging,6004
Retail Purchase,Cleaning,5180
Retail Purchase,Canning,6592
Retail Purchase,Sorting,4448
Consumption,Packaging,5366
Consumption,Cleaning,1777
Consumption,Canning,3085
Consumption,Sorting,15043
