Social Media and Digital Media and Streaming,Digital Media Consumption Ecosystem,Views,random,User Demographics,Engagement Methods
Source,Target,Value
Teens,Comments,64211
Teens,Donations,235212
Teens,Live Chats,187862
Teens,Likes,215832
Teens,Shares,49875
Influencers,Comments,93590
Influencers,Donations,275731
Influencers,Live Chats,196274
Influencers,Likes,188856
Influencers,Shares,108866
Adults,Comments,118091
Adults,Donations,213595
Adults,Live Chats,282535
Adults,Likes,107682
Adults,Shares,37669
Young Adults,Comments,175176
Young Adults,Donations,146085
Young Adults,Live Chats,216143
Young Adults,Likes,264606
Young Adults,Shares,247221
Seniors,Comments,144392
Seniors,Donations,137539
Seniors,Live Chats,47289
Seniors,Likes,193063
Seniors,Shares,122086
