Science and Engineering,Research and Development Ecosystem,Projects,random,Institution Types,Research Fields,Impact Areas,Funding Sources
Source,Target,Value
Research Universities,Robotics,47
Research Universities,Space Exploration,92
Research Universities,Quantum Computing,27
Research Universities,Renewable Energy,82
Research Universities,Artificial Intelligence,54
Government Agencies,Robotics,36
Government Agencies,Space Exploration,60
Government Agencies,Quantum Computing,51
Government Agencies,Renewable Energy,38
Government Agencies,Artificial Intelligence,53
Robotics,Defense,44
Robotics,Healthcare,4
Robotics,Environment,35
Space Exploration,Defense,111
Space Exploration,Healthcare,12
Space Exploration,Environment,29
Quantum Computing,Defense,17
Quantum Computing,Healthcare,54
Quantum Computing,Environment,7
Renewable Energy,Defense,32
Renewable Energy,Healthcare,39
Renewable Energy,Environment,49
Artificial Intelligence,Defense,47
Artificial Intelligence,Healthcare,5
Artificial Intelligence,Environment,55
Defense,Federal Grants,58
Defense,Crowdfunding,71
Defense,Private Investment,76
Defense,University Budget,46
Healthcare,Federal Grants,6
Healthcare,Crowdfunding,54
Healthcare,Private Investment,48
Healthcare,University Budget,6
Environment,Federal Grants,9
Environment,Crowdfunding,77
Environment,Private Investment,52
Environment,University Budget,37
