Education and Academics,Education System Framework,Students,random,Post-Education Paths,Student Backgrounds,Support Services
Source,Target,Value
Certification Programs,Rural,1058
Certification Programs,International,983
Certification Programs,Transfer Students,1988
Certification Programs,First-Generation,1066
Gap Year,Rural,1188
Gap Year,International,1091
Gap Year,Transfer Students,1550
Gap Year,First-Generation,438
Employment,Rural,480
Employment,International,1078
Employment,Transfer Students,513
Employment,First-Generation,1103
Entrepreneurship,Rural,99
Entrepreneurship,International,507
Entrepreneurship,Transfer Students,405
Entrepreneurship,First-Generation,541
Rural,Career Services,2510
Rural,Tutoring Centers,315
International,Career Services,2279
International,Tutoring Centers,1380
Transfer Students,Career Services,1535
Transfer Students,Tutoring Centers,2921
First-Generation,Career Services,407
First-Generation,Tutoring Centers,2741
