Tourism and Hospitality,Tourism Spending,USD
Random fluctuation,Single Peak Distribution,Random fluctuation,Random fluctuation,Single Peak Distribution,Single Peak Distribution
Nightlife,Cultural Experiences,Shopping,Adventure Activities,Sightseeing,Transportation
5438.407759090411,1455.8532637222152,10000.0,758.0231296867668,1394.37024186981,355.08697204879354
6861.621798863294,0.0,8098.686880286869,904.4224042600911,816.204868129,1457.9210508015371
3501.5949123786754,912.6887253306251,8441.04209801217,388.58041074134803,1077.2285600254038,134.29323288055772
3725.1796797225675,927.02772111019,7444.595697605875,0.0,1216.433815659625,1044.0789564283664
4395.552995512586,1806.374049246358,7541.590449189724,633.5073504468406,342.8788611773225,404.5238033637731
4746.353033115484,1491.6283422986057,5573.87288527386,1881.8605456438404,863.9789948923926,399.69454330693884
6039.9619876857,701.9621736237377,5149.007957047599,3073.344461735934,1223.8825186578636,0.0
6277.590638427542,955.5895379091918,4501.912088521922,4110.475073571784,1208.0313619469446,920.4610914268543
8952.824286947536,1417.86352616377,2446.0616717900484,6022.949469306107,1036.4334486178823,810.3139133344846
8220.274257632047,1512.6421434179235,455.79699218124665,5935.3554023300185,1121.7245509047686,1134.1803721757674
6658.700517001184,1482.5703177768792,961.2730059935488,5440.921784728946,1052.5575611563906,539.5532272935816
10000.0,1250.1889688718204,0.0,7298.704924235477,1181.7601018149326,640.8176330035449
7988.779420931941,963.3933618920415,1061.5201428058517,5361.7315537202785,803.9319797033501,836.2099224896439
3733.238252834283,1407.2460802432104,2373.4436301019427,7176.6596627,1648.7850409703603,904.4282088516032
4767.239525883214,1844.1894367105458,3838.7317872400768,9354.779384330815,1788.4689449791463,693.0393613623803
7010.365903950388,2030.9023861914259,3529.240663060457,10000.0,2742.2362156520862,1907.5731110389759
3074.803771367706,1445.172561100718,5470.934359148152,7734.642992482766,1664.8261306111606,726.4168603995399
4852.701611020533,1912.396957641538,3717.849197728914,7114.656986309067,3213.5213862197343,2036.7069644256867
4393.162270389958,4068.357486563247,2388.933783983723,6600.552232480781,3982.360305672647,3481.914731345407
5544.306774616305,5511.385397425698,2092.976821633808,7072.750952835407,4592.879813087301,3737.767352119323
6678.266731095315,6055.32237784342,2213.390509055008,5881.57626042354,6392.542751787889,5143.740475170943
7038.79826400488,7589.3995280761565,1412.408267688605,6341.862933733147,6297.5540092139345,6732.62724512811
4381.916745775775,9534.770744540523,1963.6965176698882,7908.661910430488,8118.669368813322,7379.122506941919
2653.2005330635793,8686.42557494114,3293.137408091112,7748.109115105457,8912.27492280164,8082.556306068626
0.0,9568.298336688336,2800.7050907752678,7709.703225721991,10000.0,9306.114492518653
1288.07455122838,10000.0,3564.1961417573552,7731.065603849514,9790.069874464765,10000.0
24.2578627945488,8646.217664602611,4220.260411413352,8104.211804878094,8756.71938160393,9474.291699168818
1185.662304833417,8183.351236957206,3509.334875885299,8616.334519190239,8537.602571702015,8188.8591951008175
1783.8650223421505,7068.40202104389,4204.454323468206,8741.425076587231,7416.632978207569,6064.678821051808
1546.8137684381572,5513.406589744534,5523.278299264909,7288.937269190522,5554.370481153126,5068.8178468617125
3644.935009352682,4988.408043159774,4627.73574510172,7106.321088885703,5173.754132997158,3724.3426539407697
4017.9279501966266,3055.426385517476,4342.2382603650885,5619.385656240521,3871.676368665446,3691.601004701589
2004.9125871410658,2756.3713966672494,4765.695202177256,5697.079694335611,3659.016239853138,2277.891147855231
3438.794264140112,1763.5726054612655,3572.1044956154246,4517.424592070589,2748.594563496468,1319.5110717066063
6198.418693079878,2399.6690905636597,3045.763559775158,5469.148745005985,1750.634161637119,1828.514739533555
5365.849596519243,1443.847574761334,1852.3418373879708,5662.956461535543,1057.6444991479586,1022.9491843153033
4751.023326566766,1326.885234418326,3065.8678323589056,6207.9963386951495,1095.2020392463328,1665.5194684132716
4305.190753842171,915.9394997235764,1685.664018183249,5953.919779305394,0.0,701.130131274302
1329.55613427528,1299.1556470932182,3418.1997937916126,4352.000756114534,1361.7117794084868,255.53056651485727
1208.8576142323805,1751.01879386267,4093.77732549912,5820.090212255104,1283.1212335306952,489.5963751048867
2141.3854909272145,1803.7121993195492,5351.56162093426,6962.728169868783,334.3238772301079,1037.1138764112318
2881.332499531771,1138.375877842429,6554.964418250128,4533.109735292791,1549.019532824017,451.600002157374
4176.11921689189,710.4439314127274,6795.137578793809,3236.244165776083,1210.0354089338437,1196.4828621849024
2957.7291316176097,1140.623966617891,5234.893371237273,2117.833790789057,521.9533522687697,483.11392629346886
1142.6079544144864,1485.1785499527,8462.09947490329,3728.556739163367,1109.0766039028717,1171.4476856503402
207.37707870977812,785.8542440146184,7796.824212161983,4175.692454537062,1447.1602790927761,1099.874147244772
3310.8841850383296,753.2125355444282,8581.149273742718,3299.0048982222165,1403.6725733666701,334.33214770086533
1888.6491609909754,893.9295952388103,9614.58064023125,3399.4923806359106,1743.9842937665667,870.9075930459037
4712.9801755209455,1573.9548281822188,7305.134885595887,4381.235206708881,1312.853250124897,1437.7743211252966
4909.087431280688,1077.4668332943452,7795.728264595705,4679.110756100836,1429.8220881559967,930.7510254025052
