Sports and Entertainment,Event Attendance,people
Single Peak Distribution,Periodic fluctuation,Periodic fluctuation
Comedy Shows,Gaming Conventions,Film Festivals
39895.0069244534,531139.5962606027,543681.5712862032
109916.85920553099,639918.0547128393,690315.9955675596
26738.886502348316,791121.4840972845,781457.9904493571
100186.5957575975,985014.7121275397,822575.6679735504
65751.2213797711,882750.5452921985,1000000.0
97259.98748123455,949408.1832889147,985003.345011583
19331.989554833566,856114.509242993,905305.9549627665
87380.80990781142,731549.8130763569,811979.253514251
49043.25018199149,575233.6339710526,726931.485880068
26054.150697607896,372121.72786911204,626638.6273422333
138941.85862841184,310927.3093458501,396586.1427338403
11761.541578743108,79529.50269898454,256258.01987725066
34181.68103628897,14564.879345658295,137456.69287761828
123010.38264173758,10876.386388918152,98603.51892480446
99127.20282530024,46969.12484841585,0.0
114637.23078645562,232545.72561537675,20320.709143018903
157626.87712775348,430054.67897594563,92120.12794283517
279907.01387387974,466102.46377184347,221093.19946244903
358094.28455261386,798980.6797240223,308635.4339668091
405667.9104211635,893162.09066284,470267.0260289824
553821.5619084525,972674.7263330496,611104.1506560624
738725.8600561407,990200.7933163821,698905.6109214723
923014.8265393773,892574.0722679062,933079.7341719975
972396.8619168134,815014.4374103429,926361.5113038457
952503.8426131707,658339.5194397451,996002.8986255735
1000000.0,542089.109964968,966315.6661248269
959383.7515726739,244849.12942337018,800592.3861347015
831011.2276077121,126959.05290352518,784366.254170735
717056.8559817132,65702.95222051987,602782.9785711451
621234.1722008787,12792.284707614763,510748.87718384335
469291.66020911373,0.0,339294.16967503016
405441.66490237403,168201.94631302234,192009.7348806033
195278.82119254026,359768.60587625834,132313.75430306385
208508.9015648251,472360.0204799825,54233.036899005245
112358.44663959001,681001.7252043126,57586.31523058326
142268.34665567338,841873.9216714009,25389.48837672669
62424.67383216755,942088.070977557,152978.94534214985
64032.917302606045,1000000.0,302495.46042141964
87554.55411920973,919738.8441676837,493806.7525079558
35893.87992753543,831026.2609008766,671918.0067103786
97461.85748861381,677129.6517355609,790931.8914808709
39939.95595181499,331617.6541163006,807345.5687887212
0.0,265048.0488057799,941818.092473409
136081.76038544026,156106.96646560886,917321.8282295156
6112.821482030826,91364.16761899214,964150.7373706418
148533.54124150312,43822.082334797175,978516.6209536209
41699.809350816206,25728.431840355508,798776.8737570861
15974.582431098206,238978.26076857978,645015.3724925267
72099.57791631842,247527.76283018678,521977.4309730951
8289.52184153766,528088.8383290205,326258.0084091112
