Healthcare and Health,Healthcare Spending,USD/person
Random fluctuation,Periodic fluctuation,Periodic fluctuation
Surgical Treatments,Elective Procedures,Pediatric Care
7667.150172360963,5039.026354329685,5585.769836922624
7441.33901562975,7027.160759362645,7706.109248811628
8908.112566101283,8680.647914719335,9499.341034490404
7306.487701288761,9732.100726351766,9537.402778781685
8603.131415095842,9597.02901172253,8069.196508064956
9648.686755894798,8971.88992224951,7073.434887677627
10000.0,8096.695949352173,4699.9231421274935
8911.20114241057,7026.876260139365,2749.621058483738
9584.417523693723,5055.397603469495,1392.9897726795177
8067.193920807967,3122.746866072254,1121.9244329197406
9125.012512078014,1318.8660814960938,2074.389950138692
9607.623441451917,139.42562129221932,4563.282608029409
7267.279393375255,6.207543042138321,6332.779878210933
5651.48730871476,674.1159387189035,8559.184091418327
4582.908524227767,1766.5411426859914,9412.532539673513
3822.329140144191,3313.31898992224,9588.240451295102
2487.1513073302517,5610.000287975308,8179.533281202067
3837.0454849309835,8126.405605725499,5986.940683310347
3377.9633816786795,8864.279252731141,3217.25080621298
3811.212447608211,9549.219897090106,1704.3401926836598
3141.9554467118105,10000.0,572.8597882276435
1826.7262856541465,9966.324317860055,807.3575803464755
2021.7869628303094,7845.987596705068,3129.947329435066
1832.0774796093754,5760.454397137391,5496.520547483631
1733.068371100666,4342.537489361639,7617.113707739096
0.0,2450.0426429443905,9306.782569904302
877.0421699990873,213.67783363655755,9754.15764169653
1501.3375657781378,480.01690148540933,9352.540429035147
1721.6339155433213,480.8088766552541,6884.300151021473
1125.4609615797885,264.18007361991505,4733.7363574688825
4499.822306539831,2767.7064301790006,2229.376432184442
5650.7509137563175,3815.300324797133,652.0818081916808
4237.633513364276,6554.130936645885,0.0
5523.967076589946,8297.04029139695,2264.494284120943
4892.5303732046095,8735.111903297879,4117.803600291039
5588.465467409871,9942.466379894498,6740.608693781992
4531.715599791593,9787.995312010336,9285.877228782243
3573.7052583717054,9492.977987640725,9830.04179385552
3735.9812085302956,7496.4410602400885,9262.333491305744
3103.897253314008,6020.461950155871,7912.147142728946
2533.896693948875,3029.4622190758846,6058.671110061733
1695.8033660333792,1490.2280713002303,3381.8813612312574
1399.9634245488878,742.0646700840348,456.6755917472634
2263.3978979537437,403.2570479141028,1324.031910387712
3444.0421997806893,0.0,1727.3009877839222
4044.98539150759,64.2112912827693,2786.456382262457
3623.813640928859,2496.775354447515,5049.028253489188
3141.031140214511,4372.691473228447,8252.674179181511
2751.8989542063937,6950.279468579912,9304.306588421467
2226.868116063692,8213.732610279105,10000.0
