Tourism and Hospitality,Tourism Spending,USD
Periodic fluctuation,Periodic fluctuation,Periodic fluctuation
Transportation,Cultural Experiences,Adventure Activities
4682.620453455962,5060.342681428665,5505.062615564869
7516.95092972684,6580.631505055398,8261.14840151865
8928.133696086634,9500.20684886714,9509.503079085907
8391.310856623428,9324.705401994252,10000.0
7973.549500248394,9056.424147927459,7213.5680198890595
4694.582725422691,8459.2295082835,4571.023047716729
2049.027963434704,7653.754630326272,1789.1008615360784
0.0,5554.11732101142,976.6780336253373
705.8027921167426,3616.451780995359,745.0333901019222
1692.0539928042144,1881.6725034150536,2690.9817652653796
5125.376183629594,0.0,5647.70515537431
7783.421003260408,261.9820519752019,8298.289718480595
9460.401093107777,81.46983917898422,9512.191999954583
8701.10041522303,1094.6181087109933,9338.342760404821
7461.237718963312,2964.9425882203714,7091.510998330504
4453.802134146179,6369.825556477463,4891.963803101313
2547.0999175888755,8364.59569026269,1605.8060000818402
600.4189320023224,9762.42395074573,0.0
288.248234183987,8807.409253605765,764.1541503381133
1842.4978896305943,9762.404619306366,3165.399241882252
4964.727284673482,8386.294907091868,6121.934813229498
7512.464196733802,6913.773980319736,8427.029425027686
10000.0,5088.56864545548,9248.689742436285
9353.370311923489,2782.6054437065227,8378.467395151118
7305.082682671115,1388.5934002166512,7011.934471314528
4712.429199794989,30.080020443143976,2910.477762327703
1965.1642733865403,1235.9484506938202,1616.6553970868451
508.8664788418731,1524.5007029473861,727.8334969088651
985.7406777624404,3309.150630373412,1311.9468885573776
1625.3525427844863,4290.3906725122815,3775.4486711452105
5184.216827933361,6816.275022786452,6422.879667319503
6759.663870133186,8233.017560407996,8874.282104633654
9137.648512773208,10000.0,9946.011524386777
9092.01641987813,9846.970955257691,8285.139192024586
7641.588224353532,9215.205060858805,6422.589769185183
5093.974433097297,7015.580012567296,2751.7723350108413
1985.1259100281316,5894.134639943811,1751.2745744459198
371.23078683750157,4233.223937318128,296.8607543581292
874.2418335426568,2043.9245756797739,1488.7148150328894
2418.5060116323007,779.0752488275922,3397.4045453885756
4646.09639133016,1199.8941195070543,7121.426665003082
7424.1408754346085,788.9689200951614,9276.300602389114
9196.94100879698,2354.510412972328,9814.349230873519
8633.02206412208,4049.283952083892,8342.76841194051
7070.375711876327,5315.586091287925,6208.692696578611
5920.605367277974,7154.521159267068,3684.6287315563127
2338.6516835012158,8415.280955959704,732.2196035502508
345.99498574694525,9236.540701624062,820.9610685774936
892.7340247754858,8781.411206276016,1791.6136831663537
1780.6727599419423,8779.873388178923,4097.368889587478
