Science and Engineering,Research Funding,USD
Single Peak Distribution,Random fluctuation,Single Peak Distribution
Nanotechnology,Space Exploration,Renewable Energy
3606426.0153172114,5806614.628075771,11994456.530657822
14132565.722265832,2860044.0898779887,6285115.8864344545
0.0,2810445.643203053,4160216.6980517036
7155603.333608437,0.0,10640278.856754437
936614.0491761025,1864227.8149019957,8949230.399496034
5698845.824380053,122478.79512428412,3770189.121523087
13017310.076516472,3795018.5081928982,12828321.471836712
5269919.986588028,16851085.997345977,8945774.023267651
5427173.03300075,29871373.84120736,7552423.982122344
12416872.163376218,37106190.68005031,3827662.396361215
3100332.6624175194,32199123.848795928,5312585.786647985
14093697.34477158,44221291.77129501,16785223.202099282
9281659.773498924,44494337.0180697,7619169.642846005
8224199.375688791,64279397.25073102,1892883.3365772734
9540527.147556722,65449636.47566464,7915511.441813927
12687897.397286432,58688059.74312009,4355693.069485049
18820279.66517073,69875707.49348967,14961883.230993928
25170186.182171967,74329649.7495844,25957342.74367573
28620753.968781006,80110150.14478761,36333655.55304395
43874780.447558075,100000000.0,41947128.719648905
52879718.33017776,86186263.7287134,58215423.48728328
68044868.75992161,76597749.22058222,70928060.83773345
64613531.7894252,67644002.75344472,86178300.64335881
76611069.01057231,73812765.36793144,92605307.54362963
85084405.79507557,79482869.7032333,99665405.6493637
100000000.0,62666396.44455721,93779015.72098331
88486077.23031585,62372756.188598536,100000000.0
77096977.56459813,69522841.02889392,75287930.46108562
63757027.53375627,69369296.86576718,68936250.80745786
46559110.702195436,72897110.22278747,59220472.12216206
40758320.57868726,72354708.39926605,41032687.24323013
36320244.17170336,63941682.64608044,30947229.507677544
26880073.646837242,67558441.96604152,23589806.899076875
25831781.710800022,59155226.49859588,17699022.082502007
16572603.961183047,69968090.8358493,10579739.532291407
16574312.529798292,57347904.190316305,10629055.768367296
2156653.4310700805,66230573.88406289,10606994.917285427
9925780.599130731,68943118.80345203,1103708.8491413675
3560365.8859826857,60602387.217435785,8691739.035986284
11336476.118964646,69369760.81329374,3818775.5868215696
6163651.934763302,76131398.99539699,10913786.251118323
3695535.684970304,67335651.02382223,7620541.782500094
8729173.693555795,68681159.42517564,6919448.419684625
8532491.603603413,65621437.12177162,9510741.088201722
10359696.166030334,62712753.200482205,12198273.645479884
11415253.168849992,63323705.352959916,12131895.460154481
13854202.955039449,46987670.055269174,855615.6298788054
8185028.595004092,60731411.42062809,6249924.689894712
7713126.645636767,46702652.71055417,11945716.877917467
3455836.7252958654,45066547.2940378,0.0
