Healthcare and Health,Healthcare Spending,USD/person
Single Peak Distribution,Periodic fluctuation,Periodic fluctuation,Periodic fluctuation,Single Peak Distribution
Mental Health,Preventive Care,Pediatric Care,Elective Procedures,Chronic Disease Management
1073.5376494249344,5553.27547727583,6160.003528929577,4855.62034514683,263.0339626914942
1623.270901288061,8473.918612108328,6035.698768379904,8321.530555692969,892.6121036029314
1086.501950735751,10000.0,6659.844347176704,10000.0,640.4995878014356
632.3160898885452,9718.515378565455,7501.650016800445,8625.139151682073,648.9195844049858
1020.0459752898647,7609.486349303456,8755.52467787276,5458.130370757221,992.5980414518567
1286.6904424477766,4624.785662904834,8502.517376748543,2178.3588468913836,445.1416369904018
1467.795425888775,1242.0130864413386,9195.330296141079,0.0,704.3986094754003
1622.825874321363,404.60943133288777,8875.697887218927,783.9755641084301,930.7223458661729
1333.8912100500847,147.8083211367679,7987.639004240732,3841.5400614319274,400.23573662411445
646.2467555084067,2165.4385665012555,6820.843138723632,7175.4638620374535,0.0
1397.6149506289964,6278.083817895355,5866.432824685056,9341.904966672058,58.2443454022551
891.0914873765552,8500.568079740808,5093.309981486095,9405.672499887463,650.3262259266062
1325.825795594731,9910.991864342172,3981.9020304599926,7443.9279783321435,803.8113550507641
618.563593237613,8884.47952591091,3699.9999641064564,3829.9068416168793,844.6880494941398
960.8574911916462,6592.901578166588,1778.237125667478,1304.7550733052576,1128.8896184366815
1685.8101780284974,3845.9892132138866,1063.8670801872142,804.9107048540308,1219.9190578694554
1851.1195083819268,1266.3993767588297,222.4515505221968,2118.292688490224,2031.0668253011715
2274.0005108661753,594.6033100567716,424.791493449547,5362.574822600444,2246.3991132059546
3530.544666350634,1397.4699802792243,1144.1960566103824,8507.133380235731,2817.283249838224
3643.8090659842246,3828.6252911573056,1759.0981914513468,9492.906235238845,4304.821083856303
5571.930716602773,6974.907171543869,2420.4808204057686,9196.450165150743,5956.250430878012
6154.6109640332525,9391.814129029346,3131.3625382187147,5179.885057985253,6909.007269486404
7687.328643075108,9421.144678111847,4003.6719912849785,1908.3137595241462,9080.285385066336
8866.62072553083,8404.383128089023,6296.135641795061,39.88833438274938,10000.0
9217.451725604475,5969.664863170841,6350.695390940453,707.641168846488,9902.180907079099
10000.0,3264.7058946323077,7464.800732114073,3731.303741897147,9628.761912023609
8493.269378267265,209.71276031413257,8545.97479011059,7225.292116875529,8416.196323963606
7051.486471818129,289.172653059485,9198.629614784057,9385.06542535535,7949.355966926646
6783.405638075812,1864.8085382764762,10000.0,9468.923649805765,8160.69020982971
5341.940618899427,5211.915201978248,9041.482787004497,5804.720316228363,5721.589703136239
3993.2043653271267,7947.889561921219,9179.201596715275,3227.9692458229283,4121.79409218862
3575.6913446832173,9628.171828628005,7523.540567173046,1108.48860484741,3740.073548134297
2113.5014730424996,9857.836014378601,7100.178932024006,157.71430295721453,1862.8355334704095
2908.1612145240756,7833.324947079243,5672.594843168435,3233.2703296442205,1719.1112657801073
1429.094364876105,5224.050623160382,4594.417980656327,5398.743663528254,1328.0179614284987
864.375491907538,2332.612586882104,3918.1685435132026,8923.223594794716,1116.307796003968
559.62522394899,254.74196240414403,2152.2129087330245,9631.99924669625,632.2924960081552
1340.153245660253,630.8157351559179,641.8561687353325,7822.240150673446,722.5222906335104
0.0,3256.1401853857,1397.9282428541787,4489.576360706712,495.72164998050187
931.2481445070785,5959.413045873716,1037.863107093301,1935.2210642278,581.5908184223397
1478.861969792712,8918.814516860544,0.0,314.035539652849,685.0518655354545
1295.2830126701892,9994.30453443174,1077.9808538436541,38.827601395033255,816.0397638526083
699.7272397784067,8371.088060036654,438.54225828983186,4426.688887835113,874.0667811766028
1222.441762641581,6506.800530613922,1936.9282260796933,7664.023689117484,353.79513280929797
1275.8287424834316,4052.059623428643,2563.8909188283988,9394.261035921714,141.0820944472313
1032.7815729673357,1100.7928786793777,4141.744834728177,8885.763778217874,74.00383413747564
961.4715980824817,0.0,5672.471028457629,6432.00723436842,247.61396631062198
1650.5682075797629,1626.793129576722,6239.088920098009,3435.5388661976144,164.86871071917847
446.29526641562666,3774.1404674166783,8238.73417819818,504.0435337464506,406.3802238780662
2291.4513410516242,7222.11524324051,8872.274409718113,613.9488510929681,1374.3993206247542
