Transportation and Logistics,Freight Volume,tons
Random fluctuation,Random fluctuation,Random fluctuation,Single Peak Distribution,Single Peak Distribution,Periodic fluctuation,Random fluctuation
Barge,Courier Services,Rail Freight,Pipeline,Air Cargo,Container Ship,Cargo Truck
3411.5524266680436,48649.75748622888,15765.728226516316,4281.958980057597,3561.135238553927,26907.158729901003,0.0
1047.665374957789,49951.876703288675,17121.539830547612,4715.025905172211,5185.285063023733,39938.14258021021,2974.9084457648964
5708.044956910146,50000.0,9231.064140928833,3470.2424457618563,850.4064547961619,48743.17632439671,8071.627948430076
4139.136336952478,48781.29890541905,12392.328919789687,3736.0779013345445,3669.204861763791,47645.740656727176,6834.066268230006
0.0,45101.977721283874,0.0,1310.3716813406593,4311.263744139621,38302.30664599023,11719.139817972684
1862.5980218696593,45349.324806728444,10953.152828470518,2384.168362664784,0.0,27459.04838137824,17484.978384776987
103.35060222809044,46200.49485925132,17535.97812402849,5429.653940713675,1186.0080392632974,14412.74681456963,19047.31043274292
2100.901456070186,42320.496899093654,25306.151009136436,1780.233881186448,6795.337011464747,601.4134320327964,25982.555361218652
9560.604195598491,44075.09908180983,21987.82996872922,0.0,5417.722651000857,1818.8559428586216,31821.542732419566
10619.862161890636,42161.38005731245,24283.286657151893,3390.608402083449,6745.93652905567,13195.698447132272,29115.375271047073
13401.987600773766,38582.97819706821,28842.297468470977,3664.7580725549487,7744.756825379699,28332.854170947747,31625.79485252161
18050.8872100266,34570.81227215968,27984.0547131406,5658.246864699203,4515.440855745899,40160.53320883905,36398.99773881213
27264.12130630472,41432.85930811193,28143.012872542622,2200.3164253026007,3834.3322842422226,49979.79608586227,43561.72786504579
22695.90365226546,49742.4420107705,22426.848270194,8436.100966185808,4774.316619643938,50000.0,44494.827077594964
17682.360044432295,37829.31845228782,17022.33342913173,6392.619796728062,4637.921553301352,38568.64465811233,37329.382902375066
19027.74954236473,30827.46963789064,20066.735310749154,9458.603311554969,7319.9206371598,25798.53331465965,44482.26473737025
22979.034989886528,27502.406901690134,19617.037807463064,8823.720529618775,7016.662046118032,13433.558755355976,45752.58169980373
22467.67462404808,19752.67329320136,17468.108780243394,11923.158193622738,12142.417568670979,1730.3919569673944,40597.60161491855
23633.3043810791,21690.55047134193,15894.0678011525,16542.237989516845,16399.01833527967,2458.4724938125605,45514.236111287544
33382.870387999435,20132.498518001146,10696.54697637857,20269.099668813742,23564.61492743684,12722.333460452017,43855.064222615554
33706.870526685714,13834.97605675606,20983.406475652882,30909.773311673638,26876.370996551545,25807.024068504743,42585.610885446076
32740.335575625373,6845.054893189468,18878.78108880973,37201.12747304013,36425.21598646956,38571.13538750622,44858.56811255057
29613.598268723646,0.0,14645.868751156851,43493.94813952605,43276.26820311094,49202.52825790585,38299.20636766884
28615.295712030715,3629.7069118727204,24220.087522879265,46391.85442204028,42629.55358886649,48794.73084182362,31873.37469443401
32788.28562096142,7260.273297775221,40707.118716341814,50000.0,50000.0,37146.405722556905,36021.47609994899
40733.04705448932,9368.961002098302,34485.69340464293,47673.937542413434,48131.65058458205,28513.582192519265,42313.23894818484
45675.25037899581,7134.845460163087,30975.455627045085,44878.19094440403,45872.89372016515,11109.350823356257,36518.79724116831
43420.45994721458,10415.76480112466,27250.11731304246,41522.67706019781,46845.84524253947,2599.5615478916843,38914.501520111386
38732.03567631505,13143.766784040963,38623.40600472784,32529.080487517655,37411.34160624315,1552.7143596152891,39452.433993606304
45472.07019237325,15835.166500701056,42988.203400788116,26520.917757874253,27538.9106706259,14901.595816223531,43278.83456116027
42966.310609855456,11855.105704146687,47572.90059179669,20170.54730443533,21919.620070641886,24443.57422430008,43400.74715720933
35602.587630795635,15663.410074344964,50000.0,17680.888459798203,15092.000979034792,41775.77712312963,49736.06691389954
33940.171527554514,14222.177311610907,49208.36471918654,9982.982108578024,11401.346518392633,48923.15263665341,47533.28988042825
35670.887463257786,24411.237024879396,36369.055196259396,6159.5993516417075,9748.711854907782,48073.804613015134,42338.466808993995
40867.63816714959,21633.97187580777,24755.791180413424,5036.425493296257,5806.909304847062,39610.12418489827,46334.87848807584
41406.31531725276,10183.053034260745,25239.181005714672,4213.684249929903,10418.802382932014,24664.87027306784,50000.0
43100.06644891599,7522.637078835203,30533.16514157074,6758.50956368321,10108.663609109923,10477.924296048846,43886.83447184216
38691.07518698376,10054.791688485308,29825.731252546477,3162.081856577343,4260.112250951695,3509.311591926997,40562.83982716743
