Food and Beverage Industry,Beverage Sales,bottles
Random fluctuation,Random fluctuation,Single Peak Distribution,Periodic fluctuation,Periodic fluctuation,Periodic fluctuation,Single Peak Distribution
Kombucha,Soft Drinks,Coffee,Energy Drinks,Juices,Alcoholic Beverages,Bottled Water
95249.6920555063,47215.63198489425,14119.470410282436,50628.48367530526,46950.137880543916,50441.40322376897,8910.05247270415
95506.13449866172,54895.49451284825,7423.027556747136,77436.28524178434,66714.61916928724,64614.148520621064,9747.91281401408
77783.3560720635,43385.944810468005,9690.247670557106,100000.0,74610.7797049792,72249.39253280414,7662.505295094722
91231.84162831564,34354.103690975724,7195.388422706829,86562.31139917395,91378.67746112357,87074.19432964,3011.939788929572
79608.01387678544,47464.2625750537,14289.138507774238,65668.90513865261,92897.00131279811,97848.95293061399,2403.5780124571056
89194.53788390032,49661.649650741485,3898.411727878552,45996.07455485495,100000.0,92863.77187750109,570.5502877310322
80671.84540708452,50155.01809274367,0.0,24387.77170635197,92219.74921363388,99326.9879324341,13727.757077211067
74031.306626514,67188.81667652662,13301.316561435817,5343.077405507554,82557.24664542418,92586.13950368695,14185.555497740079
80439.62944614596,65396.3108834881,8933.977225645764,9703.656837886463,81107.37448021244,75741.22912821102,6975.36625031495
94854.10162591448,62359.64428411865,18680.646608477487,37023.633716467666,59499.127163963916,74289.84653472886,9215.459708824177
98706.1156846172,40342.92641650904,3185.578000262771,67628.11636329273,43393.58661055296,65106.97649802642,14168.664125590209
100000.0,23151.474032753318,12809.411312192757,80446.4964039396,27453.07064932482,41047.86146225983,0.0
93475.53068848891,44096.16309216221,10539.263803306054,94803.31821681562,17816.6457036454,37646.465500310456,6600.204667770508
99117.83232117239,43121.563375074555,4224.238665404773,86848.1480167838,11103.30628089415,28066.50222697058,15856.580287709787
99803.15315954338,56610.37497059524,6191.792691542516,61018.705875940104,9392.4470822962,13739.523848196006,5714.049152813889
75779.9613211823,51822.78919618888,16237.489122270605,33384.52258166833,0.0,10701.354351106256,18138.984926372344
66537.17598977288,60808.817987943396,19510.191073385115,9726.17639679589,8576.690750709866,901.0739078948334,24251.84733721039
75725.85376592026,70286.32065068326,23146.170910879242,6869.48616822842,14043.454644125564,0.0,23780.855121221015
54602.16115474927,74254.35710033614,34170.33677329685,23607.25743686793,28402.91820604071,8918.296249229335,24818.723087098846
68575.99840088972,96150.64392762595,41391.42334914674,53564.54226089022,38148.89015815561,10892.434101222036,30223.64231094948
74201.50559169574,93121.80369879263,52344.598651339744,76740.94447229948,52756.43221274794,22458.37555542721,55396.581464433904
68787.14406592537,90668.37364720128,65934.59173687697,87613.47208452963,65288.73266476317,41397.64327491708,74927.61875070985
53615.70105995639,91940.20568416126,73940.29952271667,84257.65393004444,85231.9524361778,47467.22060790407,85076.51643353279
