Transportation and Logistics,Freight Volume,tons
Random fluctuation,Single Peak Distribution,Periodic fluctuation,Random fluctuation,Single Peak Distribution
Courier Services,Air Cargo,Pipeline,Barge,Rail Freight
0.0,5369.940809000123,27767.454847132154,8100.249788196715,9562.355930311067
5201.324143645232,1944.770578710469,31985.942856909878,11033.337437163673,1620.3097890439562
13892.019559457753,7538.457871223964,36768.25903335807,12274.56661855794,8531.75617822935
12266.173234156,2955.9587499025743,45382.78630308697,6987.923586611368,6988.276115353104
11966.409605034907,5741.940696019932,43533.87745933579,4906.511785182358,4688.685787282798
20596.201813112577,1983.0909865807107,46470.549643840866,7289.959519714391,8481.668139725343
20263.85011766709,5160.468878417836,45282.40222791677,9079.56176289506,4297.228386008521
11005.296007585463,2579.426926128715,40976.743211396446,5173.882381630579,4846.207006216374
15226.41846775581,6968.403469778457,30295.424548435734,10324.777022358354,0.0
14685.504660450893,6621.590720532538,29008.980657502998,16763.41020186147,4814.7405318382125
13662.285175101557,3500.3712048418374,22969.903798895324,13143.18475348951,2717.284662259864
15384.88164207435,5970.526686897486,14552.141442445733,11827.935646128764,2781.0879730487422
21359.408301735657,5335.431130561199,3135.147358049478,18806.787430184566,3874.033810807548
21656.736457997296,8687.427691254588,0.0,19834.630567121698,5228.745348611586
17904.898556477176,7220.978952581829,1895.9171238985027,11724.872712860966,5099.741199313195
24006.789499383874,7687.233369267778,784.2657218174818,9757.240258647673,6507.075574197618
24466.46845273007,11011.299863360597,1433.8775430637274,4803.01026809931,16158.987597543453
17940.67063267347,12547.443239259264,9659.176169080694,2067.9556174466343,15756.73385525605
17355.80995114716,16220.948240250951,20091.37908979274,100.8141501002865,18707.144445432918
11692.903664208392,22908.807690754496,21086.72757725239,0.0,22635.896293690075
14128.984434173877,29882.950524369684,29257.34234252903,11266.096916967801,30775.624055655222
12075.142037144233,35610.61966745209,31472.256773816687,10285.204312938606,34547.339839117056
20003.32120796483,42080.224042768954,39680.41429666206,6511.133806379739,36876.12839801673
18050.009588527344,43293.23303721446,50000.0,14998.464783485773,43389.6499804785
17409.338318125687,49315.72814891932,47311.47657886153,23076.635617762204,48607.42012825299
12837.179264730852,50000.0,42367.26539522898,21241.819800885234,50000.0
11237.986710170993,48669.30210539682,40967.485068178714,29958.47394055267,44660.14276895565
15561.964438208486,38129.484310296444,36084.07652098186,30180.152615163068,40615.94194407691
21716.114874127143,38947.73000208148,31803.670318420045,23207.600159255562,36513.890455242974
29703.559046559792,28739.148595013263,18457.903584794825,28140.959896417662,29278.994186800654
40884.40857140785,20995.306555664512,14427.17146145607,25704.553595036843,20667.053895772566
41675.47088723089,16997.54886901497,7349.62823229485,39707.68726289478,18351.47410135907
46046.92920997201,15840.4909552051,3940.83898023369,40372.76681601734,13328.699814515816
41893.87587730854,7045.416255528471,270.06470179723783,44428.40232207385,6900.8040093335485
35111.56905048033,8963.018134455519,2129.8220309142744,45820.9342726829,4631.980754782766
44036.39860687957,9352.811127378285,2223.4015279704004,50000.0,7941.817460565553
39509.98365269393,2514.0598592506494,5373.49805193206,38754.843360467916,6370.572445956908
39139.19976649177,4280.978343303544,11114.9472439542,30567.27135996139,1343.893123985737
43773.42991802884,2199.9489819685145,21165.32129566815,24830.746866531576,4334.087587800476
46554.025804082135,1064.659424213219,27480.474525103804,20557.603734399374,4732.441066158386
44246.647582216414,4572.15553615906,34071.618698333376,13778.065432983454,2037.476354067692
35927.160559552554,752.3709295912854,42857.96497891803,19596.94201175362,6187.8350593710975
35440.763374889364,4958.288853121608,44148.41636452623,22069.230902664563,6136.7415204952895
35712.95452958805,8104.079021829286,44550.11601796935,11424.279578175128,5010.243796778741
44447.5905124076,7934.864311564863,44893.79414530648,11509.648726208894,4612.086554105851
49441.68820985411,4930.179739275226,41516.023813397405,11000.195318496933,2679.417857924185
40775.297091252294,380.20706815937314,38481.237672361574,15046.908472989817,5964.651292917487
50000.0,0.0,28867.74897821739,16172.44116647268,2312.349943631931
44820.35841944508,8530.869715043602,20594.941728379676,20018.231439324936,3463.404214276415
41603.062911065244,6893.326989834446,15714.940837722614,24610.56239938519,2541.8128498175383
