Agriculture and Food Production,Crop Yield,tons/hectare
Random fluctuation,Single Peak Distribution,Periodic fluctuation
Soybeans,Potatoes,Rice
3950.503558768714,215.57973026258347,2467.7106453373217
4534.091075956377,781.7480919290389,3721.25332334859
3767.197090055798,282.7501733104232,4556.4455204098995
3113.6195062513957,487.9437902542593,4967.657011184094
2958.987886257228,228.77890633724667,4649.303341619209
2255.2496633517303,119.78916451216364,3700.2432767480695
3216.9201556544267,288.9175845224319,2600.903674026902
3897.2273125765123,380.1529773165983,1490.6467294309502
3858.1525152207846,337.13065706321083,480.0194940040894
4187.640131519995,583.5718994954469,129.7826361559616
4351.407848274148,386.6872176973002,63.57870683207123
2524.5156631736604,256.36644664177487,992.0823116212847
3242.1458796011416,602.9633144628874,1936.9362286689034
3022.003458328661,369.9524295604323,3162.920801258259
2769.114759511272,257.6199458956944,4097.968239163388
1727.2925033810993,882.2047835596576,4853.17007039767
568.9225831793996,911.052587517306,4903.803159575375
969.2466469836521,1162.9673159124516,4160.918697782371
1021.0012690785225,1653.0844984973733,2779.2646552300366
829.8710428091613,2412.8665519203355,1751.8944652992038
1297.3843945066003,2937.3915061665753,667.5092215711766
1718.4558280631911,3584.2201425349845,122.48379835511531
2486.608885158551,3996.88983277734,246.25444233345007
2397.1537165251752,4550.433464843463,628.3287001194286
2055.0974345686,5000.0,1810.707901209336
1671.2156213892865,4694.463010144226,2771.4866898963865
3431.371355623527,4351.520726354392,3991.466454024044
4517.642795094958,4162.79862115841,4739.097109802778
5000.0,3606.7582672138496,4744.459580160569
4024.096401251868,2629.6149415104846,4285.240827685893
2408.798900509884,1921.5708332209354,3709.025488259098
1406.894730189152,1661.5704896683012,2143.036649122483
1626.009699040176,1287.22413175231,724.3366284943097
1278.3157749631232,1098.7856915413756,305.82129498996983
1022.5440345548222,1008.1876020040985,0.0
1378.7263421802372,610.0793862443769,493.99669182563696
2572.7273238220528,779.3378006204387,1199.2521501562792
2649.981345221422,0.0,2214.3351605668818
1550.6885380286874,679.7438604687203,3812.9993616015527
566.1202653854397,564.6910249725167,4766.695467142474
952.1317474641781,427.76417670153603,5000.0
0.0,682.6029908184711,4427.623690248883
1600.2540255593904,198.76843945727256,3602.5456143789465
2751.9882741019665,516.3196118341973,2337.7534403543855
2121.818874764247,167.21202167799595,1072.2751615031402
2158.7386948332087,482.3106017428243,150.4220358446433
1472.3543319091418,469.8583266083068,2.91835929499196
1624.2016760776482,531.4491758324333,161.56233556543157
1368.6075256716092,323.5234174423762,1116.0501313351815
2888.101325158825,320.7451995782547,1927.1618873425837
