Business and Finance,Return on Investment (ROI),%
Periodic fluctuation,Random fluctuation,Random fluctuation
Venture Capital,Stock Market,Peer-to-Peer Lending
8.058102920816332,18.182113737481693,16.400881125593557
19.340602375601268,23.149208570023625,16.9974312945514
16.72599267222139,23.82502155181544,23.28858994577017
28.94555468717021,20.61076933704645,30.0
25.257810376216995,21.377122314218,24.53967329023363
26.124458872727907,20.560017115865044,22.84722630665876
23.781407206708074,24.318367393117242,24.23181506465847
15.289600557287983,22.824766629867817,26.273568835609453
8.152503956141583,25.55761323416266,26.9334806401555
3.8491723698011793,27.12885444026479,25.088617754083877
-1.9424325859711224,26.45653365606926,25.558742230565088
-9.395271989313294,30.0,25.933297009333472
-8.333618646674264,26.329096259805013,23.38873709658361
-8.873941267416411,21.47758357967073,24.547963698445756
-5.583954423628508,19.52221631027343,22.226680654886096
2.5745916828514197,17.883721925361,19.792794911723284
11.628539685115385,14.792271357392789,18.220573284445443
15.825108100018248,18.312865366889174,24.680847565505935
23.88429642959911,11.637300822064663,20.535737463717176
24.56548432755718,13.164720316861317,19.18005770894904
26.067216807495285,9.809735424435402,16.458211295663215
25.790222702907023,9.316828668533809,16.165574614321162
23.101941075401278,4.423821979567467,10.405562669139613
20.225199450169455,4.174471385390445,10.044861166393577
11.018397712242567,6.389724624916692,8.521859721850674
1.4101804757451717,5.456371696438795,12.234656761039354
-4.101472158905506,4.739198133272428,10.201091724406343
-6.788552150894814,0.7310522370734915,9.083411399671284
-9.86373728789838,-0.9887587857777582,10.706288442265375
-6.609208659962719,-2.2109152665225995,9.785325990692925
-2.5509155737817384,2.568323294441422,9.94347557323145
3.8416203290620405,-3.2360052644627704,5.64972742270108
6.2795107044762695,-4.575931308825557,2.9547129353097574
18.316978981670175,-10.0,0.749761212361804
20.87881756518852,-8.659759495782659,-1.4433582911391323
27.50389958307389,-7.584871582123753,-3.192287214579178
29.177526161228286,-6.690019746874624,-5.149133459523439
30.0,-3.7117693762612483,-6.312151718158705
22.455893425910382,-4.252401569453933,-7.692838122538202
15.86411870198895,-4.38202775319124,-9.668930190316352
9.02690775613869,-0.3755786135678072,-10.0
1.9452995140776235,0.9022263308757701,-5.428702754042216
2.4199771422173377,4.169531752851981,-5.698847762611207
-8.984010956367236,7.179645845304638,-4.222680338044933
-10.0,13.147640747736212,-5.472001958417691
-7.665739922283148,12.235859638023122,-5.245369871388497
-1.4180928524411431,13.58306909482581,-1.0180589381118015
-1.7206135303475794,17.092033982232614,-1.4005829390389266
8.854112884652356,16.311396954293986,4.020260329318916
18.060529022715595,16.084525408751794,2.4641253521470556
