Real Estate and Housing Market,Housing Price Fluctuation,USD/square foot
Random fluctuation,Periodic fluctuation,Single Peak Distribution,Single Peak Distribution,Random fluctuation,Random fluctuation
Suburbs,Metropolitan Areas,Mountain Regions,Urban Redevelopment Areas,Luxury Residences,Coastal Properties
704764.3815727804,460303.87650865305,113818.28735062668,151004.10576750914,844325.6289496976,900680.0724069101
709078.0605842364,665350.7146297919,94523.66820372599,83696.81753783382,639396.074361764,836905.2552041108
858556.8749449853,712238.6407404178,91378.54720372382,242138.79740932852,573491.30304959,737247.2368486241
838244.1588041483,860059.0730644707,105385.89476509334,147115.6892973907,669955.1621011734,729997.9549228137
822440.2847197884,979546.0116049817,82553.39893062481,176595.17367805023,637474.5212972733,674340.2284084834
881953.1515148507,977558.4490068032,94226.1565018133,152747.3020260863,658994.4505185747,599365.4084200267
996936.2387498063,947085.2620258288,139205.4333036763,95523.45281428921,516907.97888652864,651921.1512511382
1000000.0,939213.9117305063,128857.56503355534,105799.36115335263,428673.83245237067,449567.80985239474
879691.806447515,688359.8986730352,135314.7263509913,172063.39521120363,356826.1790389466,503890.5836467607
920442.9238299215,566093.6239601661,128302.173018849,113089.7265669572,84991.32375129475,258397.18173540744
904169.6465172844,507801.24544884166,0.0,191967.89470455528,0.0,265796.6179292639
890226.881211072,331619.5832163487,8628.67089890013,155655.91889650802,97577.72049466684,167485.39759590128
971876.4123507221,197836.5951946181,100791.37866384732,127838.05074314581,130122.64062131842,340638.53487932746
902517.8735369582,102868.0970952561,100257.19248056698,146354.65274652684,160559.51239377316,267480.7067104263
822931.2991631277,20749.268584614227,185216.1376562269,146773.94025086408,193874.2812795578,435975.51139112725
732150.7231617536,20040.874012245957,98555.78741932244,239417.24018671756,157236.43926620428,380704.7403757583
727191.1253890455,0.0,212813.0604396104,244954.60810242133,162124.2555928613,300071.3910023259
730771.1904795401,81956.13639476127,236711.55572427448,330292.8119539241,173388.40914090225,327630.2848450781
734252.8127512299,191331.83021760668,360863.28740331257,405625.01532044803,268526.55321590684,122441.04326837031
732379.895141682,263788.3408600408,402007.2875877426,485658.82560003636,237122.717151082,60296.31638085373
726717.5019886352,435937.0894562644,551279.8043847758,626689.0701811924,415120.75553324894,258510.55532828436
615444.5302491396,562548.1011715218,696610.621659576,699014.5633904305,510114.66298355936,124715.04408373784
545665.5796343038,678340.7995254125,823618.7801022852,794785.9219822279,638828.8993654689,144328.67218346952
386134.6086559343,820243.4237485826,958726.4167790507,934081.8143972082,604732.8300093843,159256.3510696101
335909.2288025681,847340.0645393768,1000000.0,1000000.0,473469.6082963454,159489.86972494336
235469.99495580816,999069.0587188113,965281.3710041891,973498.3940410872,517497.25362865016,57491.31126635627
134781.53543573077,1000000.0,945248.5939074355,888488.251378836,572885.7707146517,57685.45984582058
134381.5557266651,934966.8337190906,804245.6120781716,813263.695099068,826474.1789920897,0.0
74548.57066122927,825395.0104124608,686503.1161922421,701297.0103930321,890179.2964453357,129857.03601022533
94435.1095992251,700573.511225972,619618.9765642722,608796.4592065951,959550.0909061685,82354.89419565974
49399.85529567007,604881.2271823306,382266.346829839,492666.60541592684,958783.8908373442,175900.51474259733
14312.859573330752,388885.3840894368,315445.7422140272,293864.04383958597,1000000.0,326127.9459004464
30893.355463593918,255215.87053542366,256310.803515492,214890.68109477634,815293.191267467,496377.3981639596
0.0,71656.0592831839,193752.739367115,168777.24164094994,981169.6442879613,765898.7598195181
54703.302475663106,23244.108209469177,74099.60568488426,181664.30907406705,984329.3379708079,763584.4622563734
77957.7066817694,8330.069835601711,113343.89039214846,176421.63950502354,977976.8837756354,827109.2865335768
135700.61220264595,34242.20426132229,81138.67668588844,122843.35928051925,911396.2138374307,642728.696609626
199599.19521005824,62408.237391132694,170381.83531740878,142110.1772646978,845806.9506906739,601635.4630224818
198963.5226847076,165061.8814847632,84357.14998107447,128051.58926853622,922902.5427382027,808836.3751505276
351343.2201655921,326006.8072215891,113494.00311274272,97985.91464393747,846363.625386017,807503.594961483
377881.66218095133,418172.9321746022,82156.35122574403,138472.66704250406,668874.0131967075,933049.2041684497
355242.4587696055,589358.9948103327,111614.27562302585,153718.0841290421,634676.3218436945,794598.2366207981
167315.68912678864,734557.7433408577,78915.01400682799,116353.69631708175,646543.221198974,675494.7600904164
110923.34861244622,838249.8347443106,121462.03022380383,212015.39539238028,579673.0892225855,657131.2948670387
246090.60448177686,880614.4619637643,111798.58608739631,164029.5957749893,638952.4700996589,818789.3176757259
186516.70663777523,985307.1022466033,19776.482351133272,187150.37468415036,457828.539670837,815367.6663432281
231902.59594222123,889432.5211453189,146480.86770577944,0.0,510813.0485354151,856652.2012828345
366154.25959504733,922020.6546955163,122064.76777120683,164294.50776650955,670433.8450207378,926919.8139404219
472544.0744787653,827853.1577328579,14129.293967684307,145187.99905231473,692792.8857299711,925215.6332947747
328997.1902226344,720497.4668971887,41430.18602264927,93984.18471751607,623857.5154734278,1000000.0
