Business and Finance,Return on Investment (ROI),%
Periodic fluctuation,Single Peak Distribution,Single Peak Distribution,Periodic fluctuation,Single Peak Distribution
Angel Investments,Bonds,Peer-to-Peer Lending,Real Estate,Venture Capital
8.22953237260149,-3.9537568905828016,-4.740117724868642,11.10592858068767,-3.1448900680448286
21.14264315784718,-8.313747458757064,-4.0525904863605975,17.357329174691497,-8.631124352830813
23.597039705095213,-8.565645844067452,-6.174326907814716,23.455660436097205,-8.02552622149438
28.88594923940967,-4.8712262982929655,-3.6167907647524373,27.973920590973393,-7.0291015729828565
27.229244126464145,-9.395332239477288,-8.527835110257502,27.970112129226017,-9.882554427709035
24.291270097131502,-4.877705136601291,-5.9615121445678,23.036075560227182,-9.600945706154677
17.168469039926894,-9.536301082100533,-8.129025018342489,17.176139035622704,-8.161473932239472
6.920708450802234,-6.1523980133277085,-3.981272300591904,7.759927369500673,-5.893537550516372
0.6593453003812844,-8.72811312165844,-4.1428994614054035,0.598418022382905,-8.141399084539518
-6.657151538144493,-6.1925559389376765,-7.851907234866248,-5.998395034651701,-6.565012153902988
-8.406400205153236,-8.708535257770379,-7.870094208243872,-8.840037243035292,-7.396030007128023
-6.259648574128542,-8.400734980858477,-4.770323708715072,-6.047762938686761,-5.334301729143363
-0.3174061750321524,-7.938259641188502,-5.772939657311486,0.7144013516243746,-5.810033885976045
5.005004042327453,-6.263771796722477,-4.2292351776835,5.031617242611405,-6.73042421899943
13.807800476945147,-5.552336905293574,-4.936787309627357,15.977943072574728,-6.230591303241172
19.14422653173387,-6.721316635158412,-3.9863933964688423,21.23659187112086,-7.552786067639652
24.235042409527956,-2.1617366501405684,-4.328370607195496,27.855581335427203,-3.6001082591715843
29.633048146686555,-0.5000162376225656,0.9567463173080988,27.201799796985753,0.7893409726457339
26.343257773107844,4.621864775551911,2.3992294244439805,24.134410473190464,5.392406801910482
24.289766269923824,5.105814058095364,6.537585800351334,16.41720164874219,6.089259355794855
13.958759296229772,11.947274498797874,14.618774769811402,8.351731423044313,10.164277860451499
5.7028157007029705,23.33323562098463,21.797432099876946,0.5226237468238892,15.012495537284401
1.426402415185244,27.80584084126444,24.63595358513792,-2.539709322942578,22.419679871953385
-6.238748286602281,29.377423900705146,24.191089536001897,-10.0,27.70676847265512
-6.622602470802634,28.833452237123453,27.153543355999943,-9.222142412153564,30.0
-8.416642636109941,30.0,30.0,-3.0216613642262855,27.44483518906413
0.15048957273682007,29.824425864791422,24.656165975878196,5.626977284781784,27.841907429414327
6.69907756161426,26.792381618125134,24.68203358970819,15.617615819520218,22.318928485107158
14.092880389928464,18.668740618872963,17.50532381537684,20.629573810538957,16.29761052042309
22.88244101828174,17.910992936208704,10.843741569034865,29.01917705155722,11.358283621896561
27.448497822564775,9.257280089978508,8.771794046569891,27.15428181368332,8.40077764057645
29.251380666703078,3.2733856177829246,8.014514241968993,24.931778680096457,4.413403484436419
26.202403693937327,0.8795147860917645,0.8485832665284327,18.625886588536748,-2.6231608422210098
22.16125827497961,-4.089350826004444,-4.806617880672761,9.339085463876529,-5.0231107227875915
11.107552212234818,-5.4373160570698875,-3.0076519300835365,1.6556648966295935,-6.031575080996639
0.6483807805949624,-5.225739960700794,-6.578756641131532,-3.0678028672540023,-6.012789211227257
-3.5076132126771196,-5.534437158016759,-5.066721345827847,-6.341096090440175,-3.8534337376536847
-8.112302279108413,-3.373932834437504,-6.299116996883058,-8.543088945842102,-9.58073776397698
-10.0,-7.797441698629985,-5.094052043923231,-3.7840893200253003,-5.501947420832819
-6.753652922395583,-4.175811338980048,-3.070679265682106,4.004121836865108,-6.214766216714532
0.289357012769365,-6.583774313406121,-5.02295786411458,10.212803385191705,-8.804373235312045
10.91002793897891,-3.5313115753454962,-7.235259006142144,19.109429090864786,-8.325019248496695
16.398283203506963,-5.45590353651134,-7.504133514651981,26.04716051733015,-3.6384747720235877
20.846457601092,-7.164624868956732,-5.543488213085848,30.0,-9.328530268415452
30.0,-3.1438059880070144,-6.345047450240623,25.573429712224588,-7.029228580381908
29.60885637514852,-6.473682858085381,-6.2393096907950625,18.678886605375382,-9.903970791835174
24.15807449438035,-6.156311362218214,-5.621072792281707,11.736076224785506,-10.0
18.136491782909715,-10.0,-6.213933349108833,5.935915991749209,-7.446548028554106
8.903216163587551,-4.165712007942753,-4.197054933273038,-2.7843061455403406,-8.101583796632648
2.324674876998964,-9.399957094800651,-10.0,-7.184259147223182,-4.564993006805025
