Education and Academics,Academic Performance,score
Single Peak Distribution,Random fluctuation,Single Peak Distribution,Single Peak Distribution
Social Sciences,STEM Subjects,Arts,Humanities
12.516647110987256,0.0,13.083983725787181,10.870015017920391
13.914494000016745,2.3349789509768675,7.18664584805317,5.052146735982396
11.760180626590158,6.365371086870198,3.2609092380433045,12.14479096499707
4.499121596181845,8.074493466582092,8.74583551480935,5.360846868232675
5.87682383047167,9.091948123222394,11.46619514515924,12.956585731029396
9.809371568806753,17.707732076096192,0.9198417587401149,12.904484611597965
10.284620988008212,16.60723052295185,15.407746870976549,11.472136846992633
8.558075413326332,17.09053812303475,12.621137847998748,14.530386581836826
5.6554963853080915,5.443075596066162,10.123867925481957,14.889042506461628
12.080302025222716,20.043107830320515,0.08709621654851714,8.133464307026934
18.393816154732303,23.961984303495516,5.075503461811166,7.499527872165249
4.703522712089807,34.70821084155792,13.841807937553599,14.296723958286393
12.050323511213008,41.188583676935615,7.899916545917546,8.178919266939097
5.864518556751511,45.269016483549926,3.76258233458604,16.384035232443438
11.978624642350733,42.90126893006322,14.90777602616618,10.922999164355064
20.91290353557703,42.36359515359928,27.103529884353918,17.75008954729918
28.896087446269362,38.168042954819455,11.374689916417543,21.378863548154236
27.151555007803612,48.8589341634152,26.133807674251564,31.002820104181332
32.81652166167817,43.529248358429236,39.39836857358842,41.7550328310382
46.37001060837009,46.73861842858311,47.08733971052252,38.28067053090334
60.218053094402634,56.3959014281411,67.14237255407332,59.42410975897382
64.40638156783437,52.26183946355154,66.71274118516463,69.90662259277785
75.97228369176256,42.849162097117485,76.57220911916019,85.99568745132908
92.33549657053914,37.790293446649095,84.30650559817946,86.43763274546752
93.3346832666328,37.97517785882141,96.04712883821809,94.57432040475716
100.0,42.82100054138709,100.0,100.0
86.46884792502296,47.38441883203204,93.7702703189665,79.8362889834752
75.8411065479282,51.817804859881456,85.1137037374289,80.47207895970767
79.03216613603482,57.19657755409365,65.68527420993911,76.8526523509003
57.13310683157663,64.17993818678995,58.14252715372371,53.254618919324514
40.536906252193575,59.26774523271643,51.21837736005477,53.338833689840556
34.390750230485914,58.855427426423454,42.284616127949604,37.77880647312497
23.43150805115572,61.18857929429227,18.213013245740953,29.56025746446609
21.35490445150871,65.16147216638895,12.588862842407217,23.47762774846976
18.87420447122122,68.02544458916984,19.472112078614263,19.420393782596342
15.70493224486171,78.36409415474935,9.171567778429784,16.883373238821083
19.378924594945158,76.26484224185684,18.26739927481511,12.922970159460748
8.552576783347408,82.35837574963178,3.2086616177887954,0.0
14.692978480252961,79.25918602686605,8.207591895305931,14.774603869678538
9.150332481455916,79.5372842070779,10.44233795748552,9.212921878074035
22.236730415355595,78.97223543577387,8.326640655559734,7.976603092923663
5.751837813850994,80.31634785828092,8.005054212721422,15.335019564357049
12.91096521320518,74.10771099208928,5.107577119032801,12.987810658125815
6.834150525985852,87.43288004109786,8.935860791953235,6.458476444012719
0.0,95.01999955559296,0.23775421380511017,10.433218876893848
7.635425413975126,100.0,11.204131010385067,12.473986237536511
20.08628054222023,98.35530093123761,12.65666580582922,13.609571433051151
9.549890103807329,92.81346197319458,0.0,2.6667509121406034
14.58734014300354,98.17809922604178,10.93798933331549,12.035373681909748
9.784107248171136,93.13770658214948,12.549550341965986,8.851285054005237
