Agriculture and Food Production,Crop Yield,tons/hectare
Single Peak Distribution,Periodic fluctuation,Single Peak Distribution,Random fluctuation
Corn,Wheat,Oats,Soybeans
440.94262722599376,2402.4592709274216,808.8540301101331,0.0
194.53562011345218,3645.2797925167984,421.4774058902626,234.49798425729963
843.5392080791914,4143.191375870683,257.4191737481234,298.6356472977514
0.0,4966.516763775818,879.6601905527062,606.7365053144289
177.7446283601643,4190.732747070703,712.8488709425803,396.1989640258065
364.66977901818404,3801.888284611578,689.382861168406,565.0327394838008
291.6532329585002,2555.4688472871694,880.937127130501,1064.5597607737395
793.5518382977768,1318.77348920606,412.28153299085676,802.1398341502306
768.2460553928349,810.5910871531873,347.48330311384456,955.7165768815107
311.2903291300111,84.97330142272203,635.7128982645502,536.0095145566876
648.4463281235364,806.5959227196374,787.4570591729821,464.1757307976584
498.479111084196,1507.1539272987545,31.294684215387257,478.4261186042436
429.2110827172297,2904.2328793163365,1006.6121373848882,836.6162596777762
235.34048455211283,3920.8524613876393,339.5349020977269,540.8321085689549
547.999531706584,5000.0,835.273919130443,433.6338672097558
365.51284997466365,4615.304130609201,467.08760525831735,579.6170163613881
821.0312063589099,4393.610819062489,1084.6590666744876,1172.295414891764
1317.1479748082365,3484.6220015999434,1910.9188619678025,1118.7668068197338
1804.9208466939995,2421.4871423186078,1587.9945082955521,858.763975751309
2575.861770749206,1354.8236082773742,1481.7837257770943,565.6496226795443
3477.830478927432,357.8578444732593,3040.2566059955757,1024.651877999772
3550.5002425312523,263.90257089503046,3491.6558082408096,684.1886119873793
4718.735068618208,860.8127787775159,4203.935607570799,820.0407722104966
4553.042241301217,1879.0697453119278,4699.2456201113055,1817.852443091538
5000.0,3650.849104351241,5000.0,1715.2003285542635
4735.58074646967,4190.972877845209,4859.86290177934,1470.4581499191274
4985.216661289742,4586.598218773354,4529.820842898914,1951.6634907885255
4185.9884103652785,4821.116788276064,4207.272931016789,2026.2786665311303
3402.1275170352565,4351.608645322258,3208.8256237198725,2255.3582460171683
2801.694817946196,3055.582627409765,2457.312788504581,2367.715222279854
1896.529037070356,2011.2100754800633,2082.7665882752217,2213.733779779006
1528.435598322355,830.3137913815192,2381.465067388,2181.352520523953
1280.7396075468678,175.2671341433367,1290.0322295768767,2623.2979064466945
867.7245484536754,0.0,1312.030461749736,2672.035247706444
322.88737074628193,1024.239037130901,905.5722826783114,2201.499055209099
201.77756900525202,2239.464191831213,679.6164438878674,2202.40222592514
135.1452346465028,3278.0563632881644,959.314503540432,2889.0096260905666
315.93666225090163,4002.083708801435,590.7532911830457,2147.246285106412
421.9949592847747,4831.2148411411445,578.2705918090647,2585.0516588769556
272.01759856684134,4317.4344398340945,936.3643779822767,2739.734293906191
540.7872422742206,3497.32239609587,365.4652376727548,3003.0338239588473
245.7749030105781,3249.1753111277794,865.4012091461684,3397.887320033895
267.921470333584,1563.6966056767467,345.71097731287017,3750.1506259862654
272.1191590424584,609.6814277155522,273.8277507887343,4023.801352412812
691.2909158085263,354.7510525341969,433.8654779214223,4550.188322525679
280.23221303976374,681.3801150400247,402.1255369365423,4505.587535098116
453.6676005156321,1203.6677942047234,672.8259144709909,4303.115891658388
624.257752047874,2751.896109081358,321.9149066852712,4178.488570952906
384.3785898549962,3855.19861791729,0.0,5000.0
516.1533095327876,4175.717840272373,449.4720218132033,4349.903241233499
