Energy and Utilities,Renewable Energy Share,%
Single Peak Distribution,Random fluctuation,Single Peak Distribution,Random fluctuation
Biomass,Geothermal,Tidal,Hydroelectric
6.911785302919257,91.23912245612983,12.007014393500008,77.66985058713101
5.277968447578523,97.98598909190893,10.588144012368938,80.4438724203287
0.0,100.0,8.383337310667963,71.93371929070929
11.603338456058948,97.82661904445136,8.883552155732257,62.0651686473937
8.06534860998721,76.49186492580586,7.1800331830826,72.42084106508041
4.050505767303596,75.93764952713555,9.620632940272888,97.53824503864554
0.3596629875229412,82.78937607105618,1.9316434254761932,100.0
12.509776863382196,75.24731139989343,4.674067873721924,71.46686220814516
6.468772296965904,70.61205596279768,9.736706371369,72.08976351049944
7.361701629403536,57.240787736265354,3.058492508348824,46.820337164646666
3.946910357992397,53.46925300268578,11.748797534723542,37.17137843508804
11.210148135264681,52.64419863119989,7.437676917513314,25.094938539999735
8.838099495493298,40.944199426599035,12.873352998800481,39.60542631193026
8.331914266991244,49.446151112740516,3.594787546302082,30.91477075033053
8.972243001810005,55.611228789665745,11.129306368448386,47.27137510611591
12.672044284576433,31.957874877428242,24.80208597919362,47.584623173224024
9.172004506918515,25.15258108198339,12.987593474208802,35.317799310584384
22.571595276974183,19.075875415604106,28.10113357630466,38.71833771388703
21.695446284841974,31.043792915700912,35.17639754631388,8.23938005127587
43.41044594883201,25.68634922200615,54.156847542552434,17.685367639921136
63.124594231681485,23.568527533826344,56.0048893536545,21.227192325935267
70.628336050021,21.06767137510607,71.1030129881293,37.29588314296291
83.61497149345811,16.801300534685346,87.05357082503747,13.816942904388283
89.3730303411248,15.086269789277281,98.04248663995229,0.0
94.1294599317919,10.454438760338663,98.5834119403642,25.185343273152487
100.0,11.62199642954346,100.0,27.791637102548805
94.59870267342662,15.102158434097321,96.5534556487128,17.8205201607647
91.48176689718682,16.170522262881583,84.27167687806234,0.7059936369988119
65.88915929415599,5.299680467438671,76.11775945713511,22.827540377609882
58.561987147520924,3.2014967646756562,63.94899348465144,7.913331753899643
49.78202508272023,0.0,44.77812468859791,16.39907855190878
31.175543346588437,1.9003528522562887,40.711658705334344,35.38622094608839
21.5684572068181,8.960384498509628,17.241664261551563,25.747559401057686
12.343981809522694,13.662641669929352,19.204535102059115,38.0165559905999
9.590105937821471,20.760947036861573,13.191172707300852,50.500285971597755
4.303357264892947,30.511190963020994,15.879707091977119,57.10098568168368
10.684055749983798,33.00254671716942,9.751968448552343,77.74882508394629
9.951224907864027,46.946895856214844,8.082637555289866,73.71981061047997
10.629848768665754,43.296640410685896,0.0,68.10829158214608
1.7975093337131889,56.95250108973459,9.229146477071227,83.13368151345529
10.826130093822632,64.72578804162762,5.301536096197145,51.04086280586512
2.215415878593552,72.96805059758866,8.412100020764539,27.09141533439402
3.341392143159786,76.70702333012413,12.086312133475854,24.339352758073588
3.2191583237553023,73.05097004400785,3.587987573902143,19.898938318483236
8.018505704383234,76.49451423298764,14.555802118956363,34.528246215576694
11.444311601944932,81.96922668065957,10.975031636363077,22.793653640086337
17.357173163767385,86.71816516293245,5.52652347504054,43.32842269485743
0.969392298556325,91.01058541334073,10.806174745816344,31.63531287399504
11.233421752355259,92.40590796324396,9.311141466640887,22.35156600676572
0.9591195824407379,84.39350683449818,13.115210872246303,46.04038575041369
