Real Estate and Housing Market,Housing Price Fluctuation,USD/square foot
Random fluctuation,Single Peak Distribution,Periodic fluctuation,Single Peak Distribution,Single Peak Distribution
Rural Areas,Mountain Regions,Metropolitan Areas,Suburbs,Urban Redevelopment Areas
888347.4611033852,151992.13692447296,490774.08259065426,99623.56074604463,69260.89333204812
851173.3281419551,57056.427242567785,744181.0205781388,79313.2307901328,147809.8166677298
1000000.0,66099.18840208014,986550.8643736755,160024.2478693582,65756.22544433114
918953.8787338635,65704.94045833175,967318.2801314377,77149.07994609138,39486.4182113631
857580.8333308975,115116.06296164762,840875.2971683437,51737.236606434635,70568.319379576
892990.1992721906,84623.7848454015,607544.1874068746,116747.11920651529,118252.85481823057
917801.1088904054,97272.32569082317,352727.2702933084,28913.860960810438,69369.97080168837
924531.8686434439,168028.3592288162,173700.54979672993,63965.17447632191,70621.32044987129
898796.4250161789,92320.35484749028,29008.9277399391,32792.196547072934,133815.49033560202
824963.8301103305,0.0,97807.52572339831,124021.58804554997,102590.47858460074
830537.689171688,76537.08032990615,335412.4356567328,76905.33792187733,22664.17850814702
830277.7754576701,19612.287261023223,569891.3293335668,93565.44211981703,105238.68430643587
704588.7374619343,111894.6933433739,836579.5629892024,57694.82752955324,133295.47482555997
744550.3545460562,173605.59867986207,974167.7727362465,46712.75174370006,128868.36603583596
686225.084658102,101602.74966002037,915573.8764790758,172554.47305966177,64241.252130870664
784149.4713287257,156289.91342638948,792343.5418908866,152621.49579740147,152760.1310586059
760570.6266065623,172289.9904512839,628863.3362208721,219791.54815574276,208877.92294674137
781606.2647879296,210467.80812271585,313775.35597184335,325390.61017587077,327773.3846032773
672607.8298719259,343093.21870962874,108047.18462207868,402249.4632438696,320739.3008895367
696953.5500219794,519125.331311877,2322.3988864533617,461492.4659755845,573717.3535698897
720287.9583956995,529245.1590259667,223237.07951095726,585128.245548891,603555.5716742757
653670.7616154136,742972.7264572346,399078.5054385231,640334.1003574849,702014.2280768874
609372.2639437781,876616.9248915733,710038.8670044804,940967.5429504947,746272.229358676
551937.44780254,1000000.0,916079.4443404637,1000000.0,880564.6406232882
683236.7179591516,939964.5294612955,955761.256032787,905846.9790594863,1000000.0
575402.1322452477,999499.2141300883,1000000.0,967927.0764403907,907717.185760715
597115.6991978014,968854.1455166455,692220.709313104,915457.4587799424,880104.6324202428
586232.6734399886,861765.0249976859,475559.1035270891,954501.5327090863,763881.330352479
663313.497636521,758434.2530644295,252986.08497791685,667529.8664698297,738643.251991473
474982.7988765546,624075.2382870675,0.0,639736.7529091534,603502.0852608372
435412.62701843074,514375.0271499627,30537.042428120778,455100.5028733839,362142.6628572781
319234.9570289778,319220.0895113319,257914.23824364212,309813.4674864084,389298.0495875688
370327.5761571198,246699.68387702,441549.11671589315,246116.13822807782,271075.39199880406
403666.73140147905,167926.27389653254,698684.4753125403,249548.74085057978,232798.64224399507
162346.34794572613,139350.6616378049,953038.7182963793,123425.77525150884,209893.47891549306
0.0,57957.2389623492,968229.1087284151,219679.71034006352,57979.84400379686
25257.97716992835,140110.70812612076,931676.1538175509,50011.10191678242,123801.06948925953
55513.975120936404,55984.496413175395,668391.4866293789,43665.9363179609,131612.37827853725
101928.66436262729,90725.64880436506,364285.09162907954,41769.63054046022,0.0
151774.56692021826,129895.30389729975,179569.73337478738,58622.36767131757,74699.41126599156
96887.34642968969,170379.31593055543,57814.44937333677,113543.0634774527,113849.50307369455
239003.54185218248,181697.49587842546,77124.94535258929,814.3055531897633,128155.72229941138
213634.48968306396,157801.45071269787,241836.76612625437,96829.00672334536,107168.15271901392
258911.54640836155,134588.8291970461,533947.9017601799,49033.80940803216,143951.11333338663
445818.18973824364,57967.10232081911,766865.0994744456,44245.61703970457,103140.01222961531
469949.17605791317,87287.88890149914,943548.2135292607,103255.28250397053,85188.0554455825
610931.8960070757,46375.70846106584,941539.3131246836,87358.08998785235,150085.0088555828
810581.0067727105,97218.53568890553,893059.6898246463,0.0,52628.422799701315
754551.96880829,170474.72337242455,642680.8272586197,54775.56219965566,115600.97779050581
701137.7957107183,48163.13725438259,338983.40059792495,73540.64006917935,48913.60106457734
