Retail and E-commerce,Customer Satisfaction,%
Periodic fluctuation,Single Peak Distribution,Periodic fluctuation,Periodic fluctuation,Periodic fluctuation,Single Peak Distribution,Single Peak Distribution
Return Policies,Customer Support,Personalization,Loyalty Programs,Product Quality,Product Range,Delivery Speed
50.00547539682404,9.603902366936827,47.89169903024734,45.07840533292616,43.25576602201014,23.545432283284832,0.0
76.55754032525147,16.319930398993325,73.19548433474682,67.88909803720456,69.49754247475313,7.1191538217620005,6.466717278734974
87.68638640230618,8.079082467783962,92.12396150006562,85.81523613125532,90.72879043478792,12.34900341742868,9.443114221137956
95.70822643888616,11.534540879704386,91.75140615480042,85.85954316572108,89.27137583085056,11.269588003881411,6.20481838719088
96.45312004967367,0.0,77.27554628969429,92.67721078601906,79.20581814649671,12.938565406433767,7.457647406186268
79.76869389695041,11.312360765609055,46.87684091743957,90.02762119775822,55.009120099677865,4.110338581669387,8.457879136170261
58.9701481777543,18.882603907633793,20.436662436026968,91.7514298061627,30.87308420763054,10.844030646557043,9.386029193238981
47.637488034417395,10.953418611299746,0.0,75.70267740758231,8.463590092252705,10.62468771800867,3.4042461056265516
17.253830493252938,11.705483579802504,16.61903909838679,57.444942357204944,0.7934645461688521,12.741415834852152,0.9576452883222607
15.96859656405975,17.024284521541478,32.629074637366855,51.11818934595337,9.88086769450643,12.030829067936489,6.5657064152358515
0.0,11.094978001994624,54.25601506660001,42.758304864566426,40.30717446094773,10.494842304492837,14.60962600857033
14.285107678472258,4.206923538196048,81.81615660046589,20.273873243325134,68.14274539439809,0.0,5.284523567727531
37.36381603875625,16.102678479981414,93.22853876294859,5.305136324246203,86.41609432511417,11.750624659311908,4.755579007108925
47.90968489498223,9.629072585908062,95.93951074370337,0.0,93.18962520434461,15.586246656116383,8.277018185064053
75.65410386212811,20.96304184000529,61.15451274798907,4.132972823527292,91.26447712452689,18.86085831998865,8.036702995861269
90.78507848147095,15.17010004913099,38.33454835393401,10.660993998332712,68.93374139865482,18.399860948135384,12.529219457506843
100.0,22.27240766794375,17.942119224855915,18.636193632074487,38.07358248951817,22.312040340376083,11.953857751844895
93.52776927690624,24.75765495973056,0.586806893004086,28.765213349909498,17.931791142020597,28.356531046060258,27.941367662806353
79.86923833434558,36.00480116970941,5.487480360819298,48.756140373038555,0.0,34.0128353693867,32.2425399938027
61.30747118647552,48.60621354698034,41.86508263353888,59.39877896160526,9.355984836552686,49.572630927046454,52.46263946513506
45.11859939283108,60.28378578039564,61.636870493073026,72.15022979378044,27.362618622855233,47.401032685834,62.80339933931736
22.27267507044327,73.00172965719408,83.05673469456634,84.16289891974209,57.35269687643756,67.73700230157968,78.27808582634287
6.944363920142633,82.363348663511,97.33957592071224,94.4968327856622,77.96129945534798,84.84853562806592,85.60514247776993
6.959826548167131,86.52249911361008,84.91612482545075,92.33316412490798,100.0,89.78055874077857,97.32619712774854
21.21473938882624,100.0,57.87851510003234,89.70214223601641,95.38898802414654,100.0,99.33797179719525
37.0072083088619,96.4324238074555,38.241154736554655,84.34411541070286,75.07253892455797,97.18055596918737,98.11670350383184
51.96164140317477,93.31847295633875,17.232445976206265,64.48513397598667,55.35498241474133,88.01432429932984,100.0
72.42101862717433,84.95286599035524,3.7032287563358137,49.99855931927997,24.263681816828917,89.84912650549462,81.05986641669263
85.71150322453627,73.81413251857032,19.182303660155455,38.53562758483347,11.555377153792248,70.73454274856952,70.95324613715626
93.25719511392678,59.47329278895553,43.39622055142919,20.21071474942776,1.8972260336419708,60.262512909435095,54.44813545786701
99.09856118568551,41.8826931601813,66.02612554283401,7.943509384018231,22.25365335051639,40.71745064297285,45.01488927885247
89.76687434080402,35.86250452298333,85.64221454023429,8.648939616208956,44.07019029335466,39.653353834356714,31.753559002883293
67.87545693312003,30.95157616352906,97.86765282775256,4.2756679508829905,71.76453208621415,25.531206747333812,28.7211515402888
48.693415322478174,28.965236295596604,76.78575747201332,0.8365882253823979,93.25612261517324,20.41280104181987,18.443906274433974
24.44467619316048,18.30154616493824,63.58074241440404,12.312776041049677,90.26572298324776,15.289627775985345,14.847496474859199
10.974289396664723,4.039512506769691,31.57874274342513,28.181788421120785,87.88026408309824,20.581491387632134,22.19435238084316
