Social Media and Digital Media and Streaming,Social Media Usage Time,hours/day
Random fluctuation,Single Peak Distribution,Random fluctuation,Single Peak Distribution,Random fluctuation,Single Peak Distribution,Random fluctuation
GhostPic,SnapFrame,ViewTube,Chirper,ProfConnect,ClipVibe,FaceLink
7.035036411477604,1.3826820852268664,4.411067027156868,0.133123641163465,4.055711371138368,0.531045728492506,9.549159566137634
7.0512193844203175,0.49751004838103546,3.149299210470814,1.120303984771843,5.591890420958889,1.4514039615758287,8.756236166169058
7.772399034362348,1.7433458049658674,2.48231886426305,0.30794544500532545,3.8544230061496094,1.7745038139562463,9.983081118773109
8.032257495586478,0.5837923691056474,2.7238717573221845,1.4862144634753147,3.6998049557169974,0.7111528831455082,10.0
8.227169565638121,0.41592654415207087,1.908714833019194,0.7282738461613013,2.336321775847982,1.1154026615832202,8.938585689396183
8.078254787956439,0.7553163995407355,3.5401753675939234,0.326779684247647,1.7023162608960245,1.0710121464560485,8.811652266798703
8.177622226230712,0.15467637387349897,3.699869845422768,1.3970188944655202,3.275781734432375,0.6301107151019254,7.296699694785174
8.40714884754454,0.681514336895581,6.704642626782142,0.6829497165726017,4.388788789099028,1.2923860036829486,9.049071343116944
6.434211663154581,1.2235814695217848,7.806400570964293,0.12391041700845047,3.662671593958637,0.0,7.477641666255353
5.71532697078203,0.2959297495132116,6.2913595304288625,0.5687309024368513,3.6382922947491836,0.9754581418078873,6.401852773227338
3.7654553316549078,0.8190298504834956,6.437602294419426,1.1141455029908782,4.655069120597987,0.5493679485969861,5.525046524280467
2.915554545566085,0.5483374603717537,4.927987590445266,0.6908395019573498,4.897408229025531,1.8741647489631243,7.364534242361362
2.2000653362314635,0.9144916218792216,5.3234063135450675,1.5578189888670257,4.058790704111781,0.3023685852881767,6.530074005903969
3.962448862367852,1.368566081387652,5.658761971535826,1.5915820554823725,2.7925948154107347,0.5159216743271086,6.966597765595558
3.901978930723991,0.6864818518787661,1.423287455237997,0.5371907901422507,3.210613600019685,1.4133501804778617,6.396650463318623
3.691495813175991,1.4583464842792482,2.311751623460818,0.9588530507916995,1.5255080870871798,0.5853145801239578,7.823303743616963
2.689522657789562,1.714873703669214,2.77711085251013,1.6804066779008808,1.8182700312233697,2.021656427290298,7.707919923464121
4.3741492433615345,2.4339783621756355,5.034548935489997,2.380872964515169,0.9769821664689581,2.374131815506046,8.809701192163228
6.198855836799515,3.5702093495670457,3.285337155735451,4.1161095426561225,0.0,3.0831691989544803,8.652818415213076
7.016676529442777,5.296898866601383,2.0962640746973897,4.4761811954934325,0.47706528694360656,4.347090984045216,6.650626003531067
7.634334821392537,5.240745113750748,2.3292790660709515,5.888461590844719,0.8496430994449279,6.051553355915181,6.925884795017222
8.58161433731109,5.926046724261713,0.0,6.395214838225483,1.1142449755100157,7.133845235830709,4.483424573381437
9.488902814543085,7.582808654747545,3.1454154626395048,8.167188413317971,2.5310541546013616,9.03572764427216,5.8722783810039285
8.862322490747006,9.008264232072623,3.8767833837892507,8.971905392257705,3.2240617645201914,9.940176767763925,2.930443825587238
10.0,9.309313295475455,2.022667649777359,10.0,3.5461934686096663,9.729232948728868,1.935816812287897
9.251624293057773,10.0,3.552421656823986,9.554803070996744,4.453048910134231,10.0,0.8019396661924895
8.19985379074808,8.417116444744622,4.796168383067605,8.780620624390021,5.551321998278974,9.729660231235412,0.6675418042442643
8.383301520228263,7.7543755592231385,6.2935160472058795,8.561407791770145,6.142589710005971,8.254976187605855,0.0
7.7651466029040686,6.264489235883659,6.277227997260686,6.4964937746878695,7.096948888107112,7.325418971492347,0.9065561035203084
6.3591809221308395,5.500234058377331,8.380656205533088,5.389796970511769,5.763917640398023,5.241013863244684,0.4091772921082148
5.859576807322604,5.091543928308729,8.726320369539188,4.086970465826371,6.203687334943542,4.231344206599273,2.1691514529157385
5.751069633749645,3.011328994339875,8.453299831423248,2.9186964282745715,7.12692405750078,3.3901622397080415,0.38445872281832294
