Food and Beverage Industry,Consumer Preferences,%
Random fluctuation,Single Peak Distribution,Random fluctuation,Single Peak Distribution,Periodic fluctuation,Single Peak Distribution,Periodic fluctuation
Health-Conscious,Budget Shoppers,Tech-savvy Consumers,Ethical Consumers,Convenience-Oriented,Organic Shoppers,Premium Brands
23.150620736789286,1.6740828676567434,54.72434758300322,1.6615462378250296,43.34610309541232,17.097087217986452,54.356675046458626
23.259005019390468,4.193490220273227,63.97575116548671,1.8750201792685752,69.6527812055527,15.851399675061714,72.23477454324228
17.872599889026326,11.493901690432342,69.08991341840296,9.624112449134271,83.56823660246818,11.594688978086827,89.00003874409326
15.837214778307146,8.079050437365487,65.92559107447579,6.573192817369784,93.44839553709431,7.313601777478749,95.91531836361597
2.142419980470696,9.003580116733932,70.0053547358696,2.647626111613207,91.75479814496109,2.8906073631766867,66.29523426179519
3.8305464550335047,11.723139453996556,80.26490000246571,5.194469358642491,81.02537931719614,5.003059250152909,63.84516505104387
5.442184876948511,6.390569780636845,85.72351954663081,9.026070026927256,57.73407413990037,9.171111414943487,19.767576933324623
3.503081169351218,11.222088211949337,68.03107698381137,5.99403043868993,28.997626791259357,6.075572500406786,5.690666777484556
11.497016294425233,5.724409836883842,68.75526879560677,6.276103432708771,18.062648492071784,14.806678812963042,0.0
13.421441392815774,14.757452351747899,67.6611828482862,1.9892464041917495,4.224607760802164,11.786122432036917,9.798884788895796
7.2406326539910015,7.66790245726553,78.15561913172733,11.333697697866771,0.0,2.1162310696183235,33.11188696504815
7.4394866405521745,7.309346931376137,89.04875389094028,13.536133067522194,18.340277942147765,9.047981842014085,58.1328042496596
7.7103108811545695,11.939667816824064,87.3189821919399,13.949034612690323,40.29462503141938,7.525466160646477,85.0203477483107
0.0,16.898541183788762,87.01724924797635,14.939302481131675,55.778968600056366,8.567640953824954,86.86454787426943
5.598404194547809,8.878246079698284,92.67987189196812,7.794475355612955,82.13656786017536,17.34364888617785,93.37777717214279
11.372384597345322,11.906087421570174,92.17831486143912,12.537241455695778,92.48896557639556,21.05681096496358,67.94654030889883
14.59397906140039,18.332504489783418,100.0,17.036445514816137,98.1622215317498,11.46900037493167,51.61634429911047
13.680421448464376,19.400894109351636,86.308069339861,27.880313023153786,88.51046780126565,31.78493714610346,22.86838873836184
14.315032088377095,31.653011215325776,81.69452724854533,38.82304284497272,76.71232843136828,34.000129370781366,9.90578131002676
13.018210412672152,44.957754499349186,70.41205933738584,36.07466456060929,50.85304452440297,51.437184640459556,3.5858654709611213
14.393607345080984,46.60132681197992,76.12017292660316,56.23273435385242,26.680567372414554,62.342619893676655,21.759216361905338
17.771606931919507,58.79716111692071,85.23167681792327,68.44586072468182,3.5912526369875137,70.97483406773499,41.84344345346211
22.195789931454488,75.4159630913691,95.2676326781278,68.35036735140851,5.929310198707739,85.44854448639767,69.72346342067806
30.30733068876271,89.86746639956785,87.55212325626603,85.92303286181804,3.2281496638673697,100.0,84.28647273293166
31.43912270671139,100.0,74.97302222719506,90.93403442027488,20.824592250748815,95.48466812944122,93.51749659398466
37.09672368502696,89.34776890765858,64.67502289071795,100.0,40.676997533436754,95.08100204032138,67.430174660289
50.02376251940564,89.13099015118307,64.47100652202896,94.32123942292908,63.27306402160811,99.59229476589991,68.32584344198659
45.80559726557494,73.65481931947342,52.24794502887862,74.16867378016676,91.46722778860436,85.91532466285943,35.47492505924353
43.433666609001236,60.622868652830974,40.26314603904648,58.10806152311277,96.79247505043432,76.42548206733535,9.661945977585068
54.032553359573555,52.3949545643015,43.41044397749324,53.92295461139865,98.69437195256823,62.545583139772944,3.53404865783654
58.34526746741594,39.69743945218552,42.7943478052114,37.06950535901811,91.51295127804822,55.61377407686232,15.099226427205153
61.75229686797229,37.82847307073166,36.161993274814705,29.59409892335706,63.904000163133134,39.40483364337711,47.303664876858186
63.57332019899316,22.509360442656916,31.756647463464994,23.7632557605712,46.80339126740306,27.92898078422097,59.29273252971807
65.60450696091091,11.723910133217968,25.275760483479942,17.075807335268227,20.923731431278856,18.407206155944145,84.77801084112826
73.16407209357385,13.78926293705471,19.94006210166292,21.113098576914815,0.9775261161026767,17.860304758365338,92.66594179809141
73.24473223977836,17.60153972219729,23.73076209224188,11.719655026711457,3.8182362103582763,6.110023594008675,100.0
76.62436823701604,9.821008465157972,27.182093781657933,8.419113260712425,8.96082784730469,10.183766369538336,71.59584024124254
85.49391519078657,17.220032418118343,18.391921813457245,18.270611598551735,35.545338116777835,9.10652963955817,38.86369228968369
87.2326033679611,13.960042725693711,12.75155323125242,8.533445953967089,43.564573997161595,5.620396755381826,27.020805955592703
94.89278313379256,4.672774935639225,11.920147331509318,12.70183998134442,73.49030777947713,12.739989640194011,8.636719436404837
86.11903277494055,11.536131913162782,7.716852073719915,6.462794544592095,86.85484691016482,8.200337700120592,6.95890102223784
93.63318292804671,9.420544921837555,0.0,3.1547943652214734,100.0,8.316413567069379,16.139469152768314
95.8867829991928,7.040995925333345,3.171776274941425,2.511856031818673,94.96006862401389,5.080031864397645,41.3346198516318
90.6891067406847,5.473406269161957,5.367930179154029,0.0,83.28668866190422,8.611867775288788,67.1268911570526
90.43005652184125,6.968062656345017,23.511089157513336,7.743275742851734,61.88997642630236,13.846919415327552,87.58513417857911
97.90870277632226,9.257272302533046,20.375707386680308,16.137354245347566,31.446961892493864,7.793145374455736,83.19155816215397
100.0,0.0,27.033576492264856,12.086504432405103,21.460793027345982,16.131140543835375,79.60163301999579
89.9462127714098,13.573084136272406,9.808543135425635,9.248921427727003,3.821191893664059,16.37577392755246,64.09944796297124
89.02106012641757,8.368798498395783,24.101476957098246,9.404904340548446,0.6690009353410302,6.565591943908521,30.321438940593787
87.76560907549992,9.458723553656192,29.579844281159183,12.287827615627672,6.770927136286238,0.0,13.372707796889308
