Social Media and Digital Media and Streaming,Social Media Usage Time,hours/day
Periodic fluctuation,Random fluctuation,Random fluctuation,Random fluctuation,Periodic fluctuation,Random fluctuation,Random fluctuation
ClipVibe,FaceLink,ViewTube,ProfConnect,Chirper,GhostPic,SnapFrame
5.537812142324508,3.2796515402517223,4.692282573815094,0.8868410669516165,4.625740499594067,2.6349120487900572,10.0
6.616016749808585,3.814159072946835,4.467521959646526,0.2103558430898353,6.9259513467053,1.64602187983549,8.951665704856103
7.699068117963765,3.5618436168293623,4.844136606371933,0.6584696389288349,8.525733670279651,2.333443877571884,8.839496067363351
9.358886690792138,3.5167233139469585,4.306061533971314,0.28271819634470463,9.057601280501817,0.9071526939205605,8.568568567640316
9.883411835297785,3.142999766427139,3.9756153791436013,1.9173374456957313,10.0,0.8259971782033724,7.857554182527946
10.0,1.3379243101550546,2.971352822163295,2.7757747826647,9.508415757470463,0.0,5.882796170410395
9.516628154662385,0.34205167022405436,2.3931051996336685,3.137489926369125,8.493307480570662,1.2400479176573085,5.672974403628328
7.768906401673689,0.0,2.256955719541035,5.724490807632202,6.898402601338102,1.0411758088187713,5.422689147257065
6.607731590224471,0.7831396238704734,3.047680641184789,6.9517935820273316,4.549700097058885,1.0536802660734477,5.98950617357063
3.910714486628601,0.3197066247020944,1.9977038250707004,5.4140465223573875,2.782148069816638,0.6725992364656598,7.267400482789016
3.1887206291072294,0.7988013511489073,2.627292817977846,4.622765451875807,1.1794530090068467,1.8584849243736745,7.000181250566328
1.7404907809767307,0.1677804434371025,3.448119780389595,4.90526080965581,0.050816954704271056,3.179160155420455,6.875102698388993
0.5896585125292807,2.5476232882770944,2.7478340377931216,5.580102420470402,0.8644708793410563,3.4969233516692624,7.510546347167257
0.0,2.830018284916112,1.2254066833116237,5.167413602328846,1.233938416741958,4.234097804966791,8.248009307696956
0.7902166378788945,2.612988985144014,1.2206399444129352,6.217946187381607,2.197214507523189,4.230515108256772,6.952681476886031
1.7985879320672544,4.960179943763165,0.8433965184931341,6.8897332690579836,4.818473255319974,3.5733500110055165,7.476313814267793
3.5954684468608047,5.368726752968739,0.20566733316356947,7.658775515824308,6.515861347015127,3.6065067387839806,6.727655442617495
4.56587043670419,5.99306930903335,0.0,9.62989115666226,7.978589937096766,4.565854353502458,5.79085946825983
6.030556630826802,5.1512739424124865,0.2812752013074584,10.0,9.7975476369408,4.138920530296468,4.867487797823199
8.550281732697956,3.123363038386366,0.7632928085030338,9.216322580327358,9.63107249188779,4.730935892260032,5.5403885844948455
9.236132743837189,1.951720897242214,0.9798414566127845,7.099740882797345,9.402118054405475,4.843639537616939,5.937143611480769
9.708094587466057,2.9613503076747256,2.0814126234492907,5.718792292019737,8.31703334475484,5.021601709672901,5.13830174121275
