Healthcare and Health,Healthcare Spending,USD/person
Single Peak Distribution,Single Peak Distribution,Random fluctuation,Random fluctuation,Random fluctuation,Periodic fluctuation
Surgical Treatments,Emergency Services,Chronic Disease Management,Preventive Care,Mental Health,Pediatric Care
1081.8846604130779,0.0,9795.46944496451,8774.420216434512,9485.609475728284,5357.116327074211
274.64538294864593,1293.1829138596577,7557.679659404216,9827.436485791013,8570.947211819654,8339.381345510876
448.52492517816046,979.2948532623873,7167.8424389509655,9801.340590643355,10000.0,10000.0
539.9071977654582,951.9688069473372,6520.939791540182,9072.863046917204,8656.920070063676,8494.508780506208
79.30676985835511,1626.591737786569,7831.976156937895,8288.609278647447,9159.379223114025,5672.346680714179
1529.3541423089944,1595.6684868314246,6592.888320762205,9128.546887485018,8340.3113723084,2646.1506745699044
729.5418029961439,990.3890388918371,7049.2169518952805,9316.259154694955,9691.61873688677,1676.3865492669306
146.39722049205363,1538.2743877387716,6672.21512646445,9869.163267270844,8054.418709129723,1291.9439377123574
1040.396720128337,890.7731077861779,6784.942614149201,10000.0,8167.375224135768,4679.948179455948
493.07109145654596,1262.4408501727908,6161.7488763364145,9912.855148583867,8439.833234595173,6670.712368640089
1301.8058966534277,1426.6653004660734,6512.007166246258,9695.724193148473,7327.023126996254,9984.170634918986
1402.4236280997418,1707.7474879294953,6894.215845277621,9581.364742840735,6602.387827953614,9002.230891365445
587.186054085058,1231.6808912678168,9061.088812330787,9251.468603462405,6631.061763572259,6914.311198528348
640.8498072413432,1829.4497777101512,7787.43920295446,8409.26883770821,6714.292529852799,4281.115329413493
1020.347394077121,834.1005152325616,6239.439675952124,9175.835803351541,7200.4449765515055,152.8962144972502
1180.1225855722312,2739.764973972291,6456.854041921894,8650.023900494882,6590.731632980277,1950.7938011641213
1760.6680679210804,1878.076838316367,6630.822489071738,7865.297965563912,4678.053449248833,3946.2865859721924
1855.601536046581,2254.013738705747,6483.54498503831,7521.200518586379,3319.8299026614945,5983.980750035548
3545.409020876698,3633.6500118250156,7466.705516078761,7262.379027319177,1254.9162907265677,8249.711994012649
4511.576541582207,4427.0007000446585,7646.278934680177,5248.909181970495,2725.2047228882907,8635.163613103728
5558.560677251866,5325.671122706603,6683.7959305395025,4482.097510943288,3596.1489032410605,7896.2495416224565
6748.559114780024,7231.701357815593,6048.513547462214,4124.884332264751,3807.0292930458645,5076.101049005176
8460.898724211307,7780.774333297958,6260.608154863333,3207.543822052532,3831.8407638019294,3359.791608342247
9341.353002659962,9051.430669251407,7198.061988015397,3210.219116708497,4348.300343410556,2282.875653078623
10000.0,9662.474258244918,8794.66766116905,2740.651829612362,5657.34487859474,1950.4387537876355
8745.837259404585,10000.0,7010.837347131942,3042.935314992089,6248.363006841338,3692.015105433715
8830.04999851403,9815.769972312397,7053.471262483331,3031.9679312521635,3835.147698379856,7738.962749049878
8094.807405973208,7933.676727338074,7614.833898692196,2756.0021029377363,1420.4474078018675,9630.40173924473
6911.593518307474,7297.667917801598,9371.63758925914,1912.811734782917,0.0,8652.558216032554
5312.0905728841435,5984.701625499632,9440.00884196612,1696.7643261075684,897.2076274055665,6837.722262375806
4522.675274137374,5073.208368189048,10000.0,1602.8196352512134,575.484201534533,3776.3400113485186
3173.5662899031477,3906.146510905785,8520.466092638788,2091.7520864464127,446.3883436014697,2148.64588265133
2112.6799956908026,2947.1047507598264,7340.387149619009,2439.055613684369,2251.996619789003,2022.0240217409205
1276.0532131888863,1976.7707859942936,6103.1950461443075,1827.3651975824557,1680.487903596619,3582.5359469258656
1248.5852660557853,1781.7656605458264,4358.290235554146,2022.1506518536412,1817.7654399992052,6023.938300599523
1817.152296757794,926.271023224097,4109.366819713966,3136.323729380094,4208.593404981113,9218.426584116456
1413.5085692775904,1578.9611725168422,2892.9719525457344,3481.728913031487,4870.852496926259,8898.410388310918
1106.8420855196205,1472.5515952053659,750.6140463087457,3268.44110872166,3644.6062669938256,8035.729976383847
781.3299048435457,1670.7750910706582,0.0,3414.817367705675,3698.933062758362,5148.348078923148
674.4119273134196,1415.2328685228763,1623.5614720790043,4218.763517658289,3512.7141640620234,1514.1295411691297
0.0,1046.5633226855546,491.93610324681265,3883.095530564653,4131.111497183193,0.0
1026.4170875136783,1932.6163792579168,2260.0989412259537,3156.830898964351,4324.101814976366,2721.9233220949714
722.9639140162727,1381.0401898024677,2060.3042907757635,2918.1316390245765,4197.418868363867,6173.554901428091
1103.2920620554105,1334.2282573330258,241.54963305203316,2354.0989466351907,4788.890564664479,8096.385515075176
558.4534300447525,1382.7337427000125,659.9816119157883,1054.620897133482,2935.75645630658,9069.86635244342
630.5162634761346,1073.3891989796418,128.21306228243387,1187.5479002207533,3094.3496769463663,9163.293795053109
457.32855191623696,1316.7307207033887,694.7332340959481,858.7768338238274,3609.2157323585466,6483.012219208651
598.4634912625351,1130.7536610910527,1516.5166814746467,375.36914797938965,3268.2296313428074,3310.2831591431427
879.4565807305839,682.0209556489066,1447.3076822703133,0.0,4894.116183255434,1121.7032336311147
1155.1779342141447,1185.305408635645,1352.7992098702155,66.52132495009377,4606.282750818646,1440.917911095669
