Sports and Entertainment,Event Attendance,people
Periodic fluctuation,Periodic fluctuation,Single Peak Distribution,Random fluctuation,Periodic fluctuation,Periodic fluctuation
Professional Sports,Film Festivals,Music Concerts,Theater Performances,Gaming Conventions,Comedy Shows
475679.10046673514,500543.2686790852,139818.98485097627,378635.85653800576,520812.37644559395,408727.0107008361
780228.733177066,814180.9337973793,124322.66469373724,466482.77428646886,623500.8285000331,599220.8627340537
965486.6568420598,940962.6366004372,128538.57943534978,543004.5922679133,826051.7880520367,741618.1533546189
888462.1776355028,786482.482645094,122888.87603824472,407306.8214842709,907364.7552769195,1000000.0
555461.5159949821,451766.0768200038,177772.5055352302,526745.9145568263,977260.616340871,974608.660209885
233884.31623707793,277271.50650443276,114844.22478554025,416225.309847663,976386.8915849904,897004.5056846457
33159.78653228138,1123.8854244794916,111594.11137446355,375405.1232637114,907994.281452834,812441.4283772765
78118.51705768846,164960.18158840382,140529.97845103737,360428.4302127623,902274.8444476976,571087.7150449118
393386.1531839467,459764.59503802925,163084.89309419,310520.16403775,873837.3911141101,492512.7635191271
842745.3439668609,784242.889729301,43324.112030559285,300671.77718462126,688828.068354531,253919.49855437718
980076.7034060926,963554.215090912,133875.2260974146,118689.78924537502,627930.7098615998,138341.1759457537
926914.6545109473,820739.8802399707,80208.14411825806,159251.70432158213,516856.75424478384,91284.10370822519
649518.0280376142,547198.1815083313,173893.2057282306,126028.14982847047,286577.9036711175,53770.049788361575
232995.12250852052,208286.33356426904,116919.51657558483,0.0,250614.04065356325,117826.98935224139
59211.745478861136,0.0,250937.21810956666,74040.66307511668,36720.330400964565,237884.14318391852
104760.18095452887,64143.1854308947,124934.74610871298,115703.53847703815,81432.42194944216,397685.21087315166
365587.664243029,380989.5853406482,259227.7018375448,378942.2974355435,174550.46070490594,682336.992420288
650274.2284742757,723652.7191615466,280540.4737072321,459551.13118316414,69774.89853310688,772249.4181740574
957854.5305477962,923976.4535705535,332872.6764836999,534612.1152996965,143673.56689251892,933068.9010415311
905285.4614085901,863345.224063675,432102.66198963945,550363.3008988324,283986.8628685762,901016.8958629041
716145.1412497507,626961.49653673,518048.31046367274,609558.8554107506,370722.65400172735,937609.6492459245
306852.8110397857,341477.70178947685,600944.7343121633,739626.307989767,540722.826325085,821446.5562655801
49705.360338921884,102318.61154825313,806192.4392852131,718548.7814071942,615124.8557393324,717561.2426379648
0.0,56623.97820403025,916896.1324838067,819186.817290285,745751.4162995133,500017.52421447873
289303.9946364938,258024.52839601837,912554.1792174941,683976.4694210424,863014.7416722074,356836.3163186184
627716.147978897,557123.1752518108,1000000.0,592186.3017694829,904068.1227632434,258674.02672560085
928546.8683325803,882565.0629057311,891316.2803575327,602275.5249072524,864523.1019254497,84400.78523055915
949186.6912229948,967546.4749518279,698637.3637652012,604842.2801195874,930242.2372907469,0.0
740763.167070443,699442.6026751256,745593.417755394,662300.3463865166,909442.5662110971,52358.901864653264
398961.86232577387,406326.3768886657,619835.3925428663,810910.2280418939,842864.800146742,175749.85876273466
132717.26003783202,148435.91936532673,507645.1490109846,814964.0856429884,778620.0913956717,465835.318629936
61815.67543530713,158267.48066981405,367167.7262350631,1000000.0,595335.6263354977,517644.5026302563
262701.39601306734,211366.02257993087,263853.95639855135,924924.9834340957,460997.27881345776,694697.0472238733
609305.55854941,651442.2141604101,265398.0074141834,892758.3754977571,318838.5967031237,897459.7849852559
870326.1729497352,955184.9557877481,110947.93608733092,912274.9916463085,289344.94208441477,979258.0174657261
1000000.0,1000000.0,171375.14521108777,813247.9790646954,154152.7600762057,928910.7569579148
812902.5079659269,686664.8845513541,142894.89883165548,760345.2195225522,61915.12942261233,842932.8500343929
500235.8903115246,453333.4205767572,136216.48582763475,623387.7183459298,0.0,684217.1700493468
169958.99645919967,144279.722088231,35986.56552930236,684764.20113248,29089.82028023965,492070.0119691058
61563.284197602785,50938.93995653209,114137.32752400683,644985.1132659863,100755.86842008916,349892.3131971905
271597.1031069629,225226.25563491447,82073.81059432597,684666.6614788759,219858.87998591247,185591.72802645186
429991.11079691915,506260.9203006687,141333.41161530197,559967.8332710847,336607.26826169476,100504.38488681121
828293.9547800465,859916.9941716369,71360.21571048157,651182.5068527423,383214.69665676594,17538.164548986053
974956.7798551422,935967.3604202603,99813.2406293931,629055.4994578846,614351.9714392414,130541.11105982264
888666.3639482883,807715.357566419,0.0,525869.4788193895,637006.3921281885,184947.58658071634
601277.9139878053,459748.0681868748,176889.89566054835,514118.81457437336,842360.7808429194,333064.28600030136
280210.7384025747,199008.66468076946,148538.89929058115,560345.3980550152,958878.2750000246,364006.7853227021
35823.0076009104,12639.743218096968,111361.45498166785,736416.4453898988,789819.4446796837,688646.7953912256
63135.59755680467,140147.758843872,90127.29282773382,685318.9878786828,1000000.0,768277.8253888772
378249.85603533604,465636.5651899782,104391.05832600997,689506.6908397056,958647.5179023535,958730.7766967393
