Food and Beverage Industry,Beverage Sales,bottles
Periodic fluctuation,Single Peak Distribution,Single Peak Distribution,Single Peak Distribution,Random fluctuation
Energy Drinks,Alcoholic Beverages,Soft Drinks,Kombucha,Coffee
49149.02888830026,6625.685283664548,12229.968895117132,11829.237171102533,90242.51564494793
63305.250368821675,7090.618959312357,3083.6736207352315,14470.3942497946,100000.0
76914.50819808773,12458.024576955353,3140.9675372631023,5745.77064179707,95907.55109128321
81464.88195261572,0.0,18537.272586393232,6990.645184793742,98631.88835099003
94023.74887517969,6844.222947029975,8291.43413279927,9271.16365475405,77789.52937154104
99493.67361826442,3724.9935582782773,1461.0918211012731,12865.628529363157,66356.3868835389
84393.75492971754,707.3294971191608,5649.434045578301,4501.634721646985,65028.5558816072
80944.48826182706,7675.765814601326,3948.2508120248867,8952.384189214472,57836.0146577311
68300.04159196171,4509.460623461066,5740.6894654244625,12554.333482135728,55341.62664675979
56657.07665796503,8638.26810068568,2751.0869377753675,3914.305897347164,29218.592174212787
41518.255255990734,9709.705437860806,9579.394494512217,12992.251513812475,27321.083350971414
32458.71973300111,95.91183212351628,10533.897592622528,2217.046133725107,32291.285146462684
14830.54999093763,8723.238359855935,9430.510265499397,4508.5591144422015,19344.46316840934
4602.2876210281065,6238.865741516944,19116.430802707575,5577.624779131884,31288.190368480995
5030.428817554638,11623.555135486928,4063.3878100679062,11799.569678478194,32127.273133372237
3144.950096993422,13708.08002026815,5766.192087430457,22203.704200134936,14910.126844590326
9005.502037578526,12740.269628724454,23476.691093695914,23831.024883236776,0.0
13508.82997823438,26599.501610799165,27533.801428904004,17122.212391397203,21338.114030732795
28157.488691119914,29960.848790909535,38240.259659114665,40384.899876798154,21714.94529683566
40428.37477189092,37876.02377038009,48127.30257941103,44802.928858428655,34022.12012271233
53464.43016397196,55232.26323480779,66265.4534279712,66434.77962001914,44463.05515239789
64935.446609049766,68353.03367767944,69646.1121217076,73788.74688086555,59638.91664336052
85903.81809987493,91630.22905047894,88108.49990940397,76474.7100260663,59253.779518019575
91788.24943978115,96652.38099325709,92958.03795768012,100000.0,48137.04149752842
94082.60974688726,100000.0,98528.34828683359,94434.48307924894,42005.628994128616
100000.0,95774.4457138959,100000.0,97409.112233105,47677.36532396626
85964.00589014331,92771.84482017183,95089.35147472058,96696.31171268875,43367.800880544324
79473.32307771551,79354.36611961335,83359.73962721,88098.59596068102,39387.53592506512
67339.99387665863,74049.66217477643,67970.67155521679,80907.29227190395,32076.700443550017
49840.723227456365,60248.0605775089,60282.39269556953,57462.64854809716,26023.431037223276
33944.5716655834,38801.25934020632,42198.612785740566,46631.954631985725,24535.787518968864
19442.532477768833,27711.679630004066,32205.43547516568,41160.63852073792,28958.153412349995
2082.686368541574,25903.476110420488,21968.70970735281,31641.131977353492,51003.13562367044
0.0,20338.830830465442,13135.680483739434,21228.459729405084,44420.32658655961
1751.4816249015464,12355.98673870582,18602.326297799384,15552.789650688153,23255.991944880447
3174.512825116813,12920.566300233013,9877.152428956764,8498.323006268289,31501.91157940723
9721.30194184874,6536.299269054633,3017.823922159983,15015.593191794282,20827.29316862637
17550.983505900775,10514.470630385878,12715.843250706272,3827.1615699082786,20471.198112580325
39532.23759269705,12292.14240889111,3419.3810102470775,13784.24337075663,22739.80716152566
51282.897669328035,7754.939441037074,5167.947759134027,7600.145665612675,28496.243340144178
59207.205452994494,5026.392751825029,4206.908481846034,4694.923140999729,30114.9620332295
74206.80076155557,3996.2945588598404,9717.163813728659,15200.080189494542,40563.62906127195
78187.08964151943,9416.247637538894,4100.919698046348,5236.697717947316,52299.74360126525
90506.3356851521,7915.576791199535,5272.762165258671,5624.911596977522,39196.80130910803
91307.57993220518,3737.9434486820364,0.0,1816.8943479530124,38905.54850595597
93659.74046540659,9743.80180254454,12183.20372078267,14041.812046676936,27224.666501730255
83226.94902404591,7425.359661722181,12093.788885513237,0.0,24121.986325170234
67736.37651381343,11142.365069073914,4486.448411484481,8787.417957578404,64041.33081198052
63876.211391210345,13652.86040969169,7936.592353896578,12676.142633269135,61666.12394202058
38452.02807242946,17732.24442172257,2882.4684619452487,9412.4140758057,44439.134182329464
