Food and Beverage Industry,Consumer Preferences,%
Periodic fluctuation,Single Peak Distribution,Random fluctuation,Periodic fluctuation
Premium Brands,Health-Conscious,Convenience-Oriented,Ethical Consumers
56.88400800118569,4.331143480951543,67.56697253698208,51.28636840679044
69.7838431193687,17.79619957902986,59.60412801998437,80.97203722417335
89.55014130594576,10.357567108090333,48.40482262405564,86.27708405032838
94.27956197027444,16.137438592195757,46.1770396006946,93.90703792205989
93.7756352727363,10.669820764980283,31.630354913403536,71.3984984596667
84.12995845037479,17.694308232197827,26.845620171693586,54.82968075184527
64.65526648483939,12.820942636556024,20.64074331000918,22.762275824264407
47.73126784382222,16.82144308595165,16.29067077777805,0.0
23.996951840642076,8.669100502908117,43.95200998199794,19.700877669722335
11.845398095877608,10.52522679148568,65.33057607920689,23.733836261091383
1.4508009956906476,7.052247301574576,62.79499419741094,67.06634463014235
2.882160157018572,15.467372961659255,52.00834212014562,88.13528778027634
17.50075775125372,16.94546709282463,63.63598778780252,90.67624872215032
34.5312350573425,17.92575960358426,66.00306093388654,91.6310421780986
59.549197176536225,10.622305394722204,59.968386749180034,59.943113848035665
81.26958501635262,15.511636962148815,83.37860959934662,41.27371687348047
94.49727587687391,15.635420051668541,70.49085830480753,15.0346303412596
99.52384333102981,35.09183335593388,75.77942798544024,0.7472661082580756
89.00522147912507,41.546243211027765,100.0,21.88784907615531
73.31402914064967,46.36791516653723,89.42027819795784,48.740096918169336
55.4045430429426,59.749704815706885,66.80013145545495,77.60726077666294
40.4150298777197,70.08839428902782,63.97306782173351,99.0125488511132
19.67925664688191,88.22475319709912,48.075702177052946,95.09823516943888
4.793161258877193,99.38861991477236,58.18647530029622,88.4885113431805
3.1894059555813357,100.0,60.3504155396885,59.01769966917886
13.214246407528286,99.6771802298856,65.1753411437264,36.5326251784484
34.24720563054921,94.10249004863287,59.184754234969695,12.848296110488747
59.64844059101143,83.08615462586027,58.08861764647926,16.771267907435995
83.38883093192668,75.92052269231442,65.77366684839919,18.573643174505015
93.85470902817964,59.64253089419498,53.822729009232816,55.514842315990045
100.0,51.307568952549296,55.882191261921,87.02989977224522
88.8689125431647,36.05397994043394,64.86867615921155,96.73416544196822
89.52173616897889,29.77124454295233,64.50992597867884,90.98500863592271
70.83876323412339,30.354229755633472,71.63399765671348,78.13100707109463
40.59702254062426,14.529132932019476,76.47996802248568,40.81863280744622
22.799558466537285,12.84088515700012,76.5943297106989,14.619604752562692
0.0,12.905843316366337,74.99650493071692,12.839735871571134
2.813808208021521,12.74286956187699,62.927381982523954,9.77060535729488
8.516386058996902,13.607542258401706,66.7307053457553,33.14324044999567
26.440088662688595,15.075358671335398,67.9441436844733,70.54318643407161
46.05010657003978,17.327682052572126,55.18654599850416,75.7725636529456
62.23479930026191,4.848701497490087,63.790190329224025,100.0
85.21911680084347,22.472288779194376,58.34626611798509,89.73576283377629
98.8662347988829,16.083824204263575,66.76000758249629,59.73295710773735
92.14219006780398,13.981519803441811,53.17065944484894,40.65562891919114
87.74536450487274,15.061067920002372,36.17300299982323,25.020325631948413
71.36778982154149,0.0,23.631949749804598,4.558763355170675
52.88865084369979,11.546536747478047,11.693476494852906,19.651328853539855
33.311020156659445,16.398291665009808,12.806386659870805,42.376286588522
13.642622767508303,8.500347226825475,0.0,68.32478085221159
