Transportation and Logistics,Freight Volume,tons
Periodic fluctuation,Single Peak Distribution,Random fluctuation,Random fluctuation
Container Ship,Cargo Truck,Barge,Air Cargo
21682.1920807762,1464.4234871381707,50000.0,1442.8860822671431
33570.23920392848,2617.0981775651326,47408.41612661114,0.0
39796.811393328804,2549.1498838753914,36400.17939241696,6017.814945722933
42345.69377531896,0.0,27196.67545309066,5600.5002830644125
48697.95946175411,8636.115333728456,29216.577322097903,10054.747355475309
45559.6736502575,3365.433784684699,27349.97658371771,8920.244944824271
49298.96588322942,6217.550875083315,20015.6512138912,3150.431635596031
41637.705465641106,2167.0408103514333,15175.506070742342,2218.1582640665
36962.84163201006,2588.537565366539,1532.6676310753824,6142.972520733139
32181.120502553178,3671.374759315102,2205.838150077985,5374.382002342982
21970.33779811668,7053.9300545473725,3630.674060032388,8971.725344956418
13581.221630393886,1888.598078322894,894.2798744507053,9567.575077920446
5282.087280028911,5966.045063498638,0.0,8541.544867248791
1752.0810798807747,4141.111695006055,10216.012592934687,8148.377599161674
2809.447704923381,3298.9416290016325,15847.201497426095,6378.61420679445
1284.441534444404,7039.400162180063,17521.199369366706,6087.544561354876
4229.951212371084,8990.866234569086,19373.907496897664,5948.040283164405
8786.165577621865,11534.537466687463,16842.02659946533,3952.540474716619
18714.70847289015,14903.592749152942,12592.638878942116,5627.456186931406
24026.852585131885,22357.427165947873,23817.284007099002,4354.536724677388
30495.381697026918,27416.419267170826,27857.075319023093,8552.184557095548
42174.846728517165,33967.89563829974,16587.910239231056,10453.95807864902
44598.78538812594,42119.33814975965,29820.960203745024,14063.246127646007
48977.76227894297,47598.61616091536,25773.903008294834,14860.89172184989
50000.0,48014.58655809664,40136.214316720085,11334.68459791583
47186.29977973908,50000.0,34432.4005045615,10220.392383120037
38939.62616879777,45777.19725158554,11318.941468980202,7167.184225074898
36878.79829563598,42137.26261197715,14509.638159098868,7260.381793841027
29416.13698665324,36015.26777676839,15071.163271069798,9078.336564969695
20985.510821764357,28936.46093936763,11933.883500444363,8238.566365012297
14225.261269662082,24684.02627203964,11088.31565424425,5039.140329570719
7784.435648300335,15618.16430939419,14399.35480904529,2427.6450016014373
4656.937179910312,12927.658652926724,21243.59028830648,4214.101985469019
0.0,13236.87246825767,10389.522536047458,1551.9096553322956
1745.2867384158956,10271.847742621072,6272.396802240098,6690.234142408097
2894.826679328027,3914.615652896592,16413.441987320813,10693.03229512713
7432.283863471976,3724.376846228634,24552.53220905206,12975.661510310232
17561.68778984848,4313.091352163062,12441.563873617348,20255.016654801195
23313.23915200516,3649.92810590408,20961.290927326154,21237.47253660928
29042.749082219867,3428.8114222206964,35204.87723940677,19296.36498496221
35737.161172432614,4772.964113427808,40194.69503587346,33148.06884357237
42541.438518007715,7713.216375475875,34643.85182714601,37566.52267588661
43135.9351293723,1174.1934850487446,32319.442419005612,42241.01027834227
49827.79859366455,4557.282574543136,29089.19385807837,47238.88034015857
45734.33413605902,1577.147672653875,41407.34493649497,50000.0
44392.626785861175,7344.307252749469,38600.55459381379,41358.1321054085
40362.65229727458,1077.9653643325082,40924.184333506964,38826.69233037684
27927.798078190684,7345.319062516865,39592.17454309867,41030.850796083505
26265.677965221712,4488.678476947225,33569.45325575114,39829.69710570041
16852.15404293417,6953.45916750158,33853.479787478645,43078.239393264936
