Business and Finance,Return on Investment (ROI),%
Single Peak Distribution,Random fluctuation,Random fluctuation
Bonds,Real Estate,Stock Market
-8.524196140823411,-7.844114422027054,-10.0
-4.363886805435653,-8.328207953552567,-9.771198726054985
-10.0,-8.874492626702297,-4.063695581437826
-5.220027996068247,-7.983566177232507,5.189358910798161
-4.602938137571191,-10.0,6.757153822485108
-6.929798152490634,-4.562903993220187,1.3739653317525296
-7.757810216774007,-2.7897754169224758,5.836317079086914
-5.413108046818023,2.1897046004082767,-0.6705103593621864
-7.2428088629439396,5.052161095790375,-6.388278172080589
-4.808224490554823,4.636553153264202,-8.507467126639298
-7.887580103364167,4.137742113260156,-5.739665584437158
-3.882014682106794,2.2989674371758095,0.706751679663709
-5.141782584624818,3.2768720620890512,6.23578779935443
-8.639265980867338,5.686685357844819,-2.6594055033349235
-4.208756548903553,7.503023699592124,-2.8739237765404972
-4.757249375491838,10.083625710489635,-1.7386433985550571
-1.7015967181433371,13.868539697606245,-2.828968882355536
-0.9109481257038752,14.952232516421915,2.8492046284394785
4.977336568572026,20.597686169193704,2.32762289380247
8.508307698270123,21.401585798654317,3.933427225648492
14.077999147759751,24.63071556800474,15.917021694538636
15.185151974199496,23.714204583322605,19.88681096438239
22.36572528728162,19.604723697722136,18.94460619271158
25.232347835358397,21.84925466844431,11.556520624950494
30.0,22.804423930894494,11.9962377034975
26.53071550608834,24.47002724043096,10.165662565576952
24.629861542841354,25.318971822752673,12.047964840303838
21.365795322892787,24.097635891108062,9.50554672978473
17.62891012079459,22.85169057196631,4.690465435810262
13.381245325365786,26.602266022362713,5.119673508842409
8.449272162911413,25.701587201902257,12.3178705336841
7.082679100125578,24.34022378054204,14.039531699090478
1.8076412362162149,25.498896760893366,19.38906769172979
-3.21546119866151,23.852710284051774,27.69231459146208
-3.155660040940483,26.43427819250445,30.0
-2.213108943757854,25.120130433419092,25.299612052445696
-3.891282918858817,24.032250056065728,22.87693780191529
-4.786419465906679,25.993454654472117,17.487196590744777
-2.94247658161808,28.458743752724622,8.791434898129676
-6.180327509035249,26.785135281245104,6.618289722649404
-7.796739785941249,24.875588052558818,6.332831664972915
-2.594657826480118,24.798893365206283,11.410124924516325
-5.025473135899855,25.64774686582725,8.940310613590754
-3.9927508116091106,29.458023052213093,19.576412959440027
-4.76093138899727,29.556632853188404,12.32936084420475
-6.02071532769332,25.199625908041035,11.438158821033536
-2.865608228329414,27.953641521234985,5.557709651509384
-5.618585840377664,30.0,4.988858513967456
-5.630551346566518,29.669585545634774,-1.1655553081328538
-9.456090549092455,28.095732177176146,-5.402329673866381
