Transportation and Logistics,Freight Volume,tons
Single Peak Distribution,Random fluctuation,Random fluctuation,Periodic fluctuation
Barge,Container Ship,Air Cargo,Courier Services
4073.884460974589,31282.291568145716,49828.23780123566,26709.04745609009
1187.8298113391334,24622.592069669612,50000.0,32214.412739564785
3647.3118985022015,36639.80359088174,49329.48467842998,38792.26182171138
2811.476861525447,33066.74921957724,44141.079673357475,40852.82036084571
2686.9809744727713,31194.679242765138,39454.381516607114,42730.78592767508
3428.2356190574624,50000.0,33746.16345651973,50000.0
5465.808866940458,46677.80498693614,35984.90221182983,44492.253317772134
8095.191928563201,33584.6365491762,29573.14099833852,48872.61467944981
2838.361102114436,31428.832152339313,31769.79863042299,45876.80778319189
7189.395979345908,35554.4361524503,32635.855215577896,39604.07761581823
3699.772878166855,25786.886747062545,25273.706461633345,35461.42621851692
2458.8621073820136,20180.099807596303,26597.906090822155,28992.14341296456
4513.137051742414,16735.581265784378,20229.728045517368,20171.381603371523
6998.1012851435335,16369.483362940346,12280.927550477045,15158.073881141181
8647.927385374092,17852.12145147224,10211.792988149147,6061.125859857385
6759.254292485897,13632.23282445301,12274.89844645533,5393.551751146232
10167.173550845971,5347.417291167936,20462.370038465215,2054.518165488058
11346.467673170611,6672.08614164965,10114.139562862549,0.0
18898.591775192806,0.0,12286.892475398847,4969.138787994981
26975.40934305509,1947.5252130438926,17994.25436992297,2641.6515172504346
28418.09462250345,639.8750626457763,16910.043595045452,10860.10498911087
34288.16646105043,2975.666522830886,13546.92471124985,12223.316504760058
36081.8634311252,6691.375531950321,9132.33617252527,19962.246043121566
46138.78316244929,6869.611346770324,12952.987926100763,28295.14482205306
50000.0,16098.452198411062,12754.094333777013,33124.68890296966
49122.70464575332,21448.215773295175,4703.403662085738,40647.42999246835
46974.58316829149,19402.118671383574,15887.503891177865,45120.59994791016
38547.7940021447,24385.249486056528,17754.239009702673,49437.88755856046
33517.344543471336,27813.719119233,21223.5634134514,48740.947866667164
29141.15284446566,23450.32422337561,14208.252351493187,49641.04704796561
21752.680840953402,20340.704607943822,19213.448803844847,43381.41369543476
17217.04556793619,16215.518156380544,14631.752352316673,42477.69403818721
12216.00393510692,9874.546772569434,12535.327261974662,34437.36890869332
11545.873332320441,22809.182299972257,9402.40961499938,30364.49737286243
5505.754365090479,14021.280723740445,4185.20124284378,24531.95827019923
6489.799910530164,17292.631010593203,0.0,16402.020121993584
2226.6892098331696,17828.705807526352,9087.6391413877,12724.594959536376
3100.8619550327467,10359.227376435572,15821.533729107407,8878.757176033732
3236.7065968482857,20517.754141375273,19775.828490947086,1857.8510506326174
3584.717437205234,14701.823890790869,11199.845548789232,179.45593762578446
4698.969179947269,17328.87130167958,16034.041903260746,913.7748367955079
3347.7073935395583,14641.93747332563,18744.918693714048,2304.6798936365517
0.0,8555.751686159325,24927.984122163663,7010.804593507616
6879.282371629493,17394.106559613167,23433.20668602633,10641.568956561538
6683.933653847899,17567.243056138428,24097.822364383992,13431.29063500279
3736.137959786795,15732.28509883956,33777.40671877841,24173.36065170545
8048.519013431678,13615.035462179725,34842.470336387196,27167.823947643705
5225.534165131652,19231.882840960025,34156.92269903157,36382.73176681934
4847.434666557441,25281.72628346904,32282.645890269378,44811.524309771776
5624.193333122751,30826.761525851914,27450.39744639195,45856.88239871266
