Social Media and Digital Media and Streaming,Social Media Usage Time,hours/day
Random fluctuation,Periodic fluctuation,Single Peak Distribution,Periodic fluctuation,Single Peak Distribution,Periodic fluctuation,Single Peak Distribution
ClipVibe,Chirper,SnapFrame,GhostPic,ProfConnect,ViewTube,FaceLink
0.8390957452670117,5.067354521381243,1.2246004790548557,4.913616300273879,0.7810313738256557,5.156198369743375,1.3932532510817226
1.8612487498480055,6.1758967114666605,1.1706428206244262,6.634889373234477,1.2556115541643977,6.25905198733231,1.1435166397947527
0.989741794930598,7.866597574436853,0.6154381097543851,7.565579084794651,0.20898638753652718,7.650773138434248,1.031980535025498
0.0,9.268069306967808,0.8942137526971828,9.684124112218068,0.575242792285169,9.093580442237936,0.5348798747854926
0.20255061968894525,8.78980435817405,0.22770506135792862,8.7157471508567,1.2408890758766364,9.279854215411618,0.291641087506817
1.010826131758276,9.285038095899502,0.6733007204434672,7.264337265501505,0.9965521252304674,9.675147555359338,1.6999331261590847
1.6345770178756078,9.641681745320396,1.1822816542710037,5.4882477778629895,0.8968233439428981,9.683700597528592,1.005695735777007
1.8500057968212447,8.925890948599186,0.8469602870415953,3.473494773602641,1.4237090049057262,8.958850632409527,1.548758765892925
3.006603563100174,8.63932986565539,0.6611607779275669,1.5075316591328827,1.1844180210226174,8.768116850943326,1.1189593177796096
2.731838242249165,6.869853751495039,0.31064675794382274,0.4268301299204056,0.9192495449453769,7.464015604773212,1.7149436915186973
4.974343814719756,5.308979292163459,0.6795355088332606,0.03387388901552997,0.45910694126014,6.698180151644295,0.9009287304905679
5.88318004977002,3.351287803616735,0.5557896724862599,0.9431554834758646,0.5329246733178907,4.538856501729892,0.8208817927812322
6.44147658367494,2.4152657218069344,1.0917526737644017,3.472118310488335,1.5258179259810634,3.4260902577956487,1.5233580420559383
8.031174488285837,1.63611578873152,1.3767767602801384,5.556802530049346,0.4258431114276817,2.142929683068227,1.3175183847205172
8.210082363706562,0.13106826218152065,1.132098264933423,7.744102378392846,0.8386410100142851,0.8119392154560413,1.3519974470476048
8.620704240112646,0.23101842461957245,0.0,8.096851293945326,1.6323374834476319,0.7325756106717739,1.6930448222755494
9.357468926306677,0.569071269302708,1.9274758312738083,9.697500042642616,1.6165863862262553,0.04075681930213336,2.6788522506368118
10.0,2.004772435728942,2.849606274810035,8.445080874442967,3.1826961338230086,0.6983497458829098,2.4096856868584453
8.756268805701653,1.793467212057739,3.803958300376344,6.768452354158919,4.057958334668339,0.6786156304824189,3.2115868776869645
7.999701966272142,2.3872679637812513,3.7413668569366143,5.056899981779277,4.0184656098246325,1.45363834959995,4.313323230270634
8.068968091207235,4.730108784603704,5.563477588847872,2.4317378347189784,5.284338289931765,3.2483376822188523,5.983588217379092
8.525051778808482,4.585942770479775,6.716148556750655,0.0,7.164026777879899,3.7544364297253106,7.447522643610148
7.530753256872071,7.651108682373947,9.047702682318592,0.8440381929815,7.593064276152157,5.233118973725594,8.386055225728052
7.349831250014757,7.898570464187725,8.36505211384666,0.7963535041657646,10.0,7.111982098252964,10.0
6.092035065793278,8.95744164990709,9.678690126043339,2.4084401029216265,9.098857017219688,8.067176589636084,9.638998376757936
6.050860378569549,9.636044479354494,9.457005090647172,4.419004162148436,8.754925347718297,9.115412713536172,9.496180396796737
6.498951633992077,9.923554614801422,10.0,6.047429280608215,8.297648333335983,9.645707518793866,9.573270014430273
7.052783028009156,9.987156276862569,8.03908904644239,7.906573180128593,7.389562705292563,9.92089458379153,7.865424194263389
7.8897501831892445,8.650491906706943,6.991606240552988,10.0,6.554106855482403,10.0,6.705101106232196
8.45774060125131,7.730964109709225,5.437377840669754,8.810521298198829,5.35909047812212,9.473927467545423,5.293681754620696
7.667597992991575,6.096743861100449,5.737210805105369,7.71426361324631,4.2377855216812,8.165281742078172,4.654846427553456
6.963063605432527,4.465569314543489,2.7123789031659147,5.58673644556686,3.4792285636399316,7.377203761143582,3.4762300881267465
7.350456709017859,3.2425250915225328,2.56092100427376,3.494326327082515,2.7104180117753147,6.1392413870203715,2.4054066429495817
5.8332246058561275,1.845993074372804,1.9878654854054203,2.429815036197823,1.7856785250260219,4.722588145088137,1.3141771402501656
6.614564301119547,1.419351337726831,1.7707712381990302,0.3177569575037547,1.129271206566714,2.712210924148206,1.576865520661147
6.192897694193795,0.0,1.3736300179094307,0.3519492205341232,1.6790403623069223,2.019784426440252,1.1541818253825917
4.396457075603241,0.4663733560583053,0.7424424435879983,1.2829118002360138,0.9877001666653342,0.9702399979928894,0.6034973116774317
5.397907576197662,0.07570782496281653,0.1293161486727839,2.3383905113177574,1.2731874836943093,0.018472838847635908,0.0
5.115798639627116,1.028996590097987,0.7076018113187156,4.447016754810503,1.096178852115677,0.02776227289264599,1.129044562838683
5.105237934161341,2.2937767409809355,0.2546284033582325,6.94072710792902,0.599597633873413,0.0,1.3856704892114202
4.43621737607476,2.6515597285552177,1.4401300162195283,8.12847510997424,1.0917381362746588,0.8753815856933138,1.5847733181734611
5.6154115464173335,5.733088246430398,0.9815083551109529,9.353006348369727,0.8661206964647451,1.2340107665908449,0.9753859499253947
5.909121316703341,6.263828071053098,0.8210774904878351,8.44506834232134,1.517143439043851,3.0266054303691274,0.570314443149101
6.001725372609684,7.93839984142649,0.45938820587505597,6.904298363544444,1.1789456127451552,4.093273000401502,0.4461350556421603
5.3870113457344075,8.73213534958929,0.13791109871277857,5.6220023728729736,0.6817603116796606,5.4073854128868915,1.1751220221384588
4.505521845415451,9.273348350575013,1.455104538183713,2.81551540222887,0.8436914225504382,6.9278552000603195,0.9844210798381632
4.739429979151911,9.808922716098245,0.2668810159668878,2.169830952797507,0.6430592934112445,8.215487749348656,0.365468300083751
4.992842100862732,10.0,0.69039352968785,0.8951217512394527,1.7031127503869583,8.72037802921869,1.1325898830175958
3.8691318337490954,9.144172944933977,0.8591891263941708,1.2756243690344586,0.664745018113281,9.219291657338257,0.7651989496624851
3.2260248550181454,7.889527128301267,0.7187442399464552,1.8024683029449653,0.0,9.561474010471375,1.3626964086988687
