Real Estate and Housing Market,Housing Price Fluctuation,USD/square foot
Periodic fluctuation,Single Peak Distribution,Single Peak Distribution,Periodic fluctuation,Periodic fluctuation,Periodic fluctuation,Periodic fluctuation
Luxury Residences,Metropolitan Areas,Suburbs,Rural Areas,Coastal Properties,Urban Redevelopment Areas,Mountain Regions
562282.2314366663,37609.54762965634,107865.39483578065,473833.8397588585,515355.61277778854,466589.1346114389,564312.4194007938
704051.3997942567,55547.91639141633,132055.27409698252,672695.3424686949,741464.8689403472,714635.8466297311,803018.0155553098
824359.3949171626,23450.8434718084,81007.44385785585,805386.9599362696,959084.8511656976,858106.8894479786,994449.2022148084
954554.7684678405,84336.93140773002,111027.78021865603,859108.1142247524,864538.9088523459,941493.6506878054,847193.8861997473
886053.550160456,96745.5285835929,113638.52485964943,979190.849940185,706540.4166068862,859672.2557871614,611708.7362018176
854678.3160168423,34138.8922154563,129765.56973000044,997933.2255164341,457647.9762565768,818921.4643737151,274490.5491177484
683915.3612537197,141543.92539529415,55291.84803650913,939447.1383305355,255706.19219535735,674894.2500641252,130648.15313993805
489101.99886929255,59569.4985464434,37441.846637722265,877969.2566380434,0.0,497307.56236608495,176999.381769254
302534.14150556986,124925.52475551097,39040.51502924108,716147.6577098239,102012.49315311539,221881.28871532777,313089.68910210585
126275.62542626497,78842.56105242365,106197.10793139237,643442.4461082547,267978.0802247251,85358.1843142578,610776.8573658817
164020.10423890394,142166.85268665108,91651.39203404251,475054.7248131066,586437.4770120424,49396.34857636691,913896.5619664587
199703.25520473399,86394.63297626772,183566.5424745625,417387.83616153325,868194.0541683756,17093.236241697774,961374.5396586966
237355.13068117798,122494.19599470632,84250.61371964157,303871.5309462592,988413.5283349648,221914.3776261369,886107.7688608414
371263.18342077796,115937.113489396,149138.24943346294,69724.31889607903,905845.7959372668,397279.40676605905,549117.4781086914
576235.5879523125,151817.6737647911,201321.77504484783,68726.86680382218,700622.107136284,613191.5023180783,184330.14443636537
830678.1813873461,93808.58179334183,130761.63621860462,113379.67217759932,479625.4694335822,816241.1287422184,0.0
847584.9931079625,268218.88028547924,250417.70404440133,17441.845364764864,118259.62466843308,929420.1880955602,187058.6335092234
953289.6477257111,275720.6299424703,296515.85355963086,101295.36551417831,56801.428903750944,1000000.0,445412.2197398138
715082.0247138528,339587.9726513393,318091.7574049611,240914.6945189663,184487.6540644718,969279.357838696,710325.9836110888
716967.204710937,437311.0035922053,397081.14241006254,320573.26579955843,341584.66234281025,702826.0308591889,958545.7258211306
540222.8541273972,518844.6388902369,452474.80769356934,421892.3895709671,682980.464853908,611779.6178341274,873376.2121906901
309045.5766696505,678660.5927325534,724212.3297522927,551287.628194539,944897.4874417789,388290.7969666732,730885.8222134849
170751.28436186173,759063.8124341306,829354.0615526581,637809.448971681,978064.3274725752,155651.31115080026,417833.54402321693
117338.74799753986,922488.7196475209,944214.3976626574,840664.1016341278,949827.0966967224,45541.56999852642,157685.3325129212
108504.45117206931,964478.4899630526,998146.6021104386,908905.2466204471,638671.3056057842,11367.20755465589,155500.88377693202
0.0,1000000.0,1000000.0,979860.4855495148,365770.980938127,89229.54264684876,196429.32438776715
333404.9081463259,883618.5863967366,894556.881634918,910610.5317654753,178193.81848556432,222391.88115310515,559713.390469092
519035.2180645723,807821.4588783991,841298.1749425271,991089.8325703276,101060.46462940898,496074.1238125266,798599.700470194
621347.667655605,716399.1813263391,758802.7936092481,800889.9301144322,168535.20261568276,716221.0576371815,1000000.0
865673.6659574235,530792.1753786418,636789.3004000792,705252.7423862345,453509.1440152885,847777.3735353348,834269.2172275137
912647.924130608,421768.1415129928,464387.1470045962,527670.7210685249,722608.3674005927,914815.7776686302,652081.8808717178
1000000.0,364243.10684862937,384068.6348323443,453268.27222070127,936385.782033979,946456.7149585638,388569.09442515566
767187.2321015962,264536.40893183684,293624.24271322385,328779.0841575225,948734.063569887,791480.9034091183,72576.42341494327
541773.1389597538,124235.68280472344,158185.11764370845,183800.8967525005,809206.9452158592,619287.5388355758,82617.871996689
442069.22508919187,158445.68262132924,276860.84552599787,78806.48915028656,537821.7393873521,485147.5585852785,175533.9273773523
198557.9352969763,144838.01785593838,34022.476117012986,65817.58181721448,310223.30127344606,231278.03480960292,672803.2963566165
110657.50410670452,61857.02110342068,123457.4392554103,0.0,128322.98493222389,94092.20672374112,905164.2474545095
7369.22343706762,81321.20316222843,147450.73874954437,92673.11205738671,125057.75741249081,22852.069714434376,996970.6590748614
8344.265814946339,71923.32894870959,45592.35566114115,240614.21437152012,200595.90877086515,0.0,885559.8526448731
182492.1339221012,162447.5755584561,109023.09095732165,296898.8139125124,451858.4474030581,192649.99587229372,511772.11702977086
527325.7769230272,103234.73200586415,165521.87034217603,422731.9822604637,706342.0237819876,268013.8263873892,275643.0030120535
639417.0651000821,64958.54012969296,63199.17114555654,555736.5377981728,938830.3628718752,570305.9363289378,134661.66809114773
711687.7634595204,138228.40656880368,0.0,660795.5601859351,1000000.0,766517.8612127254,184651.1886981924
919038.5209450852,131462.28781317748,125752.2055503516,802646.1866646956,788466.8734576334,928242.8403208422,451570.2780243285
953543.9791066423,116377.62990056626,78370.93269497307,949242.6359637228,551463.1851506124,981722.7294767514,718970.0795281702
807126.2116459198,0.0,167437.44461294965,863916.537118622,217374.90607702435,885603.7508849362,965084.7338252392
663127.8026167668,56055.958538736544,124761.42667387251,1000000.0,131644.34771976667,760039.5671203686,989947.2926421274
322966.9002032326,21874.062670253028,48040.71451499985,964325.251432429,134285.6433989949,513489.27701983816,759942.75099596
213355.35248780085,147692.11215030876,155795.77084824155,851373.1432075559,253560.36438297757,376027.0718399347,495545.2849124419
146162.80650549964,84677.89933606004,92052.63427822162,728586.0496852684,511782.62430347654,177242.42085669516,214728.91335067374
