Energy and Utilities,Renewable Energy Share,%
Single Peak Distribution,Single Peak Distribution,Periodic fluctuation,Periodic fluctuation,Single Peak Distribution,Random fluctuation,Periodic fluctuation
Tidal,Geothermal,Solar,Biomass,Hybrid Systems,Hydroelectric,Wind
6.565908883814011,7.852435625426161,48.46084111486321,47.343893038075535,4.424380495551444,100.0,53.25764948823686
9.50024533641624,4.681074871083432,70.93415753076712,81.66253440478083,12.52508961966515,95.42327696264039,64.41762964323297
8.640133866265053,9.241002188331688,87.20816969199703,94.31063472921305,7.562960092578626,94.04506762857943,93.19518156302186
6.059541342936269,9.756408408409111,90.81232958693917,96.25337522125085,4.760056565208368,97.80181164851568,92.77160490075201
12.565474957429542,6.096874074316401,83.75377463088358,87.35773563011938,14.092617192965651,92.9126456014557,80.66966480856685
8.149132388391887,5.978941671147017,70.20867986677409,59.234713268996984,0.0,92.9278741601403,68.62616793704629
9.826795668735441,16.56371049438637,44.625941407535684,31.87261380485945,15.995093618006292,93.30021221195331,50.81637662301674
10.305033540910074,0.18133994556451855,24.38358911689601,4.142135664734855,4.208948660096509,74.89467355573478,29.514804380333082
8.343050303923642,7.3054929927601835,5.680639205178345,3.553156120287726,9.421524371638018,77.83983525778902,9.046440024364376
5.160225894109137,14.199835864914819,0.4069115744192795,2.6004999866739267,3.770659291158629,81.67763237232177,0.0
18.631208361174956,13.413647089343966,13.642754137848211,31.250808599433434,11.539355779586426,76.81081076828045,19.43827741858658
14.369348326249545,9.472881796402326,29.953367174941114,55.947889495645,10.47026906999113,81.8031387771487,34.269919387644755
12.032205789016519,13.281718846441267,52.416996834287744,81.18235054965146,7.133978415462876,82.51263117998381,60.044242488810376
6.286911219559103,11.150888748088901,74.58916747974395,95.08764370385575,11.924223065486665,76.65330477922107,81.73106092913338
0.0,14.903045173778299,93.52085352187977,87.29540036880914,10.136450221067786,70.86850706963304,92.76541237144599
14.033484984919916,19.162343697927962,100.0,75.0868333233803,13.711578825145008,77.92732960837965,99.82591244500767
14.01875392090825,20.404994299953458,89.8576757693689,43.57083866503091,25.391206716895244,85.02548731539069,82.07860336587291
30.881945524464022,25.31493589035236,68.82446500110238,11.562789411157851,25.395236208694776,71.73673938420119,75.12121307221499
35.96995196243839,31.335291449395626,39.88681094646447,4.282790361099545,34.636434620105284,68.65821075203718,40.23753932906657
36.98721959129622,46.26378461455097,17.23519046916796,2.0085033784478634,50.37869541921898,72.82965607974195,20.50533343602378
54.66908379039667,52.26822875288849,5.458276694593642,10.39086627149836,59.52591855927161,59.04115229985521,5.403541234975779
66.45531400586741,60.727629818884566,0.0,41.996345158729284,73.88691877440722,46.6009607240074,17.18509924548808
80.11109223926101,78.12376643637909,8.92092387928713,70.75804752216891,81.98363747084302,60.97976381370395,27.077034952886013
94.07404228067489,89.95142879197002,28.335288287308984,98.1820047150418,90.40766214929803,52.69711811842791,50.38096471937492
100.0,100.0,48.747958686533565,93.31547671346726,96.90320299935895,38.12105026333242,74.43607405177593
97.89112437277893,88.10141064392111,76.86881762869046,89.48204345401979,100.0,26.916802391725504,86.05675857389151
91.1680810164007,75.3154935804731,85.2699752041557,57.348988905076034,93.57685012154087,26.247342169234102,99.40809149222044
76.46526937957259,78.3497059518097,95.59559621376695,25.40096896988692,88.97145656621954,25.832772948069177,91.87020784130672
75.49301179408273,62.214795079482776,90.87330941907462,3.871758550101581,68.32243442969393,25.538623557006325,69.82911854765501
60.23455719731956,52.30725445557177,63.71807046654039,4.326198857541042,52.634079087365926,23.052926122309508,56.28332782805118
39.652739582733716,42.373871243057756,42.09946850081916,8.015494319621872,47.16629626704396,18.26725317777168,31.756475201501633
19.032762765590043,32.55678901910556,16.008347200884717,19.62610202290956,41.29470692337518,25.901931098489158,6.310836473944499
27.394897077694452,28.120264114266753,1.2129768436989339,57.66962506632489,35.36897464105975,25.036936106260864,2.9381257687641895
22.253832349083908,14.87351756829208,3.5906629523945557,82.00073166768934,17.202666362250923,31.931989679911354,13.87858747635549
15.953331702129375,15.87728685227898,15.361893763212153,96.42318922743574,8.941805397534091,39.745223553350264,26.763272158500627
8.438508153466325,4.769779361365926,37.57714032083023,97.39354942852076,5.951734583445714,34.20691412628007,44.93675518329945
6.309776287628292,10.866941161195534,60.25261261570981,80.96960150372534,9.946814781347378,33.77152719452361,74.45813004660549
16.325713150357327,14.178132761563344,82.50761595840873,49.04345323216053,5.520701700271212,27.441863299310132,94.01898197626831
5.199649852838769,13.389948283992014,94.15935210858302,19.240455504461803,2.5757886617314876,27.43869681204713,94.57905001002065
11.869276692853452,14.21932112767585,94.49094180780999,0.6788723300689735,10.686045825456436,25.206370993480743,85.15315249194771
8.078940589047697,7.604523636017797,81.26545554911351,0.0,8.13355334616944,23.973203108558604,67.04163605866592
8.851097802137387,3.7508520333498976,62.062240549843786,6.727155176179698,4.424439561628541,30.663586730036645,48.1994593843353
4.931081716513157,9.581758244338811,34.908041459364384,28.92801136105167,7.445343850032478,10.480160049525066,19.990455864086208
5.348214447971561,8.615172477123565,19.79279566469389,64.72638580314938,7.627139058751972,19.340084716385945,13.502860476447232
8.988384746317852,5.900682258813224,2.373370430205285,84.73494071336887,5.240445596676086,0.0,15.71318158856227
17.204802097221286,7.324704703679667,4.497620839276146,100.0,11.80875974896207,6.76539600208982,12.563559161003102
5.013701176060588,0.0,14.351112556479414,85.80618765839141,7.492736265960954,15.896747967599795,31.13582337028098
5.909410029889027,8.253103746995736,40.06176190936505,67.49576978786692,2.664835045734846,28.089330361611868,62.20172175205324
10.757639366085927,14.502956267647308,64.12147566004228,35.17121593748743,8.323258939492668,32.059227880226004,87.44961042257098
8.599789573573343,10.396967474405,82.01199952059744,8.355031356386181,9.987573346969263,24.925391711765325,100.0
