Food and Beverage Industry,Consumer Preferences,%
Random fluctuation,Periodic fluctuation,Periodic fluctuation,Periodic fluctuation,Single Peak Distribution,Periodic fluctuation
Premium Brands,Ethical Consumers,Tech-savvy Consumers,Health-Conscious,Budget Shoppers,Organic Shoppers
20.571033221773995,48.4227081957221,53.587227446091845,40.163749347968036,10.323722613455999,48.252661864365955
28.390937964943376,56.46119816854943,60.828032837292,64.56820057575693,9.76129154483957,62.90932304429698
25.429659684080818,73.94364377113313,75.41703914408137,69.43980187940075,0.8108172049927399,92.7785453531448
15.07380486013152,88.98293733793075,83.0302234919935,77.37464050945319,3.5345528497156784,91.34941773565527
5.938940548208983,94.6514894282552,95.69078357152682,85.22540827302394,0.0,94.3199692846932
10.484533554347365,87.56697875896229,100.0,100.0,5.127527320887271,93.96623079034563
15.928578021920003,88.5569492632344,96.74893740761891,95.29844247169123,4.55783647075527,87.13184124519735
15.68644928594441,72.7551006781056,87.72157020152385,83.36530393799903,14.601190984844006,68.98428444400093
9.223083846154301,55.49455204793532,84.73116501342946,76.27022565281139,14.72372356408513,61.04159519356843
0.0,37.521416066510646,74.83080576948711,73.93446014372806,8.243974735773953,37.78976905760698
8.375803144925035,24.096042827675067,57.018964078276966,49.34549385839369,13.755208860118447,20.849639115424253
14.554984136771163,11.617106937374885,46.67942236503535,57.005848583776434,18.48761426784091,12.92278725098688
25.258249445614695,9.370849311160415,26.745380567791322,33.00084725119201,11.224705299140972,11.513992066323159
41.475076153778176,2.6076217200554206,17.50294044578455,16.23147056044584,16.47199662919333,5.114347723937911
52.10220329423476,5.097457262217757,10.82855147249218,16.571199468826485,13.489078311233637,14.689892689666506
47.20948248858581,18.058401098004715,4.142644987795398,4.090137185090013,17.903385421286714,19.399591753450494
45.44295937041409,32.62885907669118,0.0,4.258436994801898,16.438790211626475,42.09853026825016
41.27163802446175,47.80407236474372,2.123744368165188,2.411784491263592,25.446689472247375,53.462551717491195
33.41602338284261,73.69049037869824,13.447582270398511,5.403274932756957,34.06829648381885,75.64490777273922
20.702216250806927,81.54623407544837,24.949995771538184,0.29522496900498674,39.73026927116824,85.1966401495696
29.238042736434018,96.20739685171561,37.404866591418596,11.703391924920648,50.15115535859868,100.0
40.403221834981714,94.66969059839259,55.58903835217206,39.926794935847404,64.67074717890128,93.8197679220637
49.078777612406576,93.73096503186186,61.26301032008359,43.28693033726437,71.03681927601166,97.7377076565236
55.285821281172076,91.24714879739093,78.59370629950176,52.576974123055855,88.2260832722434,87.62488015907385
51.81327140309245,70.44081737408578,83.53409451006212,61.95275121263699,100.0,67.1499722660952
45.322975598380914,54.393131606353464,94.75774401826365,77.97465900904713,95.17087306858141,49.97809125644179
43.848586613424665,38.124023038652076,94.45499458458106,82.58922904126626,90.0523709692408,27.547806808057995
47.181644043910794,21.938235118202286,97.20118353910972,92.14159129966339,81.26262056853854,16.605185142191313
42.87163924781695,9.786427488222815,88.38671246722876,87.67701347415489,71.6396984454419,0.5249365079266224
35.67028899379596,0.5664801630412714,81.5050306731166,88.40003949507955,56.97711891543313,6.44174970459771
33.96877361973448,5.926812547987209,74.01248427913379,84.17509112616227,38.56243846516252,12.908976028943062
49.668442802048645,6.157449345134404,54.15758832895361,83.06933338589623,28.913167186003335,19.239717182593655
46.52437025609835,26.012682827354862,39.29153027885986,62.07823955608568,23.975807189512892,36.47225312313459
48.495737945698274,36.55119168076876,31.381535970037906,62.84399242671708,24.690409930766926,47.1051234233484
53.33020860107487,52.27477274191394,21.421762736650287,46.36677921565086,22.87026545774261,68.96194842942323
54.73061428407421,70.76840603315077,10.232954644681149,26.13008596742007,11.25708924512775,74.6446829201949
61.56956650915738,86.94096019868655,8.549602024311094,17.50024344015206,11.765593392786561,92.87679251837275
59.85223540674765,90.69898807705698,6.092214913760148,5.218154881019085,6.782200713035202,94.3283573999402
66.98492836967299,100.0,5.599852757936112,5.867537361332446,11.151806734148192,95.48079460111752
70.49595949380955,99.71148176508716,6.912638064741677,2.50976772746715,13.542189756648016,92.79566262878053
65.85556925075166,76.25403204319147,21.18684425626437,0.0,8.432148456455494,75.71788343386278
82.88859043991937,64.2911684025235,35.01807875089674,16.909036866846048,11.55152218427919,60.21010051072189
80.76043653790714,51.21936325809564,51.33524554887391,22.177532055811294,5.524564649584006,47.40513036315194
91.56021914327049,32.480211613002524,65.31292047650943,19.284902466260377,17.172998585886607,23.494257850332435
98.07020028155344,16.97626348868821,74.45401831184047,33.53330215211415,9.132454821912868,13.507432402819855
96.81450807972861,9.808032523111713,88.83906350603931,49.672236781543106,11.401841819082494,6.570004741226293
100.0,1.5590254863238773,91.06351379395738,60.637237313247724,8.065094633294729,0.9364713513837685
96.83898825269935,0.0,89.49479684593092,75.87094186353175,3.3152273043396665,0.0
82.37748890399217,7.747827434197436,92.99885345589286,80.9135099608629,9.343555832318058,22.822132447588938
83.42772921332636,29.392074634426397,97.24617213149239,87.53896531897642,8.211773839690203,36.09099117387722
