Real Estate and Housing Market,Housing Price Fluctuation,USD/square foot
Periodic fluctuation,Periodic fluctuation,Random fluctuation,Single Peak Distribution,Random fluctuation
Mountain Regions,Urban Redevelopment Areas,Rural Areas,Suburbs,Metropolitan Areas
554167.3004213712,536346.7739333792,154872.37236708574,127202.70876678902,433545.1228602131
824207.5853101474,841808.964435506,188066.7833199667,90355.89718266955,306167.8997144848
977842.5779053712,763154.8247266865,103714.62686832758,8226.139361931479,622592.2592648861
916206.5504798085,924015.8952218432,52195.4534261305,66614.31348595805,510195.9123967842
756329.6117021998,833304.7192770455,41845.15131398839,58277.69589673437,540714.8063359325
433842.502425262,670023.8146021677,194127.90479892268,92491.1287617401,373234.97798820573
105785.44396256268,481631.2465357738,269243.7671548673,164961.83275211623,106948.94955815049
79140.03905484098,142194.9467889783,155038.82868104626,164735.0906731265,3510.735903315792
120940.99011590463,115616.91213132048,0.0,46231.843672545045,261617.69567076577
347038.6451985392,78139.1411119863,11279.252465043952,93217.20439860765,183423.08405130164
739532.8569584107,248698.7595958491,178745.9108798486,99220.40880431434,387785.4888661613
977547.4093805085,474533.4677405633,455334.7967019385,92339.74943699925,258224.37515733804
937365.1576924088,683458.0139918514,563646.9799876239,92511.58179283302,164339.76522947167
757229.0280514411,857122.4819526068,463000.33376546646,148906.16985986702,104514.8294879626
494009.5849759849,898756.9555866166,597432.3042697317,101771.03273729555,330665.72579669853
199601.636005606,885243.9370307218,527062.4843752533,230073.15094037875,597819.0114302761
10911.431734893424,784157.1859218484,242797.15737033472,190772.05963599507,562373.3858324445
100908.77924962659,617440.7736210838,169181.9627016084,249605.09863908796,590384.2364340335
294177.0884398726,378436.117905246,8450.531477804703,391275.9453789244,683154.0231495325
602747.0828121108,110265.32577505556,220010.74576436225,433240.47093113273,431223.67636114423
933785.7125400407,82305.76180154456,97603.00338593779,535714.1237725461,404402.76034096617
960228.6931302253,229253.36909366032,51777.70895334319,713229.4107025712,259499.46063177843
872349.206220902,304031.28398343734,2077.0469222054176,863254.63494089,163212.1771210503
582419.1452480183,605160.3533807421,2148.053597212538,920494.4971779718,275454.1201220666
277020.2630316765,796652.0509197225,132394.47718825747,1000000.0,187853.5558566893
35410.352760218346,949426.1291445856,191667.38047552973,939360.4969232446,143478.88469868337
142138.8908520116,1000000.0,205682.1073359302,901494.293936475,94910.58771688632
233908.16967709918,830040.9678841371,303917.5941269322,903554.0422875127,120440.95241767565
552179.9024422535,652291.375529815,182900.00987527438,763547.5795071349,0.0
830298.9792222457,501843.96474615653,406764.0593927598,565507.5739679824,54564.55690119708
1000000.0,331402.68149713223,468154.2499163669,367124.1088766324,354946.11988517636
897871.8750970319,94395.80670842485,517614.4611574146,323243.6664768128,229969.1822561741
702829.2987572794,137620.18597703023,503292.9218867864,306913.40848200745,523014.05325367046
310960.7502327751,170877.15889896156,593210.1196810595,178082.6956165936,511327.77098284476
24840.90929453178,504674.0648263317,616305.2384852156,214391.72587763358,605665.4779966561
23597.509000351667,721983.3598853044,648097.2942414013,60603.40550315789,708040.725010172
76211.9573412321,848625.1004210451,738940.2573797158,187268.5354689301,1000000.0
484837.37941316556,988456.389277301,543682.8289044077,53306.7204185135,846334.2731630141
745528.0753997553,907471.4295459153,449351.32416684745,107806.79304571255,617036.2920875804
937591.3944460512,821534.1418428139,486966.3441004573,71943.79846671213,667910.9565292128
961378.314583906,526475.3912630704,559766.3465850743,112277.68650254176,499990.32402442384
750229.5757800522,249841.06721868343,610220.4296835312,95356.6353831581,527121.39426091
400074.20317697927,82591.6972543075,682867.8258931632,61373.1062481344,619502.8819685847
78936.53066436683,0.0,864287.5969600601,136411.70168879145,631586.7493671646
0.0,211545.8603727672,896854.0268900506,225802.51258838095,422902.3680024993
68935.55702356884,416446.78166858904,943487.9280521857,92311.3957578932,292394.8263375295
396795.6473234655,612981.8360338378,909150.0216188715,93986.41507196454,216859.04890436277
722742.8281270902,753197.5247673596,1000000.0,0.0,129424.8588099049
942511.3017781455,910995.0095402997,858553.1949895361,81875.7402429571,67467.27595977407
964587.8871147919,930425.4436466128,856177.6296966157,148393.96640828336,53126.05291245366
