Energy and Utilities,Renewable Energy Share,%
Random fluctuation,Single Peak Distribution,Periodic fluctuation,Single Peak Distribution,Single Peak Distribution,Periodic fluctuation
Wind,Tidal,Geothermal,Biomass,Hybrid Systems,Hydroelectric
33.15195312926434,6.7180368707157045,56.96780614713675,9.990789061434736,7.704287006773117,48.175214609391205
28.81068335856992,8.049653904742565,70.20526544090303,0.19491520970295145,6.247245459298462,71.40371518792693
21.924601850148093,13.554208853432218,85.66359130114593,5.292494824483468,16.84897994904832,92.32050123366858
20.264820860164637,3.627230437304021,97.5627817712468,1.4411199305540423,4.99375640305864,93.62691478361127
23.44176477127926,10.414198850038403,99.20064679230443,3.479056241280816,13.534667604812068,91.21574323470719
18.14421408184497,9.395905881559983,94.13960360952596,9.521063684652935,5.725662068527296,85.78142503260734
6.807519932579133,7.506325466063381,77.9942454890441,0.0,6.104731375730468,69.60634343698045
5.222701925185843,6.150650662012968,58.41759226526055,11.496646876230878,10.729519080694363,43.49984089344217
1.6523168106244186,5.240172566613806,34.82451204099457,3.858986413128612,8.707686206938504,25.52324340016489
0.0,14.26068447816943,18.612982714342913,13.89017191225584,14.492197565668421,5.445642311637285
5.37655229136186,12.766402799394939,4.260639414129524,6.104434005991061,7.75228552912534,0.01815658856265104
22.731368889049502,11.0815569582953,1.1742729325792807,6.8597058674238225,10.217141212673976,3.3984141427121175
13.490841954351751,9.358412963810506,11.866128051835851,10.346825852169687,3.4268018431720573,20.290589679240842
11.714031688212284,12.10141071668252,22.64530785747443,16.137079133857636,2.3821362747125856,38.638672307708
14.747337758968385,13.745195001432428,40.896258249017706,14.115566038969304,12.284369319006254,60.59016041318826
17.146344761026626,19.363375264006503,63.821470026128225,10.929570554351567,15.321963154453163,79.98120054653516
24.491146522011903,26.39314908648681,82.82592237844021,12.773268853131162,19.439185061266613,98.23816703409746
28.410630471515102,28.53361855199627,97.3639693425143,27.870696977009214,26.133529044308148,100.0
29.929584922432788,35.5906871668233,100.0,28.905478202380753,39.366128860684555,95.35037648861515
35.54035660331186,40.20395164565688,93.19621986042492,42.39596364520709,50.9325562369345,79.78423566903969
39.14506694577857,59.328832309738445,86.74458886043294,57.384823357545244,56.200550171443176,61.488542181797726
39.18964156009049,70.87459266847145,64.48956289670359,74.37131076862525,76.69413627322133,38.02675847688388
36.84653847109152,83.99739759300863,43.554632354670765,83.84241442404074,81.29407266665947,15.73347574385498
29.35085961364604,96.718889359378,25.404713822669443,92.61483717908786,88.70262554894411,3.2317131114492756
35.65511386644219,100.0,13.269330616162508,98.21368304887751,97.68794599570171,3.1827744948271897
28.32719413487691,99.40734357537177,0.0,100.0,100.0,9.217343054326491
24.97041780805527,90.83139180562856,7.407417571362076,99.71095972357867,94.5558982718903,26.745626488536622
24.720584933865712,74.08288807901933,13.341373562795985,80.2392486169645,90.74073858408916,39.58337821714523
34.762448143647404,64.70254730918387,27.573858642598225,78.80492317444819,61.015955491536445,71.48037037296857
36.16760156832905,58.811457912059595,49.30466803897681,56.9051295682803,62.72534333941018,83.81026340750262
43.5714584126098,42.64376949467452,71.50585420448446,42.08658270166749,43.04838060419524,90.2825084761429
38.31839843992272,34.87584996955315,83.63815582341296,43.18258596892597,26.3122367345473,95.19293998367833
56.08559151663602,28.61998264055145,95.39014472417139,28.206010993888896,28.611844980291252,95.5429777142653
56.26971319635325,21.845673854387304,96.53806059404735,22.991914764793282,24.746943650070815,75.1219684611273
59.57798325648815,16.78173178917448,93.94323861152436,3.863923920638145,12.78231380704789,49.3470672387768
62.28323909204077,12.406858945498266,70.47574017524737,14.092225356124152,7.549973196240938,26.06857400944611
68.63019844186218,19.047361098033548,54.700369547107044,11.858601172867136,12.06296065534814,8.68294904119672
73.31238097276118,2.9734128936894297,35.92586271595755,14.195420963093074,17.982634798757807,0.0
74.69626977488547,16.117072811126018,11.773869267394629,0.1398130986496989,12.134760363677694,4.3086957438985145
79.27229888125616,10.510310062916496,6.316128379510992,13.569669102297008,6.0619553799083254,15.520915906445044
81.54102791100281,8.655662074921068,4.73861473265871,3.5205831071094265,13.469513457126148,34.19252616634728
82.15386037520224,11.842702727311837,7.771010074440212,5.375787705051643,14.81709390101236,52.64546709843705
87.46966009138453,13.291088734111561,25.153895456258503,8.69795754677489,11.40339200997651,73.93238174301953
81.72367476150283,1.9779003237945139,35.282825214361594,11.672164960599659,15.707024133066428,93.966438974017
84.1066106574651,12.546785206848387,59.935187393439534,8.089806504542576,3.552252007032485,98.20766834230021
91.27746880332815,15.501517248369115,75.94212719170586,12.211314641730743,0.25775511332618184,91.19197857934334
86.34703999680991,0.0,93.69149524677464,2.0720673137386507,0.0,86.43210501360183
90.80040146619676,8.48438672082596,94.62146561559005,3.6498889398177288,10.423990108173777,64.87126010261261
95.36933135205989,4.242349055731354,98.22210573284742,3.641214411045878,12.056073193917735,38.38848801176645
100.0,15.7796089159595,86.20387954027342,16.641628950397997,15.32508998804867,15.906019984294431
