Business and Finance,Return on Investment (ROI),%
Periodic fluctuation,Random fluctuation,Single Peak Distribution,Random fluctuation,Single Peak Distribution,Random fluctuation,Single Peak Distribution
Real Estate,Bonds,Stock Market,Commodities,Venture Capital,Peer-to-Peer Lending,Angel Investments
9.009298553562925,-10.0,-6.453746730771279,-8.332107813565752,-9.809314949862872,1.4541189828892804,-10.0
14.945799501523666,-5.790057058129704,-6.578335929762762,-10.0,-8.226296535298669,-8.701577071990691,-3.850402087483306
18.87181964923862,-4.199156025247889,-6.031971251854421,-8.314495980781572,-7.462006500575825,-3.401014600784924,-3.688972731650761
24.656891746285922,-4.377669756874677,-7.809380111829378,-2.822731568258277,-5.551892649360247,0.3396085458939009,-8.11966018989763
27.699220198948268,-5.239771242878822,-4.857842842563245,-0.7624751060599948,-10.0,6.517544539915214,-6.150916857571534
27.637418023687616,-5.330167143436774,-2.8141150372508505,-3.8751635058207974,-7.089807878814819,-2.2217559423947435,-4.84050534128048
28.69197672342301,-3.5032903388587595,-5.257875757804741,-6.836511256895269,-6.012085812933696,1.870191962604304,-9.916215595836691
27.058026098792027,-0.77455650520238,-7.088555321541829,-8.608918146872865,-3.8949179958180853,-2.972121571962343,-3.8422436642639077
24.908560537394507,-3.204737317842711,-5.7135810826211975,-7.02307250202349,-4.071095864845732,-5.7679711477101385,-3.148388961733999
17.771259220916424,0.10224976853320022,-2.6056312724228814,-2.744905785325039,-9.743171642292365,-8.848665058872012,-5.279688214689641
15.348560700200004,0.1051410942336446,-6.8755648013400785,0.3438116869791372,-1.8885685629195823,-4.083191145257077,-6.012615665972499
9.413773295715437,1.2453591403477908,-4.832962616009791,5.0310787220361615,-9.184113384316685,-7.776288350961535,-5.723007077540893
2.1415202502326984,2.7176484178920024,-7.73722734098245,10.63649581360108,-7.481807112412666,-4.388360887460102,-7.7112232927472455
-4.8810518890525625,1.6162524041217132,-6.908994188333523,10.822770645082905,-4.312342869796222,-10.0,-6.617616504036409
-7.505776747078006,5.706758369987801,-4.826511252308315,10.311248801260717,-0.4262193020424583,-8.249643725920789,-5.054254343511293
-7.954536384359699,6.272472420282739,-1.3204606686994307,6.179851625485494,-2.3527035898123145,-7.534906200130498,-3.8860708465263514
-8.827587671890619,4.14595374583782,-1.7319485203473626,9.411839615892585,-1.7533967408620121,0.9102287676966458,-2.1217869364076343
-8.109734542015627,8.64170081071514,-0.1334723596158156,9.816001359672232,-0.7260159852476313,8.558575620679811,0.8749825860074285
-5.4813705545486,2.266452551994389,5.104675110764438,7.151865341144635,7.106406904172971,-2.7551672954741244,3.378433908865672
-2.7514386021216417,-3.269002883255836,7.542065577975816,5.395661473564502,8.012393633683217,-6.567753428193213,9.602636345895313
1.7210855207204556,1.413242626993668,10.493911320545251,6.374402894927467,10.812555364090251,-3.449311130241261,9.790783834086671
6.715333461892001,-0.8881188912545994,17.527039660105622,10.997426565774724,20.776017547847253,-2.7639148057857774,16.628748391931076
12.778846422860276,-0.9613166591482862,25.054337312505538,11.813843516355291,26.420218555723245,-7.755976212301178,21.226936481556553
15.900435472153177,-0.8223875841358055,26.98064038795956,12.372920950567845,24.839690844266386,-6.376857950294828,26.899331652708298
21.55544141435501,2.7807448347746337,30.0,10.796144014330732,29.755563147178428,-7.9811997584509236,28.23637693653864
25.666992774152533,3.0232227435647268,26.84452216473433,9.55206160845346,30.0,8.643684413102601,30.0
28.670057076273807,6.6166527933559784,24.813602967052674,12.072329723232905,25.910330486503256,4.481615130549841,23.563183226426354
30.0,5.5273728146711605,22.593627326294857,15.897413496196293,23.239981703468516,-6.24276310205225,19.25457519900369
27.87029996175785,8.828773988930404,17.097161111326315,17.385880659183716,16.472043747422973,-5.359835056336648,18.39909719164329
25.962699757908105,10.414548456693943,16.524888666617215,17.7704174377987,14.442832245070374,-0.20411847849451092,11.537808841670902
20.484327952275873,7.882671136357654,6.312151781572023,20.17195613584365,7.712339117785188,7.9937302777025145,10.344293858543466
15.745137115132472,11.225754538752035,2.6540626407167274,20.796952485446806,3.469374311339493,-2.4720387806068347,5.48486666952928
7.654297689345597,13.223369460032515,1.187857568813568,16.566544256878657,2.6388186664950872,-0.7642802469969183,-0.511320912683983
7.780925874716608,12.047545196239831,0.360170154141521,19.103538898303153,-0.41855593796913304,0.6826269966416945,-4.096893590255055
-0.7931811735430614,12.721847859913566,-1.537347389264724,21.481370562235714,-3.6585023983861795,1.6576904276618531,-3.4358562673491653
-4.315199378288209,13.33167414571271,-5.538590122518587,20.23385202077881,-5.110825018304849,-0.783669918451384,-4.747441808965417
-7.235150913821796,17.897258192899393,-7.584326222143657,16.84967264481692,-5.273723713838725,1.9652347686873313,-4.6149372856362545
-8.959183151733319,16.06854368513771,-7.763102541574337,15.861247345745536,-6.888169138253479,-0.9848854194798999,-6.551510127355893
-10.0,15.77891668677416,-6.4548084032745345,10.846531772291748,-8.178572650458761,9.467751141315933,-2.5444178658723517
-8.052040673115595,19.14038105924395,-10.0,14.720772051325348,-5.167222558502097,4.347665675372399,-5.2778775695305855
-6.210757245704846,26.842748597947008,-3.4451656681545906,13.27501590835212,-4.159149036590155,5.81419821260476,-4.137836970202925
-3.186440919601784,30.0,-4.63096153505412,20.107974571486196,-7.8732956821445175,13.220173892730962,-8.394439970993414
2.805071353673984,26.898873319304478,-3.8823961926766426,22.478443009984346,-4.7392602225295,20.154699875813854,-7.498472914891304
13.65723407683259,23.392105113160774,-1.3207679204714058,28.081950887218653,-5.719876582568427,18.397055848282925,-7.436564443064995
