Agriculture and Food Production,Crop Yield,tons/hectare
Single Peak Distribution,Random fluctuation,Single Peak Distribution
Potatoes,Wheat,Soybeans
387.9811516267773,1186.3872179574964,380.77712845479437
398.5104732438282,1073.1786354754195,845.6500380780025
312.42495553649036,624.7022253757974,739.6566889196333
123.98318818669699,907.1531511078026,593.9498235458368
516.8220426136878,1585.2792307718175,784.5909965073413
348.6650124514815,2190.7373285942867,624.6025057019491
401.1789596039044,1229.2019837949713,673.5784608872639
459.5188272475782,1392.7908544172576,990.2556190400016
302.03572449714085,797.428482117927,557.4232942364283
570.4279317281519,1693.365455388022,814.7227920543938
514.9453343264499,0.0,503.29735172070025
203.73612387530088,366.9133169969559,636.650323074648
742.3390612613175,1430.2313265601936,814.7248352747379
706.0961066711851,1710.3402050866148,687.792954965768
784.7296592561598,1984.8565378142853,666.6372473163793
793.0106958838963,2274.217081356884,1032.2833260360621
888.9381258858944,2030.1037469503397,1387.0583489317025
1413.8815755154299,1282.0552013337585,1384.7978411409395
1857.0583523432683,1909.6446467390176,2130.966605648845
2536.9029283723744,3104.561657216176,2295.7110791833147
2997.602361374174,3867.0467350352824,2930.425291252749
3853.2032263974734,3334.6310696214323,3406.468069281793
4478.5831153501495,1460.4705041875118,3977.2515106849337
4792.502599469037,1515.982109255269,4119.211476413175
4931.011009245642,2115.3669976425963,4825.354571922345
5000.0,1463.514686994449,5000.0
4918.778654733607,2357.3857812225165,4462.746160697757
4880.434775807512,2375.562744253117,4301.22109362566
3993.544876938755,2343.392900738096,3800.5230904056393
3143.9737154503696,3248.360054514427,3150.853232990849
2352.6607189013002,3461.1191195011716,2348.6476857924395
1914.562962688098,3097.8825822980943,1870.827400706352
1231.6593567852217,3126.589976516747,1189.0496890303941
1103.6507607855312,5000.0,1026.8852505519828
725.0532477042544,4488.859888053147,455.43020020709395
582.6513190261741,3912.8739044874183,154.3486935433256
623.5391265563989,4241.543348667592,627.479480272395
494.2747354783063,4567.213686543696,587.3212011799046
510.1536312748638,3230.0982763850416,538.5339433740189
201.387267333249,3767.6627278496535,607.6900868894703
0.0,2773.810487934581,587.7478966406645
549.191231540269,2936.3280695559106,798.1047490878029
477.0592076212424,3706.7213108228825,0.0
766.2281132073488,3960.9444657565605,653.7065547076096
174.46503171574903,3867.9072569580094,777.6875450285626
377.0567607484752,3473.519320077036,734.3199873667567
37.801602539816834,2455.160455337434,823.1737051966736
432.2938046666201,1093.9712061271662,674.8214366984962
493.38014913767756,1498.202400666445,455.1858085879681
192.88080415927394,1462.6520440370662,911.841502033126
