Food and Beverage Industry,Beverage Sales,bottles
Periodic fluctuation,Random fluctuation,Single Peak Distribution
Soft Drinks,Kombucha,Energy Drinks
55733.22188393377,92370.65716073624,17544.72503498287
77916.10305316318,85945.6827006592,6595.563891647778
99880.08873050414,92152.5821919586,13606.131643514434
89220.46924476515,96287.91200991355,0.0
76908.46038955043,100000.0,14388.308798429594
51848.06235489753,73909.00608840362,12885.396019899928
15572.495819693033,52949.42213701505,9704.413994637724
5892.398321293247,55401.69102750957,8590.990831596677
8969.105881136737,44666.83982080148,5682.529584678725
36381.081529268246,30727.020097317716,21026.585239297856
69398.2875052136,26567.102899382684,10853.214361262886
96210.83290928864,22443.620012013558,10781.296568803655
84488.83900163308,16146.795003103329,14928.771692043163
84756.00036204023,0.0,16555.12844910626
53462.38851430314,11275.078600840645,11836.24814515741
31424.59606221092,14226.412685633935,15620.549370133702
12621.652562846331,13835.742396332256,22707.263565931342
7341.217402221163,15956.832510549104,30163.955917548847
24265.72545503802,20937.592378286565,37222.196257157826
46809.28201826583,29832.879056516427,44966.54121863869
79052.8530270197,35490.48705965304,58038.83314340046
96209.4757352558,32168.428457775473,68142.05698711802
99323.27523033804,34012.743811331704,83455.03432649431
77331.27503080049,19839.612758397503,83947.10196583842
47863.18729234344,12323.660420892837,100000.0
20213.97530264073,16154.493416742102,94752.6543152642
12569.769597442384,26312.987175361603,98401.38258614522
11467.187450556768,39492.62930130582,87760.51622731095
40666.915321943285,42476.825096944835,74603.28880563386
66354.50293731925,40631.99794201949,61213.64595586207
87347.74730225213,47056.82553072485,45611.84449787265
100000.0,44300.22195403333,35828.21447052114
83952.91112643453,51356.13981225425,25125.607185544675
63675.83880857096,58412.83691311358,22915.641554061058
23670.187407031455,51252.95257032434,15171.913058007072
14718.695011050755,32159.867379876596,10015.740083678284
13746.141414472071,40387.42725068359,19608.7530860699
28501.491535682777,44547.570620258906,11123.533428280834
56661.66991499488,50857.62896716717,6150.259016138483
77993.22125120964,38535.11382795662,22520.647254457897
95499.95080146626,29349.889851415257,4429.162695433779
99952.1315676119,39326.52410533587,10669.505477643019
74254.69248002583,38307.0202830704,5926.4743739896785
43685.111818358215,57238.64092418911,10046.869955711985
12794.416203893172,64007.72195292701,16888.81887772631
0.0,68784.38677053484,16810.568089859105
9458.245681727358,50773.351173648574,14214.641299183528
39413.98279462402,45574.402574270214,15530.65790988152
60781.622698459025,57672.607849692235,11158.05509041878
89399.78225402813,45906.989804599194,13502.098032638025
