Real Estate and Housing Market,Housing Price Fluctuation,USD/square foot
Single Peak Distribution,Periodic fluctuation,Random fluctuation,Single Peak Distribution,Random fluctuation,Random fluctuation,Periodic fluctuation
Luxury Residences,Mountain Regions,Urban Redevelopment Areas,Suburbs,Coastal Properties,Metropolitan Areas,Rural Areas
50626.56944099755,516781.4779822889,463799.9670243744,108003.92789592723,342508.4466842945,790100.6778503024,529946.0373333585
111419.10881975098,817586.0791457815,483769.8455772549,82761.64564266423,371109.40311130293,762856.6285281386,562869.9880511971
23856.658693121888,910944.8307779124,208893.988459092,157110.56457011326,310974.2115803843,772628.5156981515,815463.8995578688
109755.19793782155,1000000.0,88644.2960832973,74715.98767511257,263718.20444006013,866540.5472765064,906901.3423117759
135870.66088359375,969855.9297824941,100112.23454947409,144604.341343052,203814.62546292355,938653.0953754798,961737.9872357564
75334.89553553685,846926.7079814812,51636.590467649956,154798.04365283158,183308.8505606403,896752.2451356446,861635.2538232339
104286.4583119354,665072.0259037941,90055.14289252706,110628.39351133055,150118.25838273708,976036.2798813494,779234.0390443199
72383.89162152293,470697.5471751225,201767.67828937076,169672.87988334996,45059.840593502246,1000000.0,733244.8446678059
144711.45571149737,203085.28751942996,223474.54523194843,166201.1307273251,16420.93615881465,842919.9697844922,517118.493427155
119520.98124352127,100890.71092322147,25238.426910777725,176137.09008704757,55504.63123130405,901072.9784465499,334477.7486910826
50645.70393957398,95900.11826332466,110130.50169163609,178221.3903864125,0.0,890069.5673681699,240146.40211603238
123200.05708341602,133674.56473413715,305199.5327089712,119369.97860291011,23351.82342072298,895370.1150860722,1433.4283112044914
108659.06512855887,289904.7553060343,277816.8525419691,79756.86128923635,68797.22161565788,865180.9974724612,43613.1132812079
113324.99398593216,488400.00996092224,137894.03082033288,128849.57795788652,135037.75398288804,766141.7820477008,194389.18156877105
162832.05681873029,676645.6332957734,200711.0429881631,183183.56338168657,206280.73334515747,857298.8941473414,261498.5703280547
112451.06686738768,875404.638090961,41702.4746729392,186920.886142803,281825.7131405081,895145.854567033,356193.57260326395
241721.70539419662,973317.1575356477,0.0,305172.3925451737,399648.2900312185,872830.2808491946,507661.1082285574
237889.38022968135,976596.679927867,116157.02411531011,305504.0187278619,524446.0617873746,959364.9805421116,665092.1908736677
318593.2595248374,890098.0366018867,206234.54447194943,271969.6094851736,544440.3397593485,919170.9969244826,883352.8788308573
472844.3101727395,738932.3553799756,120865.87842847982,494898.08965134236,501562.1901853404,920594.9892218609,942601.164733639
581001.6148554953,531937.1187130373,91850.5186022825,548020.5376226588,564261.6595257159,930375.2145234632,913529.4515992809
680415.9221492114,276363.96138015034,197273.23497422138,722545.3723441048,599138.624269907,895303.9076150359,824369.1380599122
768884.124088772,98013.93591081214,330086.0843073223,788269.8741838875,654666.4967287563,836977.6117097547,786988.3443802124
852146.5249961688,85427.21452960825,205832.7462486474,888737.9349907648,632397.9046960978,789627.6364321226,653552.6824438067
876354.7542436809,78627.11488733132,331280.43274510105,1000000.0,601165.8889299592,821253.517774534,467466.9697556734
981961.1321100771,228041.2629250752,423788.2212401418,903649.8940263846,603971.4637497782,916833.6050627837,242108.16888810272
1000000.0,450848.01893506304,607138.2115463787,955950.7842828915,553778.185477404,753769.7602290364,154784.1175015188
874469.6272586174,568676.3857519001,556384.2944808544,868335.0237411477,528888.8196481636,682414.8988772047,81452.27845850718
631072.5632398207,762935.2024572515,597380.7979227114,720433.2305162495,597880.6034471692,764547.8919679275,141272.29450322982
535284.9230273954,957734.4306522278,731940.5250862027,611139.4581143107,609034.1545757932,687202.2038648855,183671.27322456168
451738.5183505194,941216.5280553041,741105.7705324576,545460.4283161347,568087.2673742364,751967.9081773929,315969.36128164164
290514.02852097846,856441.0501926746,661408.0110071119,447249.9946955364,606623.1728315043,650910.7689095346,355216.92891007086
283196.5348985837,823394.001083133,613978.1773601309,220444.95637592094,698978.7315303795,613439.3728941199,532333.541924068
188250.22900280336,602566.2651367092,611024.1741806639,262021.63993282718,680392.5567518121,679854.2188568518,666893.2874551526
137218.22591093424,320053.28790612344,527160.7281349726,169449.60257563033,661505.0509175143,711150.5846453118,948550.4111067447
165425.02556396803,234847.90133727586,476418.3336335414,104033.59546585493,691103.2597082156,674266.345326655,1000000.0
185600.79304485384,45453.45144628659,460241.70964835066,175275.917344895,642879.215120743,634654.2003940699,918268.6098540926
134283.2445475967,0.0,290659.0728264709,111796.79839140353,680054.9126785874,553183.8263318293,814022.7267665082
68924.91103012771,107813.44269693393,393452.79788577853,82535.87647018352,608842.7893539015,545676.3134824194,779340.3384776535
96563.41236194543,310055.37881910295,463335.7109058128,160287.08725080817,621538.7492606697,500843.92942658905,625402.5613306426
111489.97720298324,583782.703789004,526542.3442166987,83076.46763517999,619480.9905380394,407801.33864487405,481389.1016718749
