Business and Finance,Return on Investment (ROI),%
Single Peak Distribution,Random fluctuation,Periodic fluctuation,Periodic fluctuation
Peer-to-Peer Lending,Angel Investments,Venture Capital,Commodities
-5.594579563346676,16.65233154636895,10.48239533938164,10.549521768115579
-6.555650974794628,21.68939982181773,18.362714214344308,22.736645940349398
-5.575558488884247,14.486408633182158,26.250114356159813,28.625488760824993
-4.5679213516661274,17.677294579290862,26.99444643029325,27.944271292302012
-5.6727624319701215,18.380641182265638,24.905456403553472,15.911795891261175
-3.42080734575683,20.334651971643645,17.755776943666234,4.4296245632233155
-7.793168786288499,16.318891407175183,15.94903716861019,-6.4053412967254
-8.209901437745348,6.047258126113796,3.091979812299501,-5.4485871378520025
-4.5481677806580025,5.612487820770442,-1.968656656211751,-4.13384002327091
-5.311369553647495,10.278060695972279,-8.610740182304227,8.705529829002504
-2.335362611300111,14.325695597670602,-4.8790569974301325,22.990287036191063
-4.626482091185622,11.186858271927612,-2.890370198329544,28.58034716413202
-8.054868120701798,13.732997009139094,5.3673050051656475,29.748935562200415
-6.930425494331841,17.477918500684588,13.998450247402573,20.583970724153488
-3.015996313776549,10.86761004102108,24.981901771395563,5.795823725358266
-4.786999381285881,5.059757220642215,29.65688432724211,-2.336252719408538
0.2962096131566021,1.914080318871349,23.898557583065845,-8.985746830752085
2.775725191707579,0.3671898866078003,23.617037856969894,-5.8123524500327175
6.00362115257029,3.638886834721527,14.285085866349228,6.579096815208647
8.281693737543257,11.323236781709717,7.211784597810219,24.22493971125578
13.215202370998306,4.122339789738778,1.07080330279347,28.958325088207907
17.50357124038964,7.439470655681646,-6.461195109049463,26.53961900371042
20.145077036937945,2.613785056659527,-10.0,24.536804378956496
24.379984161126544,5.109869671527672,-2.9020325803795934,8.750701350455035
28.86640425905503,6.118023200755175,6.303734381784814,-7.387442516835939
30.0,2.0489007648583435,10.943615825342302,-9.361977019920415
24.51544397498199,-1.6151224445450545,16.95819391593224,-3.7011847196976477
22.3204545401897,0.17384992529822618,24.35870056139428,3.9380489632933084
18.743881136996894,0.5927713117839595,28.428388051282454,18.94483342327746
12.421117979589074,-10.0,28.300150529715758,26.831832039482507
10.93657727857364,-2.643545008109127,23.312672322894542,28.44943932958663
5.6260661047423035,-2.828767820808321,14.19434110607435,19.99801822053982
0.14979697450916873,1.0596909892653734,6.190162952266853,8.352687039257741
-0.9104245009109526,2.460908752932994,-4.0533138835680385,-2.467772724262389
-4.032559976901599,0.9930665143665109,-5.222148533982635,-8.18269142478856
-2.568366548392408,3.2180587654618424,-4.143579071265609,-8.558637982505395
-3.8714149952277923,8.583573938448573,2.7061588640895984,3.290799675510563
-2.5304327051310924,14.15824354004112,8.035674772254879,15.018639025644404
-6.490970094715368,14.097274856935517,15.67294082706497,25.187493751328738
-4.847920878190979,13.817947830310931,21.501975804321706,27.143432933532594
-4.135292866933726,21.86263361765168,26.654820479783126,24.44238087559352
-6.550598199009446,28.271994985990176,30.0,11.176086889902322
-4.876607422411173,24.066785943283556,20.773764959020696,-4.858363421157192
-7.821441426664806,28.733235179978053,13.584665682354455,-10.0
-3.4966808788953294,27.158961474801288,5.759864339636746,-7.849183344398007
-7.482953496794616,22.367504819957873,-0.293155817524017,-0.5131172005346691
-10.0,30.0,-4.73305084358917,14.877614383429105
-4.039554810034347,27.19894247841519,-5.556844182567949,26.96521194280669
-6.916460051635155,26.496450336454274,-3.1114305070452275,30.0
-7.781184232893023,28.059009207716322,6.45606577499861,23.87005818018804
