Sports and Entertainment,Event Attendance,people
Random fluctuation,Random fluctuation,Random fluctuation,Single Peak Distribution,Random fluctuation,Single Peak Distribution,Periodic fluctuation
Film Festivals,Comedy Shows,Food and Wine Events,Professional Sports,Theater Performances,Gaming Conventions,Music Concerts
945637.358580997,201073.0582127078,37035.12846240999,106336.87639140847,1000000.0,144445.32078718176,537383.8912854985
873185.9370745738,62362.018136476705,125766.0507926991,103595.46311055963,926141.2543197216,118898.28863704475,592124.862178854
1000000.0,75196.73013004471,146121.6859355045,6535.775239448526,819382.8705161408,148902.77185419877,771561.2455098626
886577.3291733826,40721.614167701584,66852.16401729471,138961.10273425837,879652.9826007226,80453.67349999216,956857.1780221435
722707.9415842653,88813.05555674211,0.0,91231.9160071143,699706.188195432,94138.55288976197,960458.3828316914
705138.6223306132,107002.3238405625,120114.60223238701,64504.604088617205,921124.4897702143,154133.9873453547,932631.7809100398
812958.1570015893,0.0,88461.96070508227,70744.52014410764,730956.1506073287,2665.508193189399,958668.1713513546
808727.7033563348,92273.19658892594,191165.62126886236,205270.3761834502,811400.0772594799,148770.3442583839,912502.3933201676
827062.7277049631,130581.73606096582,161610.3932178669,125139.96287639071,826228.3396965164,139534.77740543804,709343.7692953864
837382.5842713821,58821.52108675367,186345.74501466824,30880.13234078482,544979.1222868983,136669.40181221455,672649.1196438216
610872.0879598787,20233.26131492645,309919.9456226198,76098.46048039562,513255.41846726486,106627.12078477364,528319.3245457894
502734.1677251247,68403.29007343847,335821.328164412,132617.3259400661,676061.7322329434,0.0,327191.1028828293
439182.8511040972,124465.34500062064,191398.01091333645,199611.2215440829,887367.7081750098,124014.2848435668,256821.74152862545
480465.871175688,236324.72260668792,331619.19133302366,57117.214656378645,806515.2552937579,115576.6727958358,98215.54682689198
277332.2895286964,187491.77517733548,343454.4656167643,69267.76996789173,706153.1681899042,252591.61057186036,14520.58719702082
443765.8465912638,260821.33982599853,392617.37126937305,126812.78281412186,794680.6947729116,155016.80416149445,86277.6331240197
469751.9046153052,229642.28365509093,407622.9385631987,194528.74812953107,446073.80342550034,199051.47602279752,21940.41063201787
512251.8091279923,383651.0477927591,378913.2584569598,222730.6410935528,183295.8820536754,268612.7463337826,93392.1199998712
474801.31730513833,495253.12499226554,366606.45942428557,295469.4638777745,25124.850851146937,318497.5899983568,178150.6732808799
129251.56916799684,485858.5238466235,374750.1631626488,456107.1659381154,176682.36670001745,424672.6786629771,298941.44294930174
237412.53837814758,536410.0657532171,258172.01780014386,565834.2586084278,323377.82416522084,521569.5477761066,434260.086479879
272072.73310939444,689898.7102824571,341706.4494489751,726414.4666108522,470909.0907429236,678124.382305657,636057.1194773266
306153.3697044798,751167.6049816161,316390.59844868566,826252.9162175343,341809.6822450304,800613.2659981597,707814.4794383306
235384.69894279187,705099.1766450154,445328.7171975223,888736.4703788981,169791.97925730198,827414.6142480448,903219.7992215661
279608.420176298,814370.2595092972,458396.12867380364,999386.1619922821,171783.3788716566,987081.8432172542,955711.5402733466
266964.9360844873,819736.5688305266,466303.76122151513,1000000.0,310080.9358071861,1000000.0,968148.3736789178
375048.77101739513,741268.6414642194,542653.0939438444,937616.6382193491,480081.19102143054,852445.6093891858,954894.9452184169
508763.7276741346,775024.7743449913,458862.35208654165,873225.7790787412,531188.9904798928,751321.6091890042,860142.2102925971
648427.0477792228,700661.0718616867,375009.01965643413,701402.2424698826,436938.1573014842,692772.955378297,770071.4378450515
518836.921973986,743098.1554723455,414615.2109643647,613594.6055786299,562011.2056286392,551002.8777528274,666898.3922750021
372837.8356638151,634358.2997253691,396488.14857742056,494216.5483923963,756539.6606391135,489850.4038948322,600392.9284836297
436448.43641353014,678923.4489896696,429251.77956158464,311133.3989584922,643250.1653244991,249667.4525349138,377951.23323625606
268536.81136791187,516109.99969256145,372516.3435838083,283937.9706281723,403247.56104468985,237625.78990424844,222699.1814629802
261040.0939651798,533350.320491292,423559.32365496666,239647.91716726142,625499.4364752001,228422.24825397998,108959.80310802693
68169.04027607928,586893.2606259312,391219.69668327906,116868.82825726242,570398.2996620069,139916.03204092255,66798.01064092122
