Science and Engineering,Research Funding,USD
Single Peak Distribution,Random fluctuation,Single Peak Distribution,Periodic fluctuation,Single Peak Distribution,Random fluctuation
Nanotechnology,Quantum Computing,Renewable Energy,Medical Research,Space Exploration,Artificial Intelligence
1885622.7213496875,80019759.33786531,12906224.214740306,42868821.96090217,15473227.366030518,72059966.71461692
6579255.582880103,86355758.33504725,10227212.376065215,67854130.24447255,14333571.904755855,77021310.86500233
15706378.55161949,81147783.46266627,8722245.77999749,83224464.216068,8106837.873714491,75619745.76493108
1245345.411545188,75439379.62386374,14263642.921748243,92275501.01109198,6913542.841402532,74334483.01791999
1503464.5805359366,92522250.41459376,15873256.836506372,92388056.41242486,6768844.099192242,82987547.16990924
8598124.660708888,100000000.0,12771068.660643453,91697990.7373221,10525061.651108025,92314294.82157665
4944919.319138593,88665487.43213245,11884134.05200216,86533402.407434,2745698.0563727743,91901336.23560594
4891878.184150818,93853413.95268144,0.0,75321063.18609783,8840451.482377889,100000000.0
11031045.215639083,87595464.23705581,6825029.690100797,59071147.63627327,7971803.291094546,98199942.97285852
5576242.059178977,78033174.87152106,10249296.26878563,39820012.611385405,3076699.971311782,97177655.84685482
5704329.386908152,79812705.18160918,8577320.57565,22630365.958841242,9158457.21341376,84022127.31282431
17504733.459093135,72618382.036764,13238277.445551207,13888855.10638425,6484412.119038106,77511994.7238212
9910536.922278555,77276953.28831922,13605796.791811742,5443593.554145761,1952048.4132362462,72006675.97170441
1815749.8949713265,88649260.98176813,18254794.933888275,7184455.840999259,14058299.440074243,63658724.61461586
12356236.55406324,93556533.06584652,11726981.896658238,6158646.974601074,13089291.690099683,70256376.44231841
10529716.624134392,94278403.07748258,14928078.238648437,17851574.804132596,6304842.506697909,75656079.28188577
18660052.114840534,79331199.91251989,18674884.530325994,33766113.009028316,12741243.397902412,73842253.30951487
14578696.05448876,85151244.81507307,22709866.50897292,49737091.66671169,22309024.054789536,81813049.44468401
38566219.709432386,78283721.74990395,37956592.82332569,69814556.8952147,30183567.164571922,73743128.67967767
43022683.37714583,81579338.79043035,47415784.53542766,80330556.11098023,37116876.62681195,62694909.31484147
61896316.60526935,75648573.44741473,61046762.73862093,89959103.92299704,47236216.28848004,51080990.10596268
77996330.12582666,79209781.10812083,71494615.61140154,93289002.53882973,64394325.93115801,59039944.726710066
87376410.49667232,65308466.47039871,82099075.26484501,96141821.301101,84635472.92001759,48027248.86679563
100000000.0,66531740.61268794,87537248.53094122,88619181.76872604,86837949.2214638,50577300.70204443
96890774.12587713,54682800.67223245,100000000.0,71415585.11356907,100000000.0,53999544.81313675
99334972.00673008,33285773.7933317,90618699.04870829,53751350.13732123,92692772.2537795,45153284.629019625
89396969.5750086,34224424.15887695,82817255.34670931,42653558.76653282,88098486.05276896,36348505.47654514
78742661.83879547,53909355.77653265,75514509.17522372,18219264.592607465,82760122.99193984,22042531.37681775
66846200.379155554,47669523.89552547,60257640.33214984,9560451.010387957,79274642.63147373,25050868.829806704
57404100.61968898,47874081.49153309,56300396.90512485,10006717.929043485,64412064.39784048,27900377.374237094
43987885.67632606,44083975.41421328,49248761.94516141,7948249.023329601,44264469.25138274,34085075.89454759
36843100.55247404,51839526.699112214,32581151.329231057,9413698.944024801,29236820.7705249,26512133.986873705
21248333.198353276,47524930.75139055,21935190.879964877,22481202.812497187,29519886.948406417,39143619.911471985
22390411.76721713,59238787.78249312,20162557.8237159,37162027.26219421,14820712.582694687,30537278.687685993
9428022.854399666,56636387.43050849,15818453.156579802,53384501.0368187,8455307.863348518,29498916.86118548
15101123.822745202,54682387.708036974,11563712.345388303,67038120.020745225,13665533.104315888,26691837.508816518
10323010.586170776,54332529.01027402,15636162.459020875,81125567.06190307,11983498.553948112,14515968.256958451
2474210.0975920814,53393458.70659722,21748177.536987953,89140066.79897766,6924531.72815511,20821286.813280553
316403.3784426703,49678813.812616654,11376502.818655007,100000000.0,7409209.400630536,3774295.093022739
990949.1488132803,49837854.634556204,15118796.013990398,90904053.88262126,7517845.295165825,0.0
8812102.682728507,40986068.342383616,12267542.474617641,86059211.22910437,16829645.769795597,1065602.232454817
0.0,30708919.697195373,3447928.2937894296,59031497.53980174,4110574.8763278653,3585062.5386524023
6304694.1334566735,32842292.703380454,8936417.379165212,51114031.36283703,0.0,6554670.294597341
7731133.038613064,22813979.37129116,16184457.379645778,34366286.828689344,5186903.599173658,12895874.428954482
4395948.213707843,5312689.94232508,6786716.871798162,16519277.517770514,8992528.746333878,23462540.807630073
14127219.023295784,1607740.8480738576,12871464.929051701,8845350.634314181,6533089.314475635,28529988.418216854
7157948.007224373,1458611.8898397281,11979744.17657196,0.0,2956668.1560593373,24272892.080052357
6330964.52765117,12783589.552639555,11146440.848747136,344180.11720648425,3816905.5466465154,23521631.432032436
2248591.967603654,13078105.625451205,10057125.556723699,12943942.211367365,5242476.892263904,29504972.93734798
9401816.76792139,0.0,15666315.260549279,19515751.895342294,8157149.894717811,24613771.1400295
