Agriculture and Food Production,Crop Yield,tons/hectare
Periodic fluctuation,Random fluctuation,Single Peak Distribution,Single Peak Distribution,Single Peak Distribution,Periodic fluctuation
Barley,Rice,Oats,Potatoes,Wheat,Corn
2717.6260967912426,4184.489358262949,748.2247635089118,574.1740258365455,761.3151303549072,2574.0808432863623
3909.433347590055,4197.728663231333,288.62521445044035,0.0,179.30711436551425,3467.0489752366757
4446.673837252473,3971.962539550068,607.7017037898179,427.29920302199207,388.64299622399324,3899.2286530607503
4913.267971209247,4440.910082916886,688.4484005035324,617.4282690252728,225.0040466017726,5000.0
4154.043339778104,4364.217200866059,601.4296165663878,448.1122180872013,400.2191770665635,4223.991377379844
3574.6475528905985,4888.987945451223,680.3786020857607,210.5185427081848,362.39238627714053,4561.163700698884
2649.4345918998993,4932.734821547238,649.6481402990993,448.0918358488359,476.0947055472454,3628.6324539324096
965.3402939481978,4326.502135554178,377.90903521771946,214.50354838260762,294.9996321662159,2212.5526670102886
410.3084827619036,4004.0289148748807,342.7248888520957,371.2717803221699,404.37514066827845,1379.4675214893243
787.6990731199892,4747.685337650606,537.8105713667302,321.0592405460725,277.8968291487006,469.0112886770977
775.2453908084453,4820.646464688486,447.6429746549724,723.9131287154324,683.9466553672137,0.0
2085.4087228230483,4733.516609711178,887.4011862541677,511.312367758788,206.27781139047042,509.79632400952954
3079.9750310999707,5000.0,211.22602039037693,744.1879346606449,307.4686212551145,275.95269628291237
4186.444235644183,4436.710879691403,471.11091004922594,673.0801303596123,483.85123532109884,1326.253648888405
4714.285735522948,4780.050786870797,821.8800570537536,381.38196704521306,1053.8704949770927,2233.350501556697
4709.697672693929,4457.754181732813,622.7965280311483,761.095880736488,525.7437048592169,3310.1026345410155
4149.994393691635,3808.8531543500044,1114.394020141719,1046.270854529939,557.0919986901331,4379.781265532813
3206.9167063454233,3320.1921523770416,1346.7375352025856,1353.4497575937585,1289.7676192719457,4392.411508279999
2065.1909490370795,2822.3380401924474,1504.8681092999632,1810.2218664868913,1798.7617603056203,4176.517399586368
1332.2225425647616,3457.9419408970402,2003.9776081296836,2172.2260710810174,2291.793246908174,3710.8059724523364
267.805068628877,3397.288907893307,2876.4713687177814,3109.5642892640285,2607.8627468742775,3601.786104854656
361.3845716131682,2634.199689399387,3881.317463998577,3626.6611754054684,3410.84119654573,2505.62873852665
1228.771579250039,2382.032544655931,4178.90015411885,4630.910460466005,4308.712921170077,1060.8699418650638
2166.4821275109884,1054.2780472823717,4681.199151604115,4076.0485984111565,4607.848199252223,578.1274543930709
3222.646149344958,1245.608443710165,5000.0,4910.121754189602,5000.0,18.91491222500669
4566.346022591915,647.4488238431378,4841.248035167495,5000.0,4580.608660898029,645.5727275799461
4949.629391312867,575.6547802408397,4818.831150880501,4577.187451830846,4599.54280410782,857.9750492416663
4815.214240055891,0.0,4018.60675241583,4250.122258507736,3881.0518223413455,1338.0720816064968
4102.965268125421,816.0207497511714,3700.479138881539,3385.435481579876,3579.202785215763,2442.249231951939
3153.359352391929,1416.5082958897597,3228.4235785289734,2952.9226589755954,2870.387034156541,2748.01879540571
1769.1095478038574,934.1071708778481,2440.0958277021073,2332.9289686915254,1897.2989445192873,3658.4640363087933
852.1743914651023,1262.1329303394602,1691.9870140270884,2176.4539975001503,1650.4322274706979,4348.017849688875
0.0,759.9034228622598,1213.0942265388433,1446.5221634310612,1213.300616905321,4328.910295686344
675.7942252838354,175.77732763900931,1579.7581580699093,816.9553966240256,956.2317528038243,3985.8637004578145
1510.4376418526783,662.2173443155363,715.4810885188115,678.5286466340771,362.6179559170204,3407.7037119252263
2291.0626992057078,1372.428516546438,283.27526028724645,804.8776811184689,491.6541958938147,2297.956744206336
3841.445798556098,1112.97397776154,1256.6093675219668,484.0618945761077,369.4582029671072,1365.0124591321721
4881.672475715389,963.5354334233245,347.3473972019079,708.4013353846755,0.0,486.44193578925194
5000.0,952.3987420683243,663.8765598345909,519.2842060835021,377.0177528863284,128.23202132441085
4299.521705413988,1178.048822108857,619.7954770585811,49.184099215173376,547.2351577920002,228.35921936756264
3841.771087219155,720.9822168200174,785.1089300937691,589.9990867443161,181.66989100468024,422.36431129053955
2707.0229197504486,796.4170811466653,505.4253784070473,807.8090736825393,404.89429906257135,1211.7265974854847
1519.1475841205543,763.1608621798772,741.8776639619199,736.9225238827233,484.65041383417946,2742.917966259477
680.0671783136195,1137.1299695741807,628.7295551189986,406.82630820307867,469.0320572678627,3560.5484986416195
873.1439554028722,1126.2472695970932,203.17409980914772,670.768329722712,348.6498710061474,4025.851260703934
637.3745810556707,1145.0725807385697,695.5929583897351,579.0097127466273,201.93843119833545,4503.88605107303
1527.9791817688183,1985.7952086415,202.0208122504023,399.54209297475734,362.99596642423904,4740.050637031493
3113.799316838105,1570.0987440253377,729.0033838528151,474.03711209328833,52.311674442436214,3890.784270964733
4072.1038754692977,1933.7958483343784,415.779733740161,449.7302932908389,245.12952987964462,3034.0272057414563
4960.859291689161,1942.4857661942926,0.0,162.2917904125822,564.8554272537003,2040.4560769649968
