Tourism and Hospitality,Tourism Spending,USD
Periodic fluctuation,Random fluctuation,Random fluctuation,Random fluctuation,Random fluctuation,Random fluctuation
Shopping,Dining,Nightlife,Cultural Experiences,Sightseeing,Adventure Activities
4696.254773672377,10000.0,6641.396589276306,3850.522406776661,9902.294057733941,9530.423707735654
6000.234894948186,8465.326158829284,6524.245665754224,3743.2798288626377,10000.0,10000.0
7448.776923155128,8620.583288666849,7523.321806431554,3569.893664665628,8722.72934796085,8775.472963991808
8778.584549207582,7059.3506319294,7661.27629264457,3821.7345847559036,9596.426519371338,6311.15546593723
9730.257906540519,6757.5949256952335,6666.701697419839,4766.6614997010065,8874.94525321162,4689.721890770754
8716.058278686389,5989.299995313352,5397.364487503216,3226.5132343358705,8874.418568553152,6815.113436105641
8802.929844737795,4973.6423891713675,7266.02361190293,2558.012943052312,8161.683222386064,6824.746394036169
8034.112024336547,5262.216683990717,5164.541852335867,2377.0028024777653,7808.346068708669,7418.922147791529
7650.871067732163,5755.397871171091,5619.5128025816075,427.2210658204369,9537.113051973947,7568.476264152394
5438.955500908366,6740.029608150777,4848.991820562235,0.0,9197.692966895984,7109.690229546502
3828.9092904494087,5920.842324086112,2740.200594717431,2169.64851635031,8351.177629635018,9264.093074887223
2630.1118129375413,7376.148534517159,2946.185213608548,2348.538185413254,8846.336476209302,9914.49782265986
1013.0735459469686,7818.795921009733,3998.360538191005,2874.522221411802,8622.91662032515,9619.925064132045
125.4902367165587,6407.620283849273,5537.789343398379,3326.9989429420903,8386.944595219253,8707.623296641656
165.9289585356456,7799.369502437473,6070.835174803372,3526.8530237261707,7602.4975209212,7434.781837323263
372.5018312343269,7447.21316568094,6161.608442564662,2695.227374926808,8097.505490354414,5559.862417132834
1087.1039189831085,6496.980757164001,7172.822185201575,3755.788608108722,6953.697350437901,5439.953013189439
1524.3680666262758,6990.117853523841,7629.951375372951,3722.451962424369,7564.384844742554,3369.7764034408224
2931.132805284902,7627.497227073901,7190.885696640461,6594.653922921092,6436.153988329073,2292.8122982139025
5268.751926007517,5430.95749350368,9208.210751074883,5524.286224195291,6505.468064710765,4045.167106572121
6993.465619482276,4668.386687601516,10000.0,7292.716930077192,6969.2804048769995,5325.855794321128
7645.477735824347,2944.013045642298,8429.823785483977,6892.470570925428,6840.131430856213,4375.624251117553
8590.006417046803,3372.8898659095635,7142.898697438398,6812.321612694326,6730.727408323381,2545.6319479737376
9360.49509692055,3629.3285189043286,8225.50930708651,7991.331201092774,6157.871358480298,2559.797705346273
8928.53328425139,5781.736033004069,9644.094409228968,8007.791343396394,7508.577922583555,0.0
8977.939645616285,3631.6220028110934,9189.765753997948,7884.9036206693345,7548.27073474809,511.4628388529761
7993.776405918912,3956.4114754031184,7309.301478787667,9426.15801747513,6172.123074667603,1205.7832722610485
6596.766905777323,4101.142831593314,8126.267961344312,10000.0,6073.545121050923,1335.8492189484964
5207.195386116191,5366.898235194959,6134.8622006808755,7716.275931625568,5117.855638926234,1599.4015514587443
3049.6289700085053,5542.4977482404165,7482.030542886471,8767.061805115753,5046.392680130707,2988.585301875881
2163.7350011560043,5917.634341724977,6300.317132349197,7279.242823162428,4968.887440047786,815.0243072171886
1409.350345928604,4446.58145654316,5835.395491731125,6041.801240079634,5035.148694023046,24.337422832064977
346.1053887628594,3212.006233673301,5611.3621143648215,5034.224963370776,4842.645479954321,262.0437333366863
0.0,3594.1201196273355,5218.096289845429,7062.111230465959,4456.7251942729545,691.9750762941343
13.144942189918803,3135.5913811135542,3294.5705766296237,4654.715710113282,3393.838856609042,707.7667356150805
1538.3674683200231,4336.060767570072,3995.617857497722,5525.083830679924,4786.347119743128,2985.5040128996184
2949.80789209072,5192.928375894849,3302.1557893438,6809.553349545861,3263.2285351162573,3685.2540149802708
3620.108205381535,3589.0578901106946,4222.062332074894,5655.473665664909,3721.0270435566267,6225.4849957892675
5606.714749047385,2589.1812015823493,4957.803909700177,5306.202840906705,3375.1083793661924,4364.984208840377
6800.820065857482,2534.140477186957,3314.8145507671293,5438.314080738852,2993.937351767112,5553.105563804237
8720.734043239678,4166.047628680256,2610.6762318717347,3784.9686223519384,2520.400048843266,4689.250115741028
9151.821738743412,3767.1937669360545,4138.722998887305,3477.044954497338,2217.1239703584383,4488.618074439876
10000.0,3180.98946681939,4385.94264016672,2219.0218529204903,1911.9169103002798,5464.159258954336
9503.077496151627,2274.598569344112,4112.14600222859,2118.0380382615213,503.20598902443703,2744.4906436992133
9004.830635444298,3017.6079874270586,4436.319345907597,3465.5665653699984,810.2809340872482,4622.7763852267735
8409.648584143353,1860.0580165684232,4276.663168321675,3944.3943501202843,1843.7488027293061,4173.366381276747
7500.364533284818,1220.7445731682096,4834.016250179756,7198.551930234457,2194.9947403181145,6537.7739417815965
4652.441647944462,953.61508711677,2802.9241958821035,6736.235089302736,1822.832303533073,6679.5482703851
3683.130453129206,0.0,0.0,6982.513827530696,1897.5112508287937,6585.142003427591
1467.335445111844,155.7650316620477,1446.894793963922,8819.302738377184,0.0,8159.686259007622
