Tourism and Hospitality,Tourism Spending,USD
Single Peak Distribution,Single Peak Distribution,Single Peak Distribution,Random fluctuation,Random fluctuation,Periodic fluctuation,Random fluctuation
Shopping,Nightlife,Adventure Activities,Sightseeing,Transportation,Cultural Experiences,Dining
699.8892724032385,0.0,724.4672781136019,4545.975519347521,2682.181825754845,4189.329109994172,9712.247549525422
539.6717182000152,582.2429319969261,831.6041868748943,5980.9021863709795,4366.481434860011,6559.496986991415,10000.0
1338.8592148768828,701.9249892858031,1570.3176740426927,6354.2053153497955,5903.249214941337,7257.429741979644,9347.144541742588
537.3881922897945,585.1967749597665,1025.5138704504275,5592.039519125938,8586.280783266517,9028.339974606604,8288.277380327576
174.7350190034499,655.6618534773745,851.0278989314323,5260.8214425604265,8066.91416750221,9476.629431873958,6943.28598859663
1222.1605654244297,123.5519231944064,817.6265643943192,4846.137211561697,7486.672551182286,9216.564208151125,6502.398782634919
806.9114095632077,1233.4049415609193,678.7552947976145,4060.6577334855465,8561.879701102227,7995.2499430396565,5839.015685119652
1323.3597250899636,533.2627760102806,1380.8761918696994,4446.787250314323,8596.904382156701,6549.6204858678,6249.80213909686
965.9285942490206,730.0410546635574,624.5003148595331,3858.771774842937,8520.333916936455,4989.885710464844,6024.760601778728
1824.5388377415998,920.7431128202874,1329.4782281222078,3301.9187850877543,8613.666594275723,3106.0107880999726,6636.241262364099
1356.8937241414337,660.2259943722844,1167.9711924466803,2840.926150536886,9262.827822954368,1324.3357631674894,5542.379777413894
551.9161390315965,1356.4484816458857,1134.3021059742962,3829.9986331852615,9077.438585107211,96.72657113552926,5837.520223063719
1926.08625814803,388.5176829452484,853.9429201254411,4742.6993091845925,7147.631066529615,571.1944179086338,5531.146407271261
1877.4000528381637,1242.4657473380548,1066.2282798618608,5262.046803184919,7302.065378340847,1188.4373699044668,5571.531251570063
1815.9017211299513,974.5872040031609,1710.5184695146577,3992.518341138205,6047.149344102502,1788.3086751165154,6203.987192272217
1498.8220867530451,1098.4471189260507,1742.4718759521293,3281.839789058544,6501.12865089978,3077.892342610875,6121.885817536403
1995.9934232343037,1553.789277118891,1717.6580329590724,3389.4522277729893,6560.302764391673,5260.419645013569,7249.672395591544
3047.98844210625,2099.562517307077,2428.244993431089,5136.31129326025,6505.460448812798,6616.980247170567,5960.003681560812
2995.2985458321314,3061.857622583217,2842.0146180795136,6043.879958267785,4409.136176637323,8842.770031023918,6748.0882141627
4635.259945052788,4771.671909972461,4102.509960068029,8246.614674911716,6031.4897838954985,8986.376278014674,6720.926043362252
6366.919666624382,5644.864498045199,4820.42527007232,7875.2265160295765,6956.330897244761,9359.57126944777,7512.285217701204
7774.816022658457,7267.884536671883,7397.832599005061,8456.026542406207,6840.887408532812,9133.54510276304,7866.934995543755
9027.183821153902,8230.725685585754,7157.558953730731,8870.508633058731,8340.122190446535,7511.796091660216,7003.291548179841
9734.72566352426,10000.0,8590.405525693206,9168.47372204183,6910.745968354746,6370.351464100476,6133.017543589058
10000.0,9906.25697861826,9697.550088001124,9099.126352477779,6429.501736266715,4403.59967345216,5639.419040897627
9903.265624177977,9631.076401785629,10000.0,9839.604987874523,5873.710108463951,2888.8334014703005,5001.808178896211
8928.304421883624,9676.280753429748,9689.919069284602,9839.774517564216,8196.852827747261,1472.885390055318,4505.121413469137
9254.058764779586,7840.393335238025,7694.569872420099,10000.0,7819.10148258596,848.1463528530543,4639.822806198477
8004.787270980917,7807.084464071201,6649.956082983116,8180.16417746638,10000.0,569.6520581067325,4307.336629470695
6572.008228887434,6351.955442907137,5659.129377217249,7181.3674730257035,6199.9655633885295,385.23037104639576,5018.110725443239
4793.900582725823,4582.575158994678,3466.5074006468303,7334.4544378778455,5637.154400750175,1967.564938028676,4781.372257336266
3501.2408564059956,3747.3969983726884,3321.854109658368,7159.447657026097,2423.995660037655,3771.300785002907,3720.0212225754476
2832.938660852895,2361.098760911112,2904.9470017770823,5729.735073122964,4462.923864911691,4918.084541063641,3233.787165508199
3138.652321320155,1581.5246056503927,1355.4266150044018,6157.495739442194,4232.019452727057,6666.875346156018,3010.7722777426675
779.0640015784535,1483.7695552080004,1684.0973251012583,5583.711178079356,5006.631579474691,8858.094946518164,1791.9260064072623
818.578165388176,1097.477842522963,1843.688212099945,4118.827800765564,7318.9072054537055,9210.141010188916,1757.7150055545924
703.8260464704814,1181.0017642904,1445.5283282743928,3884.780477274114,8208.078123859475,10000.0,1123.6465072281685
921.716471819566,915.8422637514889,1655.7461962495772,3114.425330224155,6543.182612529818,8829.212950558298,1871.9494631662103
0.0,1232.9836669814326,720.9941455769633,3229.661451810343,5138.171863682818,7776.255999167235,2116.8066374024506
1209.6607298958497,139.97800991913954,1116.341551428874,2614.5657216680434,1901.4206319023187,5489.979384926287,1704.8025231830952
766.414321706955,1340.2795825954884,43.635645089052865,2229.8100647035003,574.9641038215888,4368.809114998506,2522.7929337549895
524.0746067201103,645.0192629339048,0.0,1534.2011017293148,135.52203757183352,2582.173262667157,1888.3685046770481
1173.2070684215357,113.52298976731801,151.36599078729006,1188.169574421987,0.0,1341.2289653727867,3056.2316833434193
1434.5382172582847,1072.9238827375923,855.4480412256163,2300.7736191226286,3238.580935725978,871.0569363621695,3367.0778896898723
1583.3283935558302,401.0345669567335,1207.7635335342868,2386.4455296098376,1892.3447336572663,191.3104943536771,3316.7084461116388
1065.366859715762,443.32497637126005,1155.5866566148684,1885.3402457109337,1921.447451216533,0.0,2077.5646518258377
1138.1468738915582,1296.5931485934193,847.8061309275827,2319.3898394054618,473.1458016942543,2359.9732901892953,687.5957585782965
1597.7347389803406,847.5963197257922,477.6587775930966,1394.4705355311062,1060.7040387233117,3411.478219679753,30.50248337221637
365.6524804271137,530.3217914694904,871.2775278271147,1165.3249567723603,3221.117782328665,5208.877006621552,194.54080178197393
1166.3922863146909,402.80914175544086,1440.979116864334,0.0,5690.2663068572765,6805.013477448983,0.0
