Food and Beverage Industry,Consumer Preferences,%
Periodic fluctuation,Periodic fluctuation,Single Peak Distribution,Single Peak Distribution,Single Peak Distribution,Single Peak Distribution
Premium Brands,Tech-savvy Consumers,Budget Shoppers,Health-Conscious,Ethical Consumers,Convenience-Oriented
49.36152255247301,51.08074061682928,10.648575733987222,6.768265625883328,10.379047334613242,9.98606492728427
63.1518739046656,66.4800478264192,21.866466141963276,10.208464281337088,9.269788439333274,0.8669945542879898
76.69589164092208,77.47035308816183,9.061768230475213,0.05832516103306436,0.0,7.405953543554225
84.48377756813683,87.06058114554159,12.032927742606521,1.6656413079434655,0.3795962015366229,0.0
86.6585160076886,100.0,12.196736834202346,3.1528237901206855,11.943596623254246,12.567936362641227
99.58443225361393,85.98050003545472,0.0,7.3617884454735245,7.651038629815779,8.244259803280459
95.05964016082048,72.48037073510096,13.555336294474815,1.431569408798788,5.3156418971649195,11.633943202573136
85.38992183277992,55.44234493780811,17.544498855444278,12.038936280232974,1.860089730655316,8.091176682776432
85.2686496646239,37.38797544761008,10.115228452116883,5.074400238926548,3.707441494694228,6.302698831016576
77.26387980536833,20.648151692620885,12.756344923098538,6.960264730710541,5.751183680871396,2.7306783902512057
67.40135082946045,7.582539664523569,20.067190574585318,6.106839437889527,4.855854209999923,9.261198856243064
49.993565802377454,5.17827505373027,16.417297279399726,6.587255863743906,4.439936161566797,11.685753833428395
37.521536094711635,1.8469425662518086,16.79263763320157,9.825787277054449,11.6443871566558,11.93488785974735
23.923034635698038,19.006439647058883,14.953850512041392,13.566956395651971,13.194016261564324,8.104113150564743
11.617262673061099,29.530370998066708,24.55763220086798,12.14636573707005,18.720470955402543,13.029774883382455
8.292893552585703,52.41536261749723,17.244726268312164,13.007190324044023,7.860625081016416,20.51457252655922
10.909724960782173,65.18026670754142,25.14122167179112,22.723734938965045,15.036398245278923,22.492844403179195
5.818650852063469,80.66845419115187,24.382552051401852,13.444550189101415,31.301624779879877,30.159794709975785
2.539368651234605,86.08719899879429,37.512625676687264,32.77650303445374,29.726483616403993,32.63851564522971
10.575701405956286,93.12635645448198,49.552426645836626,37.71704142689234,48.046303880837385,41.22544012618218
21.86198813486843,83.54761430654521,59.555083440174236,57.01312990385684,61.43425077352177,51.26469748314509
32.08228666196436,75.62563245143426,72.14974103498318,77.09523080607897,66.90703615465786,69.23413190256419
43.93217027271577,56.65689527938355,82.92981885042215,81.25348838367212,85.28565245995536,81.2300691519048
61.66367309175125,35.94755500231376,91.92795648144826,96.49425843089911,99.04597903083283,87.33909508247557
76.37577972025184,22.48510973199753,99.69521299738248,99.95700161655422,100.0,86.5965447550601
79.33052890847837,7.085456388630313,100.0,100.0,95.62650352082083,100.0
91.60149593469717,7.339735828470245,91.47056857928824,98.1311643131962,95.18320135412306,85.89403351672942
97.98507727909349,0.0,86.1737520910455,82.80185744518874,81.86215006240775,79.39471904629936
93.18314265128168,17.758737010790767,66.44320575869983,65.11751846503464,64.4843423496429,64.45231717986574
95.37197800388924,32.38517086278204,64.20160476870528,60.91968703324754,62.28407285410754,56.95892633593176
85.71278624475383,51.334010227783736,47.135974299186415,45.79276950911399,45.72445498668952,44.01381007187798
77.26828346974742,70.99491704163022,39.7151510040801,29.296574378616224,37.45877809609707,20.08307479089196
63.25294337248983,81.02345593438717,30.826264382619417,24.57931660613413,29.31960318589398,30.132654235699402
57.78000525051261,92.42086575875395,19.818289950817594,19.56312889300239,16.42443206553089,16.89778571109573
42.897854896697254,94.63730501180659,27.13790134412617,11.021845056978517,15.643475054876149,21.288034378291584
27.38100285242958,87.12226785197464,14.181485667271954,10.3075544930493,13.656313956310562,10.974072333903063
8.884759084222942,74.57859744687524,10.070145837524668,4.608373843171554,9.191606376834907,7.767383636711854
12.031069303844438,47.19129922205738,16.223333758256988,4.911957081082169,10.891521850786159,8.254920030238978
2.124452380453681,44.93942333950719,10.183915131792075,0.37362191863878813,11.50004158154334,8.793763311317033
0.0,15.550958531232196,13.230204296924406,3.626983740731534,3.6135667591167526,13.911753323275663
5.401867602627676,10.792834780236717,16.471653181860137,2.3481061588406393,6.688898035728297,7.953210207149701
12.514933994253674,2.202736157402788,10.479430611463942,12.185953651058966,4.580989845747717,12.218183589663727
16.34582424135501,10.541530971635266,11.204032290564376,5.989419836830143,0.8343874653288345,8.02213258211391
36.495657785927826,14.078676950844804,15.720297586675311,14.202869279569178,13.825531957901042,6.491949077885274
46.73384763427519,32.16975489105943,13.34248054861879,13.940739969126929,12.737540042486897,12.00357342220511
57.14914828045337,54.94839276415333,13.030411127778658,3.388667319918933,15.094195532329163,9.87283842818961
70.03982964821645,67.24476652478934,13.019982463023558,7.747411699525698,4.913457604686707,9.984866494885097
78.59304459613702,87.87410700754482,10.55155955243395,0.0,8.13347265763041,7.539339158101892
88.14733077397423,93.33661680643888,12.32605938466434,3.4376812261475855,10.341383123218069,9.741529893553665
100.0,94.92372164455813,13.640792674599725,0.7172355950865961,3.169216844790871,15.433683620502196
