Education and Academics,Academic Performance,score
Periodic fluctuation,Single Peak Distribution,Random fluctuation,Periodic fluctuation,Periodic fluctuation
Arts,STEM Subjects,Language Courses,Vocational Training,Physical Education
55.37427900740213,4.604840413126989,100.0,47.24526171068618,49.41221519657465
66.2513825146841,16.553997963331994,99.26084589653927,63.80345476473003,64.88570359507376
81.96615432570513,16.343973715131867,88.50586673926108,78.44833750199648,87.57843608461758
100.0,13.164224870800883,82.59574057487306,90.11158569513576,95.06237324613136
92.31347629667482,15.571572033109488,89.62940231178096,94.76046887373967,100.0
93.47801189648725,12.886194605043608,86.96344543621628,93.59760419529812,96.6821693422463
95.58207712214784,9.039571679541387,92.77852444921514,80.82413256831947,83.87915314460479
81.1334273349669,18.05059305661744,81.3982569532617,71.12994640324378,79.14432367942715
69.94334793216083,8.890597559709784,61.54814333247934,57.24939564254089,63.60730249906615
50.006543546529144,14.33020344445847,61.7941826032952,44.727132226796066,60.11573313649882
38.29730333503342,16.703723694180216,44.504009082212384,21.084739621553506,39.86439723424296
21.43830204437547,12.328187872656368,56.27030557233478,10.377342221542817,24.67817442900787
16.284792538426053,11.01228604719865,42.746459338719085,7.5077491778250875,7.733276555170016
0.0,12.975290942822529,21.964388150727164,0.0,12.481080993861848
5.129298876753451,17.837897257956982,30.176292449906196,13.128402251010474,5.979295719148749
8.634527341459917,23.67613443506133,33.12610726020204,22.25856931454131,9.555454841635996
7.741196330296307,21.627121588290876,35.59683652137039,42.731375317397166,15.227810525222152
27.004719129272353,34.61477774912384,35.44536194198849,59.90641323685607,32.28786876660884
36.394050730028816,45.36312446641516,32.02199859178026,74.9410576874047,51.875160045929945
64.31451921764987,47.87713406175743,37.584062584631326,89.35786957693904,64.71293827337314
72.44322052378519,58.948778587706364,41.03305709104021,100.0,81.24590495658066
89.92910588572934,68.21969202203762,39.02371375483777,93.48961737733316,84.92776309275601
85.56834829202664,88.59893975570114,24.03852772978584,92.0442989744683,95.18589695977843
95.86811294117459,94.79145633865,34.76100556947594,78.43121869606006,92.9191969395759
98.02395070999704,93.52152186262774,28.942746013695203,59.513953795994226,94.08146800307308
83.28563045194188,100.0,22.54641609519282,53.06315341148253,85.98833614245238
78.6563668289491,95.32324898027348,10.812266580720859,28.707200834308082,68.69781425424752
64.03173379932889,91.53870939002654,12.376351995211635,18.89638107415448,53.910946966628714
48.27209008285298,69.78616576864215,0.0,6.511995997596129,41.67502280570195
25.734091260375237,62.35956494766999,8.77516645011003,12.823158790655443,31.439523643650976
20.498473281317196,46.250652955651205,19.852973771981247,9.013880666119965,14.391980202089213
4.709299092612388,38.768985299456794,28.645065319551737,21.633212216859675,0.0
4.582260264403504,33.77886325778032,14.129698274236096,34.25981736291245,7.321945661747777
11.191515986141832,20.598836957501522,18.471054418382625,45.38846235941024,8.86875306084098
15.15564024916479,9.972629483671668,14.20801489735782,61.60260137824255,17.64795243564037
18.655476093023477,25.01934938653769,32.81311352090795,78.44723004853435,32.61861853460599
33.031794357052455,18.69014582162874,22.286680485488127,83.09624688578225,51.55326439623911
51.86012003366205,12.93203441852597,23.16249821139509,92.53657137454648,60.99389430552039
69.00320086447377,9.65949167313635,30.230315583412455,89.58862439126294,70.55106549403963
80.71324845326757,9.10467233444934,31.018962537573397,81.35596901119075,89.37167431592366
88.37356362335298,10.556229137315947,31.284514062465462,64.64552115723889,90.52188796749188
93.37336412347545,15.77656576958703,44.18973316020877,48.93691131616155,92.8772149496139
91.16108466541945,21.322695411101844,43.64828034620724,43.38273583749839,89.75239396979082
92.62329036039918,9.685357783121642,62.657795261418535,31.728450662309715,85.10029632590813
85.5735891226548,23.065927210643743,45.889314371772734,11.215325022356229,72.47680431036461
70.47458012880664,14.207869739585771,49.74501340318232,2.160838430096397,57.08579029594777
46.57008224479818,7.537029729537171,60.68104792872481,7.705201667906178,43.42042353449443
36.23794072571829,12.978197646938238,67.50302007671932,19.371609406842445,27.1162872021666
23.174553763471955,0.0,38.58854078268869,23.946687051651608,11.532508015585847
12.568216757085327,19.38423308160025,35.56493047108426,41.01731104627697,10.242073306205755
