Agriculture and Food Production,Crop Yield,tons/hectare
Single Peak Distribution,Periodic fluctuation,Random fluctuation,Random fluctuation,Periodic fluctuation,Single Peak Distribution
Oats,Potatoes,Barley,Rice,Corn,Wheat
81.06053785362116,2368.8138845279295,2203.261847691332,4644.189597299429,2741.7019832683777,167.49623303670893
439.86638187385046,3663.090461048243,1984.1543365943032,5000.0,2967.45113265024,215.76445766760443
509.1145127723014,4388.154370544085,1444.3655332005362,4385.62432091992,3542.1763990211903,499.77335747324895
242.8071816373697,5000.0,1601.0446669542691,4068.1387872829605,3781.567532061902,116.98668124980874
472.5209719205011,4563.988690796142,1099.1078502353819,3889.304293892491,4114.297993143108,499.1199743652839
494.570328584331,3657.8722167689907,1282.3260173991866,4221.346639236475,5000.0,639.7069180678897
239.45299071580456,2421.1270850312985,1948.73283314368,3810.264263603082,4523.856052666173,351.4687295257541
483.85922384019267,1500.8819876935152,1703.4669940518627,3337.5049546455894,4267.469103683047,30.492299262635044
324.66245815978147,999.9117724578009,1480.9669165321784,3083.204963578505,4715.067175083873,729.7483329663044
509.5723199930688,354.1398507145536,1234.1342899854576,3321.970734278666,4270.108773732164,423.5642291046682
839.6640495845264,252.46910460280006,1053.2801453381567,3040.362060713137,3214.04722472913,543.3770051330007
611.8712133312216,840.6679755298483,892.6636309013293,3063.6200124140305,2842.629248452337,67.9553135038473
0.0,2023.0309921865337,667.621768774483,2853.624884985315,2495.875580161143,389.86003700019876
968.2024164685911,3032.32140824619,622.2316564019281,2867.7435781572412,2174.5347540281177,728.7188487677449
303.70104312357876,4263.208506959083,323.13437738442246,2771.0286071817595,1614.9319483963795,599.5687261429015
129.88015301984672,4886.064823062808,852.2737192541737,1897.2876842147396,1156.0434037756943,535.6571676568324
917.1628720036042,4627.306447421909,821.2114575511141,1958.954322035327,1000.4846606304869,802.6966597821602
1571.6285751009168,4444.746851838409,473.4725461879901,1882.2725821089214,420.3722439160962,1019.6357254355214
1509.0166644116284,3014.800739764099,0.0,1933.9916168346444,239.0648673750256,1253.1954634726792
1948.4002997416376,1995.9373279912154,463.6894616812928,1907.6608641830007,829.9392664964007,1989.5467788616195
3037.8287615296445,1228.6822203090676,1258.4297038549282,2176.4103592256724,1159.9098822488086,2467.1135370485326
3791.392839483622,443.18128917735385,1553.6614029648902,2163.2716412281807,1378.0989992994935,3690.3790322396094
4213.44611518883,320.40064081261,1928.3254058554128,2618.7363988202305,1716.2828284671248,3800.6591516437984
4707.243563924436,658.3110436466046,1826.470914585381,2694.2412418914596,2157.522967970296,4285.616354936952
4839.241694577421,1751.6104384446646,1776.3898959326418,1535.9924867511286,2256.2473581705963,4565.978346496461
5000.0,2896.4284433392654,2106.0537465344273,555.171305555507,3086.6485057075256,5000.0
4684.157529961839,3931.295004956195,2552.9390414108257,573.1206001877086,3289.1503216167443,4189.180980803782
4273.842923767565,4371.513670888265,2525.7085293671844,196.5830570297287,4151.449259104338,3792.471320465112
3730.7793970768503,4810.546476558136,2952.440179136838,268.08549634190103,4119.18910541442,3200.25657971786
3032.7718819977968,4521.995846017457,2702.542331514321,817.3257366254727,4919.833753945332,2603.9004022677054
2528.9898124975007,3349.404451714122,3118.473889135558,659.1844638622132,4644.365790166353,2162.121865574738
1503.2068145999315,2577.0185868740946,3368.5219108204133,759.3340830359416,4443.003677692364,1589.9452553270446
919.8789639295661,1216.3897695526744,3714.023389547358,187.20161873934518,4134.241488790469,1082.9060121019536
977.2127950109973,580.3953658180906,4386.398212100572,0.0,3971.1752623527727,927.3244942135879
743.1572339031429,0.0,4470.5720274760115,728.1666507468386,3567.8623153199255,765.6522947334098
275.8745048600521,179.80119168127948,3650.115162463722,1415.7023639420543,3158.9872183046937,369.023351541486
310.14579055016713,1402.5673931494287,3949.9761404089927,1696.1398317776416,2835.9788568001977,727.3181748066904
466.04408211330633,2561.6321990300817,4184.111297292961,2055.493931408703,2130.151799411107,367.11855588222653
686.4951777477675,3467.3807589767753,3948.9778260793323,1686.1853045356756,1931.418907869032,526.1219705626448
440.6285140898362,4228.588834154909,3913.7511454798714,1157.0346945230076,1512.305519404196,224.48210519351528
207.54892915358747,4899.788953484668,3921.4122008034287,1345.1402179499173,573.0932083451137,199.42538101494478
270.5712167999133,4523.84362306599,3756.46139106191,1111.2142251953014,176.60326894756614,176.44857246192484
387.8874178192272,4012.541604979659,3919.391471527321,1282.2781056213921,257.9298073615296,448.6068285087567
707.0154204105554,2893.2227964913777,3728.674230227663,1616.2330867399392,0.0,382.5378612512383
526.7752175849103,1834.7659936769687,3691.5601080987226,1723.5409386125323,964.8515677224401,0.0
427.51035625793315,850.2021661712485,4529.9163572351035,1539.6032767920442,885.6676932138834,370.6005697661815
507.13976849575,372.17143147716706,5000.0,2268.0476620261807,770.1729958121426,241.81285791411665
791.5541049983321,239.74059523856582,4805.707972761743,2511.8637441839196,1619.4105595683943,349.19890029460066
383.7161939920352,963.6118205293591,4552.983230601154,2371.2133094656324,2769.9421397791352,196.96142029366297
307.9549592632668,2071.5229641044393,3931.393178039521,2335.836051123704,2588.9550553964746,526.5270412829086
