Tourism and Hospitality,Tourism Spending,USD
Single Peak Distribution,Single Peak Distribution,Periodic fluctuation,Random fluctuation,Random fluctuation,Periodic fluctuation
Nightlife,Transportation,Cultural Experiences,Adventure Activities,Shopping,Dining
1567.725115510513,553.1820324956522,4772.222629513617,6464.419740970407,0.0,5326.976945593284
1820.4101232810901,1093.1322515787795,7860.263891501718,7330.365758568074,553.6298715230183,7244.518317681596
419.4486557317893,1095.1161581331733,10000.0,6696.513065706762,2396.3232042428067,8985.983659448195
827.2130740701862,641.2702205575418,9118.131019063701,5008.045927602265,2073.6211011170467,9547.00362120619
726.7038697389396,374.19340495932295,8164.855106974016,5426.523625308397,1690.2364997811217,9503.267438440049
1109.1954344897333,939.8142951877234,5527.28201627086,6016.429016651515,2766.599328586651,8509.45372042722
475.3066993083852,1121.0945874477309,3320.7714694220153,6325.481643513517,3122.0022338802987,6307.244050265769
1168.489814452356,540.8975081156788,1620.2866877683125,7188.063580189412,3072.2109231037816,3960.113667632719
1366.0911499476067,1244.1040658368727,0.0,8605.93494722278,4893.8864544369,1861.75751425883
1713.162175228603,0.0,1499.8918250533673,9589.332750581183,6393.450638858852,918.8980198661073
1423.7214612456905,804.1293850524696,2836.738904891939,6776.174524985136,5235.534353052563,0.0
1148.1848414370252,1460.8377978749454,6045.875962195947,6805.624083028056,4700.856966536893,1403.2271095261299
1662.622499845186,1270.71627437832,7843.192985943272,5867.236391613547,3984.9370616287338,2605.1104166720984
409.0820184810447,840.431146572016,8746.244017149233,4273.108063952969,3375.8109040056584,4721.386011976421
1177.6561554306236,1211.3936843176405,9687.435791408512,6424.206167875593,4083.981249843087,7592.188369063146
1377.0670550924876,1249.9491606837207,8157.38330048453,7209.09085866225,4139.628815809495,9619.606103411956
1513.1283780468125,2244.4455795699105,5306.31079317789,8902.276857361292,5740.170871819784,9043.253706420235
2878.3730387813675,2148.170748095971,2896.0316812173446,10000.0,7085.092522679199,10000.0
4080.8409248739285,4754.375683934188,1300.3207203137745,7621.764544021103,7007.774503262729,8284.272641849027
4378.527530729929,4096.196661854639,841.5883053480779,6150.083349021746,8066.552634503479,6023.756346976617
5736.285731082666,4636.034681993511,2045.621647101411,4572.307179527049,7816.699303299971,3998.83983523019
7389.929299866253,6658.683367648381,3930.100388708947,4807.592926357935,6183.308947683762,2647.0429416418747
7862.862052770804,7703.189840187358,6083.634356133844,3716.52461461023,7725.171129214382,353.25444840027797
9552.766914615653,8359.891836926761,8261.05609146266,3553.8490856322023,8863.056612670249,117.02176271774856
10000.0,8731.546270812702,9162.343704911182,1351.6034817551001,8262.690778208236,2059.569331517012
9700.019008543171,10000.0,9258.265588264458,3395.378003686834,8382.355016610489,3054.7892182107234
9608.43194331659,8954.955014028284,7824.216612993602,1879.2610282287515,8785.150705449192,4419.104197297259
8360.456007073006,7612.271304818115,4784.683969846217,0.0,8695.434486219352,7061.462275365034
6927.840066906635,6742.6181725884535,2800.1313155466364,646.9608620892324,8890.41338763567,8671.39394097083
5659.3008774939335,5521.156587975643,543.8794865978131,2461.45981089142,7565.561854552641,9724.24396480007
4556.53289450059,4325.948482516837,187.7709965556424,2515.4833280237794,8093.427032895836,9708.222184992315
3400.4431741312346,3214.1536634055738,1464.1498394237044,3002.6282207898084,8014.832615068353,8477.0927046018
2263.207380003763,2956.127655070852,4612.3756972884175,3274.555696125027,9084.040219830029,6700.4401776111235
2587.685876407489,1771.6816619653162,7117.9074712800775,3601.8558469067048,9867.068105974724,4466.033928493392
1136.493131358257,1279.4597054803091,8575.170684132276,4061.6921225770457,8905.431298041061,2106.395418734727
1044.9478865061844,953.9542133293902,9725.187366359083,4931.49197128491,8779.116035785288,669.0687028139693
1835.2223187450118,1468.7506129911353,8934.942485354577,5403.694794842893,8175.077448671112,622.3289618233448
1283.2898262846409,438.60853928698276,7426.802209391594,4151.836380375505,7685.102609408295,1601.1577155779225
1247.7689529303777,1126.8225292181337,4428.329855855937,6332.676930528086,7365.089973484487,2902.9218835295587
731.1750264094634,408.56441769658664,2155.6933572322973,4749.221311124362,7576.344451170681,4933.016608972501
1171.3191985778665,137.32474524935634,889.8051760359796,6484.934926187814,7386.105028057631,6378.682929086062
1254.7668597140182,1168.7144182796317,524.9504621483758,5127.047305532353,7453.678310216804,8465.561195297736
1075.0180048806199,209.48684591248318,2008.6688700787856,5154.533305481202,9370.220698277846,9906.922990106497
1085.9171527573762,1418.805100318064,4449.848462871938,5486.677431823288,8755.602738833273,9359.613825702238
328.9880349489972,1218.2272027312147,7048.645613609802,4742.5266675685225,8971.869126018382,8587.363583809463
843.3890730100495,1050.0215575105112,8903.909919169326,4266.235160225293,9030.638399219804,6941.0762611761365
889.2082556371347,389.00268310651717,9372.724909200779,4131.163301436562,9000.151053245718,4258.403532521734
559.7854399637995,591.5269859137749,8873.510743480076,1741.552803800563,10000.0,1724.5099126523771
0.0,1289.8977580318683,6549.35208259461,2581.3193311653704,9850.20155675005,819.3387897436816
490.68091343332196,838.260905597758,4292.35218127261,2003.254638368101,9525.987497960352,101.74449442705136
