Retail and E-commerce,Customer Satisfaction,%
Random fluctuation,Single Peak Distribution,Single Peak Distribution,Random fluctuation
Product Quality,Return Policies,Product Range,Delivery Speed
85.10396727403702,9.793061386380192,11.585899180594767,85.42995542271935
89.2588063127085,5.879919497613423,7.059078644503561,99.09544827253627
80.89139648630352,7.71492496963165,11.95598890842231,88.41457991280784
86.25568379051089,7.473703866111982,14.464032905856003,90.52355961731665
89.95835035505102,5.994678655859319,11.9937307150771,90.87293947895778
76.83898194809838,5.359749197207743,15.333146766472588,87.5839815052508
98.66842748402776,10.333293863216035,14.580708337524687,90.43184609177136
100.0,2.5654107673603743,11.089239302365659,90.74509210755008
95.0848694711213,3.9192392154768316,12.189096267977641,86.77269084363365
86.21001153289453,6.33524462930574,11.193992968353019,90.36498844821716
91.97427259864536,6.763048891304398,11.764129755901106,77.07753986800535
83.59024047296224,8.952555221660964,7.498292757108921,84.77038964032043
82.99968901911578,0.4569456968286269,9.224037737027778,78.49663995480415
78.34614483013469,1.7360773775774354,8.388324603895022,98.32575543174275
78.95224383112571,10.054732301668945,11.703673234214559,85.48641868530056
81.88760232398779,12.447739829489578,22.144054767941153,100.0
87.9635747578129,10.417412159361492,23.17720298017749,76.81854816853605
91.18140926326991,23.425432386095597,29.117619511446115,71.44657325334039
73.99900219273499,34.934771684799145,45.26696380506496,67.13678314664142
62.127425506375836,44.88386572694899,47.09213109713538,77.28692691360432
54.740696602939686,59.67288209323137,60.72984102273641,86.45330266885844
39.72437505822079,67.95104700295543,72.47831420672696,86.68109896866498
42.10992503221369,81.43755149904408,70.42146473218136,79.48817186597441
37.91202970031507,96.67445020803326,90.65690424016633,92.37458998832281
46.21055270829756,92.25576829278829,100.0,84.7471341167258
53.48891977531254,100.0,95.16173458866831,79.72494509675599
54.50006250885661,93.25401442085793,95.02881631264579,93.20162982673021
54.92845476347911,82.41158809333685,82.74046118329004,79.71820933547082
39.16337914459124,68.14145930662731,75.12875304664254,77.44743111183931
41.550631106439184,49.03267505691413,63.95042043282759,58.541023985902584
39.421041262044696,48.19341355413297,38.715023340322766,41.90735304280355
34.05709083409513,36.499835944300344,33.450131424307564,27.63251215918941
18.145973817448212,13.661931903993645,25.627641640499295,37.916336268616156
5.103517130202785,18.330641747020827,21.061211377939788,34.517248464485284
6.0324897076872315,0.0,17.11157719068314,41.658379501793256
5.169408957129855,15.278708113137224,18.879182782313187,62.985708865388645
3.3333330718441196,1.1496845829242148,12.311583921858398,65.93829262303616
5.93520650873392,6.862691182291636,8.344398035760262,60.273175429035575
6.132474700703004,3.663444848248486,3.6384546388254413,60.34789023472945
3.5839724135784143,6.832266174764821,15.895466577822532,65.94769415880988
3.7071281718401043,13.107541961974764,0.0,52.316180392659625
0.0,6.366353602213996,7.027690198965278,42.72473332132339
3.94296201663426,0.8021494220665842,4.022225533309972,28.36633099349338
14.18030463599116,8.900296295882226,2.8731242275736735,26.01170251737107
13.95063405404209,3.548139201138034,6.1481447496627,8.803355234436456
11.92805355330164,6.268790972071164,6.2902943876196025,15.850200258454276
8.495055946313371,10.03642071322856,4.433197111806404,4.020300995256078
16.560127476495396,7.198970914592012,15.576055569328846,7.986136852803652
12.465410663699657,4.993120974660319,17.09445344486561,13.531809024437393
8.15780824301067,4.586618066693638,9.511818067137714,0.0
